word analysis, grammar gutenberg, text mining, word frequency, trends english, grammar books, keyword analysis, mining word, english words, mining english
utilizing voice, voice command, discuss information, language user, user interaction, desk information, voice enabled, user voice, information native, information desk
retrieval information, tfidf weighting, weight words, words document, document retrieval, words weight, information retrieval, ranked words, retrieval documents, lexical matching
agents protocols, agent organizations, mapping agents, agents organization, tool agent, comprehensive agent, agent development, agent tool, agent software, multi agent
search engines, categories qas, answering systems, retrieval information, question answering, answering search, information retrieval, automated question, answer process, natural language
structured documents, unstructured documents, document contents, documents method, enhanced document, increase document, documents increase, content metadata, document expansion, dro document
malayalam retrieve, like malayalam, malayalam classical, malayalam, retrieve malayalam, effective malayalam, retrieval malayalam, malayalam information, expansion malayalam, malayalam documents
telugu morphologically, particularly telugu, ir telugu, retrieval telugu, telugu build, telugu language, language avail, process telugu, india language, telugu
faults buggy, bug localization, automated fault, fault localization, faults approaches, locating faults, bug reports, locate faults, software maintenance, bug fixing
geographic information, document geographic, extracting spatial, spatial relations, geographic relevance, geographical information, geographic entities, retrieve geographical, retrieval geographic, information retrieval
utilizing stemming, stemming techniques, text stemming, stemming works, based stemming, stemming methods, stemming systems, stemming methodologies, stemming algorithms, smart stemming
synonyms, synonyms usages, synonym incorporated, idf synonym, synonym weighted, synonym, document retrieval, synonym extended, using synonyms, information retrieval
download rates, leakage tradeoff, retrieval protocols, retrievability privacy, information leakage, download rate, retrieval private, leakage privacy, file database, leakage file
ontology semantic, retrieval model, semantic retrieve, information retrieve, retrieval algorithm, semantic retrieval, implementing semantic, based ontology, semantic model, retrieve based
owl ontology, retrieval based, ontology document, document ontology, ontology indexing, ontologies describing, ontologies, documents ontology, owl ontologies, semantic web
retrieval semantically, semantic map, proposed retrieval, semantically information, resources semantic, information retrieval, semantic information, create semantic, semantic proximity, navigating semantic
vanet p2p, p2p lookup, tier vanet, networks vanets, vanets high, vanet, performed vanet, lookup protocol, tier vehicular, vanets
search queries, concepts paraphrases, question retrieval, query refinement, integrated retrieval, language queries, queries word, question answering, concepts queries, query expansion
knowledge multimedia, multimedia retrieval, retrieval using, searching retrieval, sports image, image search, ontology extracting, modality ontology, retrieval technique, retrieval methodology
based search, content mining, retrieval systems, retrieval using, soft computing, search engine, information retrieval, mining web, web mining, retrieval web
enterprise unstructured, corpora enterprise, benchmarked corpora, enterprise information, enterprise corpus, enterprise technology, corpora arise, information retrieval, enterprise datasets, enterprise corpora
questions valuation, retrieval logic, uncertainty valuation, valuation, valuations prosperities, information retrieval, data retrieval, valuation based, valuations, valuation specific
localization using, functions files, concern localization, localization linux, localization employ, concern features, localization, kernel software, features bugs, information retrieval
taxonomy terms, retrieval information, information resources, develop taxonomy, information managers, taxonomy, formats institute, knowledge taxonomy, taxonomy based, taxonomy study
access information, retrieval information, retrieval, class databases, class revealing, information retrieval, revealing information, user oblivious, private information, databases ppir
retrieval performance, word ranking, improve retrieval, retrieval accuracy, achieve retrieval, information retrieval, retrieval efficiency, word relevance, relevance labeling, query expansion
cosine similarity, retrieval using, retrieval, imagenet, image retrieval, imagenet dataset, retrieval method, cnn activations, network cnn, features fast
retrieval performance, expansion documentexpans, retrieval ir, retrieval, improving retrieval, retrieval addition, information retrieval, document expansion, retrieval query, query expansion
strings stored, string matching, statistical dictionary, retrieval ir, retrieval, dictionary based, information retrieval, query efficiently, sequence stores, strings posting
retrieval machine, stemming algorithm, text mobile, text retrieval, retrieval mobile, results mobile, query stemming, mobile application, using stemming, searching malay
search engines, intelligent retrieval, improve ranking, personalized pagerank, personalized websites, personalized, retrieval framework, pagerank algorithm, especially personalized, pagerank
search engines, based text, retrieval technology, text retrieval, search engine, retrieval, information retrieval, question answering, natural language, language processing
keywords documents, retrieval using, retrieval used, document search, search engine, retrieval vector, retrieval document, information retrieval, search unstructured, search information
ontology classification, knowledge ontology, classification agricultural, agricultural information, application ontology, information ontology, agricultural product, ontology technology, knowledge agricultural, based ontology
codes list, codes binary, list decoding, hamming space, list decoder, revealing codes, unambiguously codes, decoding, codewords hamming, code revealing
ontology cloud, retrieval algorithm, retrieval effective, document management, content ontology, document retrieval, information retrieval, cloud storage, semantic web, file cloud
slave distributed, crawler, distributed crawler, crawler applied, uses distributed, retrieval study, retrieval, information retrieval, distributed, distributed processing
use semantic, information thai, retrieval alternative, language information, medicine thai, herb informative, information retrieval, retrieval thai, thai herbs, thai herb
crawl information, retrieval based, web scraping, petroleum information, scraping, scraping python, cluster crawled, framework scrapy, crawled, crawled documents
geographic information, retrieval geocoding, contains geographic, geocoding spatial, geocoding, geographic context, analyze geographic, retrieved geographic, geographic, analyzing geographic
ontology used, concepts ontology, ontology rich, wordnet, ontological indexing, ontology, structure ontology, retrieval ontology, information retrieval, database wordnet
missing data, incident databases, records missing, retrieval, data information, retrieval application, information retrieval, uncertainty representations, retrieval incomplete, uncertainty models
retrieval based, library management, argosearch information, improves search, relevance criteria, retrieval, information retrieval, search quality, argosearch based, text similarity
audio retrieval, retrieval model, manifold ranking, retrieval based, improve ranking, improving ranking, ranking algorithm, timbre similarity, relative ranking, ranking results
highlights multimodal, music information, help music, multimodal, multimodal music, music scores, music computing, various music, multimodal algorithms, music modalities
retrieval indonesia, retrieval using, thesaurus documents, process thesaurus, using thesaurus, applying thesaurus, thesaurus query, implement thesaurus, application thesaurus, retrieval thesaurus
ranked systems, unreliable rankings, ranking method, ranking, systems ranking, effectiveness rank, ranks results, rankings information, systems rankings, rank reliability
research information, information seekers, search electronic, research needs, searching useful, information use, information search, search information, information seeking, information sources
approach arabic, arabic nlp, resources arabic, compare arabic, arabic semantic, arabic morphology, semantics arabic, information retrieval, arabic language, arabic words
xml, xml text, xpath, retrieval algorithm, xml retrieval, keyword retrieval, xml document, information retrieval, retrieval method, research xml
quran, quranic words, nlp arabic, applied quranic, based arabic, quran information, arabic morphology, arabic language, arabic, field quranic
document intelligent, retrieval campus, search catalog, library automation, retrieval academic, document retrieval, library based, online retrieval, campus document, academic libraries
retrieval based, watershed regions, query image, retrieval, object identification, information retrieval, retrieval systems, identify watershed, image retrieval, retrieval components
retrieval google, google android, texture based, color texture, android mobile, retrieval color, extraction android, android, texture feature, image retrieval
indexing nowadays, document ranking, retrieval users, ranking using, ranking, built retrieval, rank documents, semantic indexing, information retrieval, ranking index
retrieval performance, improve retrieval, diversity combining, rank combination, retrieval, multiple retrieval, cognitive diversity, retrieval systems, information fusion, rank score
retrieval following, retrieval data, retrieval process, search model, information search, information retrieval, retrieval documents, data retrieval, search information, retrieval computing
search engines, retrieval model, searched user, retrieval methods, retrieval accuracy, search engine, retrieval, information retrieval, user search, retrieval models
capacity training, training college, awareness college, capacity, experience information, information awareness, capacity college, capacity high, information, information capacity
privacy, privately retrieve, privacy individual, wants privately, individually private, variant private, privacy agent, individual privacy, protect privacy, private information
formulae, retrieval algorithm, text retrieval, clusters formulae, formulae index, math retrieval, structures formulae, retrieval method, formula retrieval, formulae retrieval
document ranking, retrieval using, temporal taggers, temporal information, aware retrieval, documents time, taggers temporal, information retrieval, temporal ranking, retrieval models
search queries, ranking documents, document ranking, optimize ranking, retrieval optimization, search results, information retrieval, retrieval systems, index keywords, ranking optimization
xml, possible xml, xml similarity, xml data, clustering xml, xml elements, xml documents, documents xml, similarity xml, using xml
disabled, digital library, using multimedia, content accessible, peculiarities multimedia, information disabled, multimedia technology, multimedia information, digital libraries, disabled persons
text matching, attention machine, matching deep, hierarchical attention, retrieval text, attention networks, answering model, question answering, nlp tasks, deep hierarchical
scripted urdu, retrieval urdu, urdu text, urdu documents, urdu, printed urdu, urdu document, ocr systems, recognition ocr, character recognition
visual semantic, classify images, semantic segmentation, image features, images feature, object semantic, semantic images, images database, semantics deep, image classification
texts vietnamese, extracting semantic, vietnamese legislative, documents semantic, extract semantic, classifier extract, vietnamese documents, vietnamese textual, information extraction, entities vietnamese
idf method, word association, term document, automatic indexing, semantic indexing, retrieval comparative, information retrieval, tf idf, indexing approach, language processing
documents corpus, rank retrieved, corpus rank, learning rank, retrieval, information retrieval, documents evaluation, relevance user, documents rank, retrieval recent
research arabic, arabic question, development arabic, arabic morphologically, answering systems, arabic qas, arabic, developing arabic, arabic qass, languages arabic
quran generating, quran electronic, letters quran, process quranic, quran, wording quran, book quran, quranic verses, quran preserving, words quran
mongolian corpus, retrieval mongolian, retrieval based, indexes documents, based solr, information retrieval, mongolian information, mongolian data, solr mongolian, mongolian
retrieval model, search extensive, conversational agent, text search, information search, search model, queries bert, information retrieval, contextual searching, bert embeddings
stemming paper, document indexing, terms stemming, indexing documents, text retrieval, stemming, arabic test, extraction stemming, arabic document, retrieval arabic
learning hash, modal similarity, rich semantic, global semantic, modal retrieval, hash codes, hash retrieval, information retrieval, modal hash, granularity semantic
retrieval technology, retrieval nowadays, retrieval data, text image, retrieval, image pre, media retrieval, media multimedia, multimedia data, efficient retrieval
search using, notes query, music information, retrieval using, query playing, melody snippets, retrieval, use melody, information retrieval, melody snippet
image interpretation, image interpreting, digital image, metadata image, retrieval labels, image annotation, research image, interpreting image, effectiveness image, image retrieval
semantic query, ontology mapping, retrieval using, information ontology, mapped ontology, ontology query, ontologies, information retrieval, ontology ir, query expansion
text similarities, sentence embedding, retrieval, sentence embeddings, sentence encoder, information retrieval, sentences semantics, semantic text, retrieval technique, text similarity
topics query, retrieval based, document ranking, ranked documents, ranking information, topic comment, information retrieval, document relevance, documents ranked, retrieval models
huge databases, ai technologies, big data, ai large, retrieval huge, retrieval efficiency, data retrieval, usage ai, ai massive, ai utilized
social technical, study semantic, semantic transformation, technologies changes, semantic, knowledge representation, formal knowledge, information retrieval, semantic deformation, information transformations
retrieval techniques, image databases, visual features, image features, image feature, retrieval identification, features visual, retrieval technique, image retrieval, feature extraction
improve elderly, level elderly, information literacy, elderly based, elderly ability, elderly, divide elderly, implementation elderly, elderly levels, information society
personalized recommendation, recommendation technology, user modeling, mining personalized, information recommendation, study ontology, ontology based, recommendation method, personalized user, personalized information
levenshtein channel, channels bound, problem decoder, bound list, retrieval levenshtein, errors decoder, decoder tries, channel list, decoder, decoder provides
using ranking, retrieval using, ranking algorithm, classify web, information retrieval, query classified, page classification, classification web, query classification, web mining
file big, storage computing, big data, cloud, cloud computing, unstructured data, data unstructured, data stored, cloud storage, data web
information monitoring, monitoring method, efficient information, information source, monitoring, monitoring cost, decrease monitoring, scale network, source monitoring, information sources
data dissemination, broadcast, dissemination data, networks vanets, vanets exception, vanet increasing, vanet, scheme vanet, dissemination information, vanets
hybrid agent, efficient rfid, agent based, paradigm rfid, agent uses, agent, agents retrieving, rfid, multi agent, rfid based
2009 visualization, information visualization, cloud technology, visualization article, retrieval information, cloud computing, visualization, information retrieval, similarity documents, visualization maps
translation challenge, translate query, query translation, information images, image search, retrieval translate, information retrieval, translation query, language query, search image
retrieval rough, using rough, document ranking, ranking recall, retrieval performances, applications rough, information retrieval, applying rough, retrieval classifying, rough set
histogram descriptor, retrieval based, code texture, texture features, retrieve images, image retrieval, colour code, images database, compare images, retrieval scheme
based gaze, virtual reality, gaze, presentation immersive, reality vr, immersive virtual, reality virtual, eye tracking, immersive ves, vr potential
retrieval imedline, medical image, image information, text image, figuresearch biotext, image finder, image text, information retrieval, retrieval systems, image retrieval
intelligent retrieval, retrieval model, 3d image, search engine, information search, retrieval, information retrieval, retrieval article, search architecture, personalized information
answer sentences, similarity rerank, increase recall, recall compared, rerank documents, answering task, recall, question answering, answering qa, text similarity
3d information, spherical camera, acquisition 3d, vision useful, optimize 3d, vision based, based spherical, robot navigation, robot vision, image acquisition
qa approaches, question templates, question answering, contains answers, questions paper, qa, information retrieval, answering approaches, questions, natural language
competency factors, training vocational, vocational, competency training, vocational education, content vocational, ability vocational, technology competence, technology competency, vocational teachers
retrieval recall, relevance query, retrieval consider, ranking method, ranking, query ranks, retrieval, information retrieval, retrieval method, presents ranking
relevance feedback, retrieval process, maintain retrieval, retrieval methods, retrieval, information retrieval, using relevance, use relevance, search propose, retrieval relevant
lossy compression, compression, parameters compression, feature preservation, data reductions, compression scientific, preserving compression, compression technique, improve compression, compression predicting
customized information, personal information, application architecture, information discovery, applications based, architecture personal, retrieval propose, retrieval applications, style applications, applications implementation
translation improving, translation systems, synthetic corpus, translation quality, corpus easily, domain adaptation, parallel corpora, monolingual corpora, machine translation, improving translation
document indexing, indexing, indexing comparative, best indexing, information retrieval, indexing approaches, words indexing, arabic document, indexing using, arabic information
information seekers, based expert, information searches, identifying knowledge, expert seeking, knowledge brokers, information seeking, enterprise knowledge, enterprise research, knowledge mediate
hashing algorithm, information hashing, hashing fast, image hashing, hashing information, scale hashing, hashing, image retrieval, hashing techniques, supervised hashing
parkinson progression, retrieval techniques, parkinson, parkinson disease, biomedical data, medical reports, available parkinson, information retrieval, disease data, similarity medical
biomedical relation, knowledge base, relationships biomedical, biomedical knowledge, document entity, entity relations, entities documents, entity graph, knowledge bases, relation extraction
hashing methods, retrieval model, learn hash, data hash, hash table, data retrieval, modal hashing, hashing, hash model, hash
based search, concept representation, semantic relationships, retrieval, information retrieval, retrieval systems, relatedness extend, retrieval method, semantic relatedness, query expansion
stemmers microblog, tweets performance, stemming shown, language microblog, arabic stemmers, retrieval stemming, analysis arabic, arabic language, stemming, stemmers arabic
retrieval cbir, segmentation feature, retrieval, based image, clustering algorithm, retrieval viz, clustering, image retrieval, indexing feature, feature extraction
documents based, documents ranking, ranking using, summarize documents, similarity scores, ranked documents, information retrieval, retrieval textiling, documents ranked, document similarity
recruitment selection, intelligent recruitment, selection personnel, procedure recruitment, systems hr, technologies hr, automation hr, information systems, hr management, hr processes
retrieval model, retrieval paper, retrieval based, semantic feature, text retrieval, retrieval methods, document retrieval, extraction similarity, bert deepct, deepct knrm
bug localization, buglocator projects, statements buglocator, mutation analysis, mutation based, fault localization, outperforms buglocator, software fault, code files, retrieval mutation
word lemmatization, analyzer turkish, using turkish, turkish using, turkish lemmatizer, information retrieval, retrieval turkish, approaches turkish, turkish text, language processing
retrieval na, section mass, storage data, prolog section, storage, prolog, retrieval, data, data retrieval, mass storage
words models, word vectors, word embeddings, results arabic, embeddings arabic, matching keywords, information retrieval, keywords models, arabic documents, arabic information
event, triggered distributed, event information, nodes estimate, retrieval distributed, inter event, distributed estimation, communicate estimation, untransmitted information, event triggered
enhance search, paraphrased combinations, query paraphrasing, paraphrasing model, query paraphrased, paraphrased queries, paraphrasing, information retrieval, paraphrasing using, search query
information map, scientific papers, information cartography, heterogeneous information, document representation, cartography scientific, information retrieval, network compression, link prediction, representation network
classifiers searching, algorithm bat, classifier, data mining, clustering classification, text mining, algorithm clustering, clustering algorithm, feature selection, clustering
dsmn personalized, retrieval algorithm, semantic similarity, retrieval, relevance score, retrieval algorithms, information retrieval, semantic matching, retrieval experiments, personalized information
automate fact, website snopes, news stance, news evaluated, stance detection, fact checking, news headlines, news misinformation, identification news, news challenge
information government, processing nlp, nlp concept, retrieval information, request government, government service, information retrieval, citizens government, government documents, concept indexing
relevance users, document popularity, relevance calculation, collaborative relevance, relevance calculated, relevance variable, calculate relevance, retrieval relevance, information retrieval, relevance distributed
malayalam manually, multilingual clir, tamil malayalam, malayalam, language search, retrieval text, languages query, information retrieval, language information, language retrieved
arteries, coronary arteries, arteries purpose, medical images, arteries semantic, artery distribution, topologies arteries, modeling coronary, artery, image retrieval
meaning query, ontologies queries, query ontology, ontology providing, retrieval scenarios, ontologies, retrieval, information retrieval, retrieval systems, using ontologies
metrics precision, retrieval mlir, metrics multilingual, query language, languages results, multilingual, weight languages, information retrieval, retrieval multilingual, multilingual information
searching habits, resources university, electronic resources, resource students, seeking behavior, information technology, online resources, information seeking, utilizing online, electronic resource
query semantic, xml ontology, educational documents, semantic ir, retrieval ir, provide semantic, semantic similarity, semantic resources, information retrieval, retrieval educational
based search, unstructured textual, retrieval process, keyword based, classification document, based knn, retrieval, unstructured data, document retrieval, knn classification
terms retrieval, retrieval methods, emr retrieval, terms ranking, retrieval compared, information retrieval, retrieval synonyms, terms emr, retrieval results, query expansion
image sparse, using sparse, sparse representation, sparse dictionary, sparse feature, image similarity, based sparse, sparse coding, retrieval image, image retrieval
answering nlp, scalable retrieval, hashing retrieval, retrieval dynamic, deep hashing, retrieval, question answering, based seq2seq, document similarity, efficient retrieval
answering technology, retrieval based, search ranking, credibility retrieval, ranking, information retrieval, question answering, answer retrieval, ranking based, answer service
query words, substring algorithm, spoken document, lcs phoneme, text retrieval, common substring, document retrieval, substring lcs, phoneme recognition, retrieval problem
localization irbl, bug localization, bug order, fault localization, bug statements, improve localization, localization sfl, isbl locates, locates bug, software bug
pathology images, health image, medical image, images individual, image library, diseases image, image data, contain images, care images, image retrieval
turkish web, search internet, retrieval uses, web ear, search engine, retrieval, retrieval search, information retrieval, ear information, speech expressions
code knowledge, information software, collaborative information, development collaborative, shared software, information recommender, information developers, collaborative, recommender cir, software developers
korean method, korean language, answer learning, language tokenization, using korean, information retrieval, question answering, passage retrieval, retrieval method, retrieval models
features satellite, satellite cloud, image histogram, satellite information, texture features, image information, cloud image, cloud images, image retrieval, satellite image
recommendations emergency, rescue operations, aid rescue, design rescue, graph informed, graph based, emergency situations, wearable knowledge, knowledge graph, informed visualization
retrieval nlp, text matching, embeds text, language processing, processing nlp, nlp study, tasks nlp, text pairs, information retrieval, nlp text
bag words, image similarity, retrieval, distance satellite, dataset sar, feature extraction, image dataset, image retrieval, satellite image, sar image
query structure, structure queries, queries, query lengths, language queries, queries reveals, information retrieval, expansion retrieval, retrieval query, query expansion
social media, crisis related, crisis status, crises management, information social, media crises, crises situations, information retrieval, crisis communication, media emergency
retrieval satm, augment semantic, semantic augmentation, sentence embedding, semantic similarity, sentence embeddings, retrieval propose, learning augmentation, retrieval augment, document embeddings
web information, retrieval users, context information, search web, search results, context retrieved, information search, retrieval, users search, information retrieval
based cluster, clustering vehicles, transporting content, retrieval sharing, data networking, clustering mechanism, cluster proposed, data routing, topic clustering, cluster
links semantic, topic models, queries relevance, retrieval using, knowledge profile, social information, queries social, information retrieval, dirichlet allocation, latent dirichlet
english hindi, keyword ranking, query terms, hindi wordnet, hindi clir, improving retrieval, information retrieval, language information, hindi, translated query
usage databases, available databases, engineers ieee, databases, databases engineers, databases information, databases scientific, information retrieval, various databases, important databases
retrieval big, big data, retrieval algorithm, intelligent archives, retrieval based, archives management, file management, document retrieval, information retrieval, data retrieval
hawking analysis, bound entanglement, entanglement entropy, radiation hawking, entropy relaxing, change entanglement, correction hawking, entanglement, hawking argument, increase entanglement
retrieval technology, retrieval information, retrieval important, search engine, retrieval distributed, retrieval, distributed information, retrieval search, information retrieval, data retrieval
effectiveness urdu, language stemming, stemming algorithm, urdu retrieval, effective stemming, text stemming, urdu text, stemming extract, proposed stemming, stemming algorithms
hevc based, frames hevc, hevc, retrieval hevc, hevc compressed, video retrieval, hevc frame, hevc coded, image retrieval, histograms retrieval
topic models, topic modeling, text analytics, ticket analytics, extract topics, probabilistic text, information retrieval, ticket annotation, topics, topic represented
retrieval findings, improved retrieval, deep learning, deep neural, retrieval, retrieval deep, multimodel deep, document retrieval, medical document, rnns deep
lingual data, researchers multilingual, multilingual environment, language retrieval, multilingual, support multilingual, multi lingual, information retrieval, retrieval multilingual, multilingual text
framework idf, alternative idf, bm25 idf, text retrieval, retrieval text, elasticsearch, elasticsearch developed, information retrieval, analytics idf, tf idf
intelligent retrieval, ontology management, design ontology, retrieval process, ontology focuses, ontology, ontology paper, technologies ontology, based ontology, ontology construction
publications datasets, influence retrieval, retrievability datasets, retrieval access, retrieval speciality, integrated retrieval, retrieval, publication retrieval, usefulness metrics, retrieval models
banknotes, currency classifying, currency information, banknotes fetch, identify banknotes, paper currencies, paper currency, currency, currencies assistance, currency uploaded
impaired users, impaired person, retrieval assistance, visually impaired, visually challenged, query audio, information retrieval, histogram recognition, retrieval assisting, impaired people
service web, ir service, cloud, retrieval service, architecture cloud, cloud age, retrieval ir, concepts cloud, web things, ir collection
learning rank, query results, retrieval, relevance score, retrieval module, information retrieval, retrieval modules, retrieval efficiency, retrieval results, optimizes relevance
based search, knowledge base, knowledge model, retrieval using, base search, keyword based, searching deciding, retrieval, improve search, information retrieval
image features, matrix factorization, image matching, features bandwidth, clustering image, accurate retrieval, retrieval accuracy, pca nmf, factorization nmf, retrieval protocol
databases, database, dbms cloud, distributed biodiversity, database management, databases environment, query application, biodiversity information, biodiversity databases, remote database
systems curriculum, text analytics, program bsc, curriculum bachelor, mapping curriculum, curriculum, curriculum industry, competencies industry, core curriculum, curriculum competencies
corpus text, categorize data, classification, retrieval text, text mining, knowledge corpus, unstructured text, known text, information retrieval, machine learning
way microblogging, relevance tweets, microblogging, retrieval tweets, tweets, retrieving tweets, situations microblogging, tweets collected, tweets retrieved, microblogging sites
bug localization, bug report, code source, improved bug, locating buggy, source code, automated bug, buggy files, retrieval version, rank buggy
retrieval performance, visual query, retrieval using, retrieval methods, visual context, query image, object retrieval, retrieval, retrieving images, retrieval method
xml, text structure, text xml, xml non, xml format, extracting text, xml structural, structured xml, structure extraction, information extraction
overview rcis, rcis submissions, impactful rcis, rcis, major rcis, rcis research, rcis community, challenges information, future rcis, information science
building knowledge, graph database, search effectively, answer technology, knowledge graphs, relational graph, information retrieval, question answering, processing relational, knowledge graph
fuzzy aggregation, merges ranked, ranked results, merging information, result merging, aggregation results, retrieval application, information retrieval, retrieval systems, results merging
synonyms, synonyms efficiently, obtain synonyms, word similarity, synonyms library, information synonyms, synonyms domain, obtaining synonyms, corpus word, vector corpus
mobile web, content retrieval, mobile browsing, mobile, retrieval mobile, mobile information, mobile computer, computing mobile, web mobile, mobile computing
refers cliques, retrieval model, query paper, words query, cliques query, contexts query, retrieval, information retrieval, query context, use cliques
retrieval intelligent, based distributed, retrieval site, software cheerleading, score processing, cheerleading projects, information retrieval, site score, data retrieval, distributed architecture
retrieval using, ranked lists, queries unsupervised, retrieval, rank aggregation, image retrieval, image descriptors, rank information, reciprocal rank, retrieval results
iomt nodes, iomt fog, things iomt, medical information, fog nodes, smart healthcare, iomt based, medical data, healthcare internet, healthcare monitoring
retrieval approaches, arabic question, arabic natural, selections arabic, answering systems, semantic indexing, information retrieval, question answering, arabic, enhancing arabic
retrieval model, language neural, retrieval methods, retrieval existing, retrieval method, information retrieval, language retrieval, neural retrieval, cross language, retrieval models
based bug, bug localization, techniques bug, retrieval based, affected code, information bug, bug locate, code sections, information retrieval, automated bug
stopword list, removing stopword, processing nlp, stopwords typically, stopword nlp, automatic stopword, known stopwords, stopword removal, stopword lists, stopword identification
processing nlp, documents serbian, nlp government, text documents, unstructured text, serbian crime, information documents, serbia trends, serbian language, serbian
documents search, text hashing, big data, retrieval text, search engine, unstructured data, document retrieval, retrieval generation, information retrieval, analysis retrieval
image matching, image clustering, image patterns, clustering image, document images, query images, document retrieval, document image, scanned document, character recognition
retrieval cbir, retrieved images, image features, better retrieval, image database, query image, images query, deep network, image retrieval, database images
user relevance, using relevance, relevance provide, retrieval user, relevance criteria, information retrieval, retrieval framework, query representation, generalized retrieval, query expansion
tokenization algorithm, extraction text, study tokenization, called tokenization, extracting tokens, tokens texts, creating tokenization, information extraction, tokenization, tokenization study
retrieval using, searching retrieval, ontological, managed ontologies, retrieval mechanism, ontologies, ontologies mechanism, information retrieval, ontological web, using ontological
known server, retrieval protocols, retrieval information, messages database, download rate, retrieval, subset messages, server round, private information, messages stored
recording transcript, video transcript, transcripts diverse, measure transcript, transcript data, transcript documents, interactive transcripts, generated transcripts, class transcripts, transcripts
retrieval dataset, query suggestion, suggestion algorithms, search engine, query suggestions, retrieval, personalized query, information retrieval, suggestion algorithm, retrieval research
search engines, keyword search, retrieval semantic, web search, keyword based, search engine, semantic search, keyword web, semantic keyword, information retrieval
retrieval approaches, retrieval based, document search, data search, search search, terms search, improve search, information retrieval, documents agents, document expansion
developing virtual, architecture virtual, library information, information virtual, books format, information preservation, virtual library, development virtual, library proposed, library
information scheduling, information colleges, universities colleges, colleges adaptive, information teaching, college teaching, optimize teaching, teaching information, colleges universities, university teaching
retrieval news, video textual, person indexing, retrieval using, video sequences, recognition overlay, automatic indexing, indexing retrieval, video content, information indexing
bugs reviewing, developers debugging, bugs experimental, reported bugs, help developers, developers tasks, bug reports, software bugs, reproducing bugs, bugs developers
improve ranking, ranking, physician data, learning rank, ranking results, retrieval, information retrieval, retrieval evidence, search functionality, medical records
ontology eurovoc, legal information, extracted wikipedia, ontology, improving legal, legal ontology, using wikipedia, information retrieval, legal experts, wikipedia knowledge
data ontology, ontology map, ontology keywords, relevance data, applicability data, data sources, identify ontology, retrieval client, projects matching, data retrieval
retrieval systems, embeddings bert, document retrieval, document representations, contextual embeddings, advanced retrieval, transformers bert, tfidf bert, document frequency, document embeddings
retrieval using, search history, architecture personalizing, precision personalized, personalizing, retrieval improved, information retrieval, personalized, personalizing information, personalized information
using emotion, extracted emotion, information artwork, emotion layer, emotion speech, retrieval recommendation, datasets artwork, information retrieval, sentiment cues, speech sentiment
leveraging bert, relevance scoring, embeddings relevance, bert query, relevance feedback, bert model, learned bert, retrieval leveraging, transformers bert, retrieval sdr
index file, files signature, tree algorithms, tree index, indexing techniques, indexing, information retrieval, retrieval systems, indexing structure, signature files
semantic query, automatic query, wordnet, based wordnet, wordnet stochastic, lexical semantic, information retrieval, retrieval systems, term vocabulary, query expansion
improving xml, relevance documents, xml, expansion information, xml retrieval, term element, perform xml, xml query, better retrieval, query expansion
search engines, ontology matching, websites keywords, query keywords, retrieval, fast retrieval, query searching, information retrieval, utilizing ontology, intelligent ontology
hash tables, image features, sensitive hashing, distributed hash, retrieval, hashing lsh, locality sensitive, retrieval framework, hashing, image retrieval
retrieval based, results search, optimize retrieval, retrieval, document retrieval, sort retrieval, personalized, personalized document, research personalized, retrieval results
exploring information, anxiety internet, computer anxiety, anxiety technological, information overload, information anxiety, internet anxiety, anxiety research, technological anxiety, fear information
criteria fuzzy, information recommendation, recommendation display, education information, recommendation recall, based fuzzy, information retrieval, educational information, recommendation information, recommendation based
arabic corpus, perform stemming, arabic plurals, stemming techniques, stemming, arabic stemmers, stemming achieved, referred stemming, recognition stemming, stemming process
answering retrieval, dynamic programming, retrieval process, retrieval method, question answering, entity recognition, answer retrieval, answer process, language model, answering process
ecology applications, mems technology, mems ecological, mems example, systems mems, application micro, information systems, applications mems, application mems, information technology
rearranged chain, algorithm rearranges, algorithm edge, retrieve rotated, proposed algorithm, code rearranges, code edges, chain code, flips code, rotated images
analysis browsing, retrieval technology, retrieval information, search example, searching information, resources search, information search, retrieval, information retrieval, retrieval norm
classification index, data mining, retrieval algorithm, fusion algorithm, databases, retrieval designed, data search, algorithm central, information retrieval, index based
corpora, extraction algorithm, english corpus, corpus computer, english corpora, corpus, corpora firstly, extraction algorithms, corpus evaluate, information extraction
unstructured information, management implementation, resources management, information resources, information analysis, university unstructured, unstructured, management software, grid based, information management
egyptian hieroglyphs, hieroglyphic, application egyptology, hieroglyphic texts, egyptology, tir egyptian, hieroglyphs work, egyptian hieroglyphic, egyptology digital, hieroglyphs
keyword searches, text classification, retrieval designed, search engine, news thai, language news, news retrieval, information retrieval, language information, content thai
retrieval model, smart library, retrieval information, retrieval process, library based, library sensing, search requirements, information retrieval, retrieval systems, selecting retrieval
retrieval model, using bilingual, documents translation, bilingual formal, retrieval propose, information retrieval, language information, indexing bilingual, bilingual documents, retrieval models
technology advance, information culture, technology culture, technology based, concept modern, technology, reform, reform context, course reform, information technology
associative image, retrieval platform, biomimetics image, retrieval, image search, information retrieval, fields retrieval, image retrieval, retrieval results, retrieval scheme
retrieval techniques, evaluate semantic, writing criminal, semantic search, syntactic indexing, semantic indexing, information retrieval, lexical search, criminal cases, analysed prosecution
wolaytta language, cross lingual, language retrieve, lingual information, query language, multilingual world, multilingual, translation query, problems multilingual, wolaytta english
