books named, Grammar Books, important materials, Gutenberg Project, Text Mining, English, English Grammar, unstructured data, Century English, Books
Music Teaching, facilitate professional, music information, Retrieval Method, find multimedia, Markov Model, Hidden Markov, frequency content, Information Retrieval, Professional Music
Clinical Medicine, System, effective treatment, Treatment Plan, Lucene-based retrieval, Medical Subject, Clinical, low retrieval, System Oriented, Retrieval System
document collections, Museum Unit, source technology, technology Vector-space, retrieval system, open source, successfully implemented, information retrieval, popular information, Vector-space model
focused crawling, crawling Nowadays, vector, Nowadays, computers store, Web, terms, specific websites, webpages, information
multi-agents information, personal Agent, user Agent, mining Agent, intelligence evolution, Agent, retrieval system, system based, information retrieval, communication Agent
Approach, Retrieval, Ad-hoc, Ad-hoc Information, specific topic, Information Retrieval, user, Improve Precision, documents, Improve
cipher text, Provider, cloud, data, retrieval, information retrieval, Service Provider, Cloud Service, private information, users choose
Intelligent Sign, Language Corpus, Big Data, Data Information, Tourist Attractions, Retrieval Construction, Information Retrieval, Corpus, Sign, Sign Language
Issues, Survey, Retrieval Models, Web Information, searching, Models Techniques, main objective, Models, Information Retrieval, Web
parsing models, parse trees, previous work, long-span word, model long-span, word dependencies, dependencies efficiently, information retrieval, syntactic parse, traditional syntactic
search function, retrieval rule, searchable fields, result output, standardization Base, puts forward, Information Retrieval, paper analyzes, system revelation, output content
system, patent documents, cross-language retrieval, module, search Chinese, retrieval, document retrieval, patent, English patent, people obtain
Medical Document, empower diagnosis, Medical, Retrieval, Semantic-Based Medical, health care, care professional, Lightweight Semantic-Based, Document Retrieval, Medical information
Sequences, synthetic aperture, aperture radar, Unified Framework, VideoSAR Sequences, Video synthetic, attracted significant, Framework Video, significant attention, computer vision-based
Techniques Information, result, Learning Techniques, Ranking, Machine Learning, Learning, PSO, research area, Information Retrieval, Machine
Method, Retrieval, search results, find back, Weighting Method, Tf-Idf Weighting, Information Retrieval, Detik.Com’s Website, Website Information, results
Legal, Artificial Intelligence, remains understudied, legal question, effective deep, Deep Learning, Learning Methods, Information Retrieval, Question Answering, legal field
sampling, relevance feedback, Moving Virtual, Boundary strategy, retrieval system, labeling model, information retrieval, selective sampling, selective, Virtual Boundary
BERT-based FAQ, performance, Simultaneously FAQ, Question, Answer, question-answer pairs, FAQ Retrieval, Answer Simultaneously, FAQ, Retrieval System
Informational Influence, Destructive Informational, article describes, Information, Influence, Social Networks, Social, Retrieval Methods, computational experiment, research work
Content-based video, image, interesting point, video, query, algorithm Content-based, video retrieval, level feature, daily life, feature extraction
Intelligent Retrieval, standard documents, Security Standards, Power Grid, rapid development, Grid, Grid Security, information technology, Question Answering, Power
Conflicts, space, cases, Specialists working, problem, Information, Global, global networks, Parties, Interest
Finding Core, Crosscutting Concerns, Oriented Systems, Object Oriented, Core Crosscutting, Concerns, software development, Information Retrieval, software products, development cycle
data mining, current Internet, Internet information, constant increase, retrieval system, data, puts forward, information retrieval, mining technology, Internet
Wikipedia, short queries, Retrieval Performance, Improving Retrieval, Category, text search, Wikipedia Category, Knowledge, feedback, Category Knowledge
Past, textual data, bioinformatics, data sources, data, peer-reviewed articles, Text mining, Text, biology, present
Private Information, PIR, Improved Private, storage systems, PIR capacity, Information Retrieval, Distributed Storage, noncolluding nodes, distance separable, Retrieval Protocols
System, Information Management, curricula, Doctoral Education, impact, China, Information, Management, Education, System Doctoral
Multiple, Comparative Study, performance, individual, cases, Retrieval Systems, combining multiple, Multiple Retrieval, Systems, multiple information
Efficient Information, Fracture Liaison, Liaison Service, Highly Efficient, Risk Evaluation, optimized data, Information Retrieval, Large Healthcare, Healthcare Datasets, significant risk
model, resources, enterprise information, informatization construction, information resources, effectively sharing, application, integration model, enterprise, constantly advancing
XML, HTML, searching information, retrieval, Information retrieval, depict data, vector space, similarity, space model, documents
Space, Vector, Vector Space, Model Vector, Based, Model, Information Retrieval, Document-Based Information, Space Based, Retrieval Model
system-centered approaches, Query, cross-language information, Query expansion, personalized cross-language, retrieval, favored system-centered, information retrieval, personalized, retrieval research
approach, Space Model, attention recently, Efficient Search, Gnutella Efficient, Vector Space, drawn significant, information retrieval, retrieval systems, Class-based approach
Temporal, retrieval technology, Retrieval, Data Graph, relational database, Method Based, important role, Temporal Information, Information Retrieval, hot spot
Care, personalized search, Point, retrieval, systems, Context-sensitive, Information systems, Care CCS, CCS CONCEPTS, CCS
Privacy Meets, Private Information, Wiretap Channel, Wiretap, Channel, Meets Security, security constraint, Private, Information Retrieval, Meets
health records, Context-Aware Queries, big data, electronic health, Clinical, Information Retrieval, data revolution, searching large-scale, hefty demand, large-scale electronic
wireless sensor, trained sensors, Tsunami, Tsunami detection, natural hazards, information retrieval, target sites, proposed framework, Intelligent information, sensor nodes
modalities, similarity, Due, data, wide availability, cross-media retrieval, heterogeneous data, retrieval Due, mining heterogeneous, documents
retrieval model, IMS, medical-context aware, demands terminology, specific knowledge, domain specific, terminology understanding, information retrieval, comprehensive ranking, query expansion
reliability, general reasoning, skill, cognitive ability, crowdsourced results, relevance judgments, reasoning skill, crowd sourcing, workers' varied, varied degrees
preferably incorporate, network, perspective Future, probability theory, retrieval, content descriptions, network extraction, Information retrieval, Future Information, social network
Communication System, AAC, System, Retrieval, Alternative Communication, proposed method, Alternative, Information Priority, method, Priority
technical advances, multiple digital, information, ICT, digital media, media objects, representing multiple, increasing quantities, information representing, Extensive overview
Temporal semantics, Temporal, Retrieval, TSIR, TSIR system, Information Retrieval, semantics Information, Chinese Temporal, semantics, retrieval research
text classification, Weighting, Terms, retrieval, Weighting Algorithm, information retrieval, Text, vector space, automatic text, space model
Systems Query-document, Arabic Information, vocabulary mismatch, main issues, short queries, Retrieval Systems, Query Expansion, Information Retrieval, Query-document vocabulary, Query
Sensor Information, Indexing Billions, large volume, Retrieval, continuously generate, Things, Sensor, Billions, Information Retrieval, Internet
Resource Database, Improved Grey, Students Subsidy, Subsidy Resource, information resources, Database Based, Grey Correlation, Correlation Degree, Poor Students, Resource
swarm optimization, search techniques, web information, direct search, retrieval, PSO, search, information retrieval, algorithms, Parallel swarm
Retrieval, Prioritization Based, tests, Program, Retrieval Approach, Test Prioritization, Information Retrieval, large regression, Regression Test, validating program
Retrieval, Ontology, Decision Rules, Knowledge Representation, ontology knowledge, Knowledge, Information Retrieval, Uncertain Ontology, essential role, efficient functioning
Sentence Extraction, Domain Criteria, RDoC Task, mental illness, Mental, Research Domain, Mental Health, Information Retrieval, National Institute, Criteria Research
approaches Nowadays, retrieval system, ancient manuscript, Kabuyutan Ciburuy, growing rapidly, Nowadays, Jawa Barat, Situs Kabuyutan, information, Sundanese ancient
based, based semantic, semantic search, retrieval, today scenario, grand vision, search, improving retrieval, ontology based, related information
intuitive operation, real, world, application based, geo-visual clustering, real world, retrieval, retrieval application, information retrieval, Clickable real
semantic query, Schema Matching, data integration, Retrieval, Study, Case Study, data warehousing, data, query processing, Information Retrieval
improve academic, Empirical Study, Violation Findings, Academic Violation, academic performance, Academic, Tools based, Checker Tools, Similarity Checker, Information Retrieval
Language Modeling, Permuted Language, vocabulary mismatch, Retrieval, Modeling, semantic, Indonesian Drug, Information Retrieval, Drug Data, statistical information
represent document, sense disambiguation, relevance feedback, document contents, WSD, query, retrieval, expansion, represent, information
Algebra, text retrieval, conceptual representation, paper introduces, Based, retrieval system, text processing, Concept, Text, Concept Algebra
Private Information, Caching Databases, Uncoded Caching, PIR, Retrieval, Heterogeneous Uncoded, single file, download cost, Information Retrieval, PIR download
social concepts, Online Social, book marking, Improving Context, Retrieval, Context Awareness, Information Retrieval, social network, Awareness Information, Social
matching, model, computer platforms, pattern matching, pattern, database management, neural network, probabilistic pattern, Distributed information, storage structure
Handling, spoken document, query, Handling verbose, retrieval, information retrieval, accurately describe, query exemplars, verbose queries, negative impacts
search engines, Evaluating Arabic, growing demands, computing field, field highlights, WordNet Ontology, language analysis, information retrieval, Arabic WordNet, Arabic
Retrieval Technology, Technology, National Knowledge, Retrieval, Knowledge Infrastructure, China National, Applying Information, Information Retrieval, Analyzing, Guangdong University
fingerprint data, quantum-secure key-exchange, provably-secure symmetric, scheme supported, Experimental symmetric, offering secure, quantum network, information retrieval, private information, symmetric private
Information Resources, Semantic, Resources Based, Cross-media Semantic, semantic information, Based, Semantic Retrieval, Deep Learning, Deep, Retrieval Methods
Private Information, Retrieval, Locally Decodable, Locally, Private, Decodable Codes, Smooth Locally, Information Retrieval, Smooth, Codes
major elements, Client browser, Development Based, Aircraft Development, Heterogeneous database, Information Database, Communications layer, database system, paper proposed, Retrieval System
Optimized Feature-Based, Entropy Optimized, supervised dictionary, retrieval performance, Average Precision, Representation, Retrieval, learning method, Information Retrieval, dictionary learning
system, Retrieval Information, Retrieval, huge dataset, user intention, Ranking, Models, Information Retrieval, Analysis, Ranking Models
information, major challenge, multi-party computation, secure multi-party, outsourced data, computation, data, secure, effective private, Privacy
private information, non-trivial, information-theoretically secure, communication cost, colluding resistant, hybrid private, non-trivial communication, information retrieval, private, Maintaining information-theoretically
history, natural, digital preservation, retrieval system, natural history, e-Cultural heritage, Indonesian e-Cultural, system Digital, Case study, Case
Learning Engines, Accuracy Latest, Enhance Information, Automated Learning, big quantities, leveraging big, upward push, notch accuracy, artificial intelligence, Latest advances
Retrieval, Batch Evaluation, uniform-step interval, measurement scales, number line, Information Retrieval, Meaning, Measures, reciprocal rank, recent papers
texts based, retrieval information, Arabic language, work presented, Arabic texts, linguistic features, paper aims, information retrieval, Arabic, AXON
Based Reasoning, Retrieval, Vertical Association, Case Based, Based, similar problems, Knowledge, Information Retrieval, Shannon Information, problems occurred
Retrieval Model, Market Index, Based Information, Model, Fuzzy Document, Information Retrieval, Fuzzy, Stock, Document Based, Stock Market
geographic information, Semantic Web, applications representation, Expression Web, ontology, knowledge management, Web, Web technologies, information retrieval, mapping ontology
hot, Personal Information, recent, Information Management, Research, years, Management, recent years, Personal, hot topic
database, Multi-Server Weakly-Private, Retrieval Private, Private, download rate, requested file, Information Retrieval, protocols, Scheme, Private information
PSO methodology, swarm optimization, Web Information, particle swarm, web documents, PSO, retrieval, improved response, web, Swarm Intelligence
Profiling, Al-Quran, Retrieval, thematic search, Retrieval Profiling, search, RPF, search process, Profiling Framework, Thematic Interpretation
Testing, Software systems, Configuration Errors, Troubleshooting Configuration, systems introduce, Testing Software, increasing number, Information Retrieval, provide flexibility, Errors
text information, dataset designed, Zarebin search, dataset, Retrieval, designed specifically, Persian, Web, information retrieval, Persian dataset
Brand Reputation, public sentiment, world characterized, Reputation Monitoring, rapid information, information sharing, consumer feedback, changing public, Monitoring, Sentiment Analysis
Thailand, business-oriented information, digital transformation, undergo digital, retrieval, Thai, Thailand undergo, information retrieval, effective Thai, Query
privately retrieve, PIR protocols, WPIR, Retrieval, Weakly-Private Information, download cost, perfect privacy, protocol guarantees, Information Retrieval, single-server WPIR
Event Temporal, Events formulate, Big Data, Analytics, Big, semantic units, Information Analytics, Events, Text-Based Event, temporal information
Space, Classify Arabic, Arabic Text, Vector, Vector Space, researchers, abstract doucments, Space Model, Text, study chose
stacking networks, special type, DSN, retrieval Deep, Deep, information retrieval, networks, model equipped, deep model, Deep stacking
Based Integrated, impact analysis, Neural Network, required changes, paper introduces, Network Based, Integrated Model, Information Retrieval, change impact, current information
search engines, GPU accelerated, Bloom filter, GPU, cognitive databases, retrieval, Bloom, information retrieval, accelerated information, advertisement placement
search engines, social media, Local Textual, Retrieval Method, big data, Textual Information, Integrating Global, Information Retrieval, LDA, Dirichlet Allocation
call transcripts, Learning Traditionally, research notes, SEC filings, Alternative Data, earnings call, analysts’ time, financial services, Information Retrieval, services industry
medical retrieval, Semantic, clinical data, query request, Semantic analysis, information search, effectively discover, search technologies, enhanced medical, medical
Review, seeking models, important topic, users browse, Seeking, Models, Seeking Behavior, Users' information, Information Seeking, Behavior Users'
text-based image, image, text description, oil painting, painting image, technology, strategy based, feedback, image retrieval, oil
CURE, test, Retrieval, Evaluation, Urdu, test collection, Urdu Information, Retrieval Evaluation, Information Retrieval, widely spoken
networking sites, Information Networks, Social networking, image rich, Networks, rich information, commerce web, upload billions, Image, web sites
literature, Chinese, deep resolution, vital role, large scale, structure evolution, analysis, citation analysis, paper evaluation, citation
Approach, system, Legal, Retrieval, cases, Legal Text-Documents, Intelligent Approach, significant extent, Document retrieval, documents
Data Structure, exponential growth, Integrating Data, Network Information, requires advanced, Computer Network, Fusion Optimization, Algorithm Integrating, Information Retrieval, Structure Fusion
integral part, people life, social networks, based, survey Social, share, disseminate information, social, Information, content based
Retrieval Cross-Language, Retrieval, CLIR, Cross-Language Information, CLIR multiple, approaches, Translation approaches, Information Retrieval, Translation, Cross
Visual, Medical Image, multi-modal context, Relevance Feedback, Ranking, challenging field, Image Retrieval, Visual information, Manifold, Manifold Ranking
data mining, Retrieval, clustering techniques, paper focuses, User Information, Web, Information Retrieval, user profiles, applying clustering, User
knowledge base, Domain ontology, retrieval model, military transportation, user interest, information retrieval, transportation Domain, provide users, interest models, personalized information
bug localization, Improving bug, Locating bugs, bug, retrieval Locating, retrieval, structured information, large-scale systems, information retrieval, BLUiR
Semantic Resources, great challenge, Retrieval, Biomedical Information, Terms, rapid development, Biomedical, latest research, Information Retrieval, Expansion Terms
undirected graph, low precision, slow speed, Retrieval, TextRank Compared, Algorithm Based, urgent desire, Information Retrieval, current information, people urgent
spectral Feature, free hand, Feature Modeling, hand drawn, Modeling, Sketch-based Image, Image Retrieval, Integral Clustering, Image, Retrieval Image
Semantic, Chinese, key technology, paper introduces, Semantic Retrieval, Ontology-Based Chinese, Model, Chinese Semantic, Technology Platform, Retrieval Model
behaviors, Emotional correlates, retrieval processes, emergent interest, retrieval, searchers' emotions, search, information retrieval, emotion data, improve information
Real Time, Machine Learning, Tracking, Information Retrieval, Internet, Learning Today, Vehicle Tracking, Vehicle, Motion Analysis, Today
Question, computer vision, Language Models, diverse modalities, Multimodal Question, challenging frontier, Models Multimodal, Question Answering, Answering, Pre-Trained Language
semantic query, ontology construction, concept similarity, similarity computation, safety semantic, retrieval system, system based, food safety, domain ontology, query expansion
Management System, System, Cloud Computing, Resource Management, Optimization, distributed technologies, Human Resource, Computing Architecture, information, paper explores
Private Information, Message Size, Databases, Retrieval Codes, Minimum Message, Information Retrieval, MDS-Coded Databases, distance separable, Capacity-Achieving Private, constructing capacity-achieving
System, collection based, query, text collection, expected information, Assamese, Assamese Extracting, Information Retrieval, large text, Retrieval System
Average, Retrieval, MLIR, Query translation, Multilingual Information, MAP MLIR, MLIR system, Information Retrieval, Multilingual, Average Precision
Efficient in-network, Retrieval, Sensor Networks, paramount importance, Networks Efficient, Information Storage, large number, Storage, Reeb graph, Load-Balanced Information
Retrieval, Text, digital libraries, based Information, crucial process, Information Retrieval, Image, Model, Image based, Collaborative Text
Decision Support, main areas, Retrieval Systems, Genetic Algoritms, Intelligence, System based, Support System, information retrieval, recent years, Competitive Intelligence
Accurate Recantations, Large, current age, Language Models, paper investigates, Internet, LLM System, paper, growing issue, Large Language
search Engine, ranking algorithms, Efficient Hybrid, user query, user, Hybrid Usage-based, Ranking, retrieval systems, Usage-based Ranking, Internet
User Behavior-Based, observed suboptimal, Video, Behavior-Based Query, Query Expansion, Expansion Approach, Video Retrieval, Query, commonly observed, User
Computing, Music Information, Audio Streams, Similarity, Audio, paper proposes, Information Geometry, Similarity Computing, Geometry, proposes methods
concept analysis, successfully applied, structuring stored, stored information, concept, analysis, retrieval, Information retrieval, lattices constructed, analysis Concept
N-grams corpus, query, query refinement, inverted index, corpus generation, user query, retrieval, corpus, terms, information retrieval
entities approach, vast amount, Topic Detection, approach Topic, information arriving, Topic, Tracking, named entities, arriving continuously, Tracking interface
Private Information, computing attacks, resist quantum, Sharing, Location Sharing, quantum computing, Privacy-Preserving Location, sharing scheme, LWE-based Private, high level
Processing techniques, Text Retrieval, Natural Language, briefing presents, Natural, Language, Language Processing, art Text, technical briefing, Software Engineering
based, accurate information, fuzzy, semantic, web documents, retrieval, approaches, Ontology based, information retrieval, web
Spoken, cascading ASR, Content Retrieval, ASR, Spoken Content, ASR accuracy, Content, Text, retrieval purposes, Speech Recognition
ontology-based oilfield, system, oilfield, pipe information, pipe, ontology, retrieval, information retrieval, non-metallic pipe, oilfield non-metallic
Private Information, Homomorphic Encryption, PIR, Retrieval, Encryption Private, Homomorphic, Private, Multi-value Private, Information Retrieval, FOCS
Varying Number, Yaakobi, Clues, Retrieval, Bruck, Input Clues, associative memories, Information Retrieval, Input, reference sets
Private Information, Location, Location Privacy, Retrieval, Intermittent Private, Private, multiple servers, user consecutively, Information Retrieval, replicated databases
Retrieval, Probabilistic Information, Search, Information Retrieval, Traditional Probabilistic, Traditional
prevent disease, DICOM, X-ray images, bring benefits, medical imaging, technology, Information, information technology, retrieval technique, medical
relevant documents, Find relevant, process information, system Find, hybrid measure, techniques embodied, retrieval system, Find, information retrieval, search process
cultural heritage, public engagement, Artwork Creating, Search, Retrieval, fostering wider, documenting cultural, wider public, Cross-Modal Search, advancing artistic
IRM, System, set, Based Information, Based, Bayesian Network, Information Retrieval, document, Model, Retrieval System
Mobile, Retrieval, mobile devices, Bloom Filter, mobile cloud, Bloom, huge volume, rapid growth, Improved Bloom, cloud environment
General Higher-Order, Customs Archives, Network Model, Neural Network, Higher-Order Neural, Archive Retrieval, Modern Guangdong, Archive, Guangdong Customs, archive information
Multiwriter Scenario, retrieval receives, Retrieval, Scenario, Terms, resources relevant, Improving Information, Document Terms, Information Retrieval, Exploiting
extreme growth, Similarity Matching, documents brought, Matching Algorithm, digital documents, Ontology-Based Semantic, Semantic Information, Information Retrieval, recent years, Retrieval Model
Experiments, Gujarati text, significant meaning, frequently occur, stop, documents Words, text documents, information retrieval, Words, called stopwords
semantic, web documents, Location based, retrieval, web crawler, Today web, web, crawler Today, information, easily processed
XML, rank approach, relevance, retrieval, Learning, XML documents, rank, information retrieval, XML information, rank effectively
Enhancing Patent, patents, Utilization, Information, technology, access existing, commercial markets, significant impacts, technology development, patent-related information
industries Modernization, medical industries, numerous challenges, genetic algorithm, lifecycle architecture, retrieval, retrieval lifecycle, experiences numerous, information retrieval, architecture based
based, engines play, K-Means clustering, web pages, search engine, Link based, search, information retrieval, clustering algorithm, engine
based, model, space, paper presents, semantic information, semantic, method based, Text, vector space, feature conversion
big data, retrieval process, computation, basic aim, broad picture, data, computation techniques, Information retrieval, big, evolutionary computation
University, Personal information, Birjand, graduate students, PIM, management behavior, Birjand Personal, Personal, process consists, information management
filtering Due, health records, electronic health, Due, multi-collaborative filtering, health, rapid growth, technology systems, individual patients, information
Affective Aspects, Retrieval, Role, narrative review, Media Richness, Aspects, Information Retrieval, Richness Theory, Media, Theory
research topics, metrics, RETRIEVAL, Performance Evaluation, Evaluation Tool, Tool, main research, Information Retrieval, Online Performance, Online
large amounts, Hash, retrieve large, Multimedia Environment, technological progress, Guided Hash, Hash Algorithm, efficiently process, multi-modal hash, Information Semantic
Information Discovery, Google Photos, Google, query, Photos, Case Study, Images, text, Discovery, Wide Web
system, question classification, Open-domain Conversational, requires talking, conversational information, question, information search, search system, search Searching, Open-Domain
content-based image, Pareto, semantic information, Image Retrieval, multiple queries, single query, query images, retrieval systems, image semantics, Image
Pattern Matching, unique patterns, multimedia dataset, Apache MAHOUT, retrieval system, data, Nowadays, information retrieval, framework Nowadays, Nowadays Designing
Approach Utilizing, active area, plagiarized passages, increasingly active, MEDLINE, IR-Based Approach, Query Expansion, Plagiarism Detection, Plagiarism, Utilizing Query
semantic spaces, community Stackexchange, Explicit, Social Information, Topic Representations, latent semantic, Latent, Spaces, Information Retrieval, dataset obtained
teaching, network teaching, compelling advantages, document, network, Compared, retrieval, document retrieval, platform, teaching platform
Enhancing, Retrieval Systems, resources generated, Enhancing Information, posed numerous, numerous challenges, exponentially increasing, challenges inside, Information Retrieval, Systems
substantially reduced, significantly enhanced, Healthcare information, federated model, Hybrid central, Healthcare, Hybrid, exchange, information exchange, medical records
retrieval Research, Research articles, biomedical information, Research, manually capture, retrieval, increased exponentially, rank, information retrieval, domain
Processing techniques, Text Retrieval, Natural Language, briefing presents, Natural, Language, Language Processing, art Text, technical briefing, Software Engineering
data integration, ontology building, Cognitive, related data, Cognitive Information, important problem, Information Technologies, Subject Area, automated ontology, Technologies Subject
multi-media data, Speed improvements, dynamic time, time warping, Retrieval-based DTW, term detection, search mechanism, Information Retrieval-based, Internet, hierarchical K-Means
coded, storage, coded data, Private, retrieval, data, download cost, information retrieval, cost, Private information
worst rankings, Corpus-based Expansion, Query, Arabic information, Relevance Feedback, Query Expansion, Pseudo Relevance, Arabic WordNet, Arabic, Semantic Similarity
Perfect Privacy, Private Information, curious server, Single Database, Non-trivial Communication, Privacy Preserving, Preserving Single, Information Retrieval, providing perfect, Privacy
Learning Based, relevant information, social media, Retrieval, years due, mobile devices, Cross-modal retrieval, Recent Deep, Deep Learning, Deep
Evidence Based, Crime Evidence, Domain Ontology, Based, Crime, Model, Computer Crime, Information Retrieval, Domain, Retrieval Model
Narrative Answers, Automatic Assessment, Automatic, REST API, Answers, Retrieval, Techniques, Retrieval Techniques, Information Retrieval, Assessment
network analysis, quality improvement, researched discipline, Link, Network science, science paradigm, theoretic approach, Link network, graph theoretic, widely researched
model, searching, network, improving information, article studies, autonomous fashion, large, fashion, information retrieval, Magenta
assumption, Probabilistic, document length, Retrieval, query terms, terms, Information Retrieval, models, Traditional, traditional Information
computing facilities, large amount, electronic form, High, Expert, Dimensional Dataset, data, Developing Expert, Text categorization, High Dimensional
normal form, Lexicon-free stemming, Kazakh, automatically isolating, existing algorithms, considered existing, information retrieval, language information, Kazakh language, paper
fast response, keyword processing, prominent data, large amount, efficient nature, query interface, Web, information retrieval, ontology based, retrieval method
Private Information, Unknown Cache, PIR, Retrieval, Cache Prefetching, basic PIR, Private, Limits, Information Retrieval, Fundamental Limits
Search Engines, Search, Retrieval, Engines Systems, Case Study, investigates information, Distributed Databases, Engines, Databases, Information Retrieval
Cyber, Retrieval, significant influence, extraordinarily increasing, influence brought, Information Retrieval, cybersecurity information, fast-growing number, Pragmatics Understanding, Visualization
Overvie Recently, vital step, linking Machine, Machine Learning, Learning, Machine, Automated Machine, Systems, Information Systems, Systems Management
Processing Technology, Marketing System, Big Data, retrieval model, Data Processing, Big, System Based, paper introduces, audio frequency, Power Marketing
cognitive load, Form Controls, Form, library database, Information, significant impact, Information Experience, university library, Experience, User Characteristics
Emergency Medicine, Medical Coordination, Medicine Context, Medical, logistics techniques, Natural Language, Machine Learning, Language Processing, Information Retrieval, Applying Natural
Big Data, music analysis, Information Big, Key Technologies, develop rapidly, Music, music recommendation, recommendation system, system develop, Internet technology
Big Data, Enhancing information, Semantic Web, semantic relationships, Web enables, resource discovery, data, retrieval, Web, information retrieval
service, agricultural information, web, agricultural, Building robust, geospatial web, robust geospatial, wide variety, information, information extraction
retrieval techniques, Traditional knowledge, Data Retrieval, achieve targeted, Method Based, AGCN-WGAN Traditional, techniques ignore, Convolutional Networks, knowledge graph, Graph Convolutional
topic feature, learning, heavily cited, model Latent, Latent, Latent Dirichlet, rank, learning literature, Allocation, Dirichlet Allocation
Advanced Edge, Develop High-Performance, Systems, Retrieval Systems, Exploring Advanced, Develop, fast increase, modern-day generation, Information Retrieval, related technologies
SPIR problem, Private Information, Arbitrary Collusion, Private, Capacity, Symmetric Private, SPIR, Information Retrieval, Eavesdropping Patterns, Patterns
Sina Weibo, Retrieval, support, popular Sina, Sina, Luxury, Cross-Modal Luxury, Sina microblog, limited support, current popular
knowledge organization, human history, Cultural Heritage, Semantic Web, Retrieval, digital age, organization systems, Future Trends, Information Retrieval, web
convenient access, worth paying, Modern History, ARS, Academia Sinica, web-based ARS, retrieval system, archive retrieval, paying attentions, Sinica Web-based
search engines, text materials, POS information, similarity function, large amount, PSWG, automatic stop-word, POS, stop-word lists, information retrieval
System Operators, System, persistent challenge, Distribution System, Non-Technical Loss, Power Grid, Grid, Information Retrieval, Loss Detection, Power
Google, Improvising Search, Expansion Current, Yahoo give, Query Expansion, Information Retrieval, Current search, Automatic Query, Query, based Improvising
retrieval techniques, techniques greatly, distributed text, greatly consume, text retrieval, system resources, Traditional text, consume system, intelligent distributed, system Traditional
World Wide, intelligent information, semantic network, time consuming, retrieval, Web, information retrieval, Wide Web, complex process, Analytical study
Impact, Link, Retrieval, software traceability, Traceability Link, Direction, corpus, Information Retrieval, Retrieval Direction, Link Recovery
Big Data, Big, Development Based, Based, Systems Development, article describes, Question-Answering Systems, Systems, Data, Data Analysis
System, text block, efficient Information, modern era, large number, Entity recognition, data, documents, Information Retrieval, Retrieval System
mass information, Retrieval, continues increasing, Matrix, Non-Negative Matrix, content-based retrieval, Factorization Method, Information Retrieval, Matrix Factorization, Model
terms occur, Arabic information, term proximity, query terms, retrieval Term, Arabic language, Exploring term, proximity statistic, information retrieval, Arabic
retrieval techniques, enhance literature-based, paper presents, knowledge discovery, biomedical literature, discovery, retrieval, Information retrieval, literature-based discovery, techniques
management process, Big Data, Big, Multimedia Big, Retrieval, Semantic, basic component, User-centered Information, Information Retrieval, Data
Handling Variability, Intelligent Information, work orders, scanned PDFs, Document Structure, maintenance papers, vast array, Information Retrieval, entail dealing, activities entail
clinical trials, seek scientific, System Physicians, Medical, Modified Medical, scientific evidence, Information Retrieval, Medical Information, making clinical, Retrieval System
system Cross, based, Retrieval, Language Information, CLIR, English-Hindi based, Cross Language, Information Retrieval, based CLIR, Cross
models integrating, PIR, PIR models, order, user, retrieval, Personalized information, information retrieval, profile, Personalized
data sparseness, Dynamic Programming, techniques extensively, Retrieval Systems, Programming Stemming, Proposed Language, Independent Stemmer, Information Retrieval, Language Independent, Machine Translation
Knowledge Graph, Semantic, research status, current research, Based, Semantic Retrieval, systems based, Graph, Retrieval Based, rice field
Approach, Traditional geospatial, User-Oriented Approach, Geospatial Data, personalized, user, data retrieval, Data, Traditional, results
Retrieval Technology, Algorithm Aiming, Based, Genetic, Image Retrieval, traditional image, Genetic Algorithm, System Implementation, Image, Handicraft Based
Requirements traceability, providing benefits, Requirements, Techniques, Recovery, Retrieval Techniques, Information Retrieval, change impact, engineering activities, traceability recovery
Learning-Based Systems, remain competitive, Effective Information, fast-paced digital, Information Capture, Machine Learning-Based, digital world, today fast-paced, Systems, Capture
test bed, Build, test, Ontologies, Retrieval, Build Testbed, Distributed Information, Information Retrieval, Systems, DIR
product design, huge number, larger engineering, Knowledge Management, knowledge, search, Information Retrieval, engineering settings, multi-disciplinary product, KBE
Desk, Enabled Information, rural Indian, Indian farmers, Voice Enabled, Indian, Voice, user, E-Farmer Voice, Information Desk
TFIDF weighting, words, Weight Augmentation, information retrieval, Improved TFIDF, Weight, TFIDF, words found, Term Frequency, Frequency Inverse
Agent Software, semantic information, Organizational Multi, Engineering Methodology, information retrieval, specifically relevant, Software Engineering, custom intelligent, designing custom, Multi Agent
answering systems, Search, return ranked, based QAS, system Search, Search engines, ranked documents, QAS, question, question answering
Digital, Digital Resource, Objects, Document Expansion, Objects Digital, EDE method, Expansion, Document, Resource Objects, Resource
system, expansion Malayalam, proposed system, Malayalam, retrieval system, million people, information retrieval, Malayalam information, India, query expansion
Access Environment, Telugu language, Information Technology, Digital, Digital Information, retrieval, Web, Technology brought, Telugu, applications
reduce software, Boosting Fault, maintenance workload, Automated fault, software maintenance, development evolution, Information Retrieval, Retrieval Automated, software development, Fault Localization
geographic information, commonly web, spatial relations, Hunan, information retrieval, retrieve geographical, GIR, geographic, spatial, debris flow
Analytical Analysis, textual unstructured, creates significant, significant demand, Natural Language, exponential increase, Stemming Methodologies, Language Processing, unstructured digital, Information Retrieval
Retrieval, Weighted-Vector Space, Document Retrieval, Synonym Insensitive, unique capability, natural languages, Space Model, Retrieval Document, Document, Insensitive Searching
