english grammar books, keyword analysis speech, grammar books 19th, results text mining, grammar books important, paper text mining, word frequency analysis, mining word frequency, english grammar gutenberg, analysis keyword analysis
space concept algebra, introduces concept algebra, text retrieval framework, concept relations concept, semantic based retrieval, similarity concepts text, concept algebra help, text representation retrieval, ca concept representation, retrieval method based
databases consider private, optimal pir download, private information retrieval, caching databases, heterogeneous storage, optimal download cost, information retrieval heterogeneous, average storage constraint, uncoded caching databases, minimize download
social network, ubiquitous, technique social network, retrieval ideas social, online social networks, retrieval ubiquitous computing, improving context awareness, algorithm context aware, aware information retrieval, network context aware
correspondences mapping rules, matching problem finding, pattern matching problem, retrieval probabilistic, matching based neural, information retrieval probabilistic, matching framework, uniform retrieval provide, formulae distributed information, information retrieval
based query reduction, information retrieval provides, informativeness verbose query, queries spoken document, verbose query exemplars, query terms automatically, spoken document retrieval, subset query terms, example information retrieval, query reduction mechanism
paper arabic query, wordnet ontology fact, arabic query, wordnet ontology expansion, wordnet ontology, information retrieval adopted, arabic information, wordnet ontology work, arabic queries using, arabic expansion evaluation
retrieval technology daily, collect data journal, information retrieval technology, data journal guangdong, journals evaluation example, journal evaluation indexes, technology analyzing journals, apply information retrieval, journal evaluation, retrieval provides useful
retrieval fingerprint, quantum network report, independent quantum network, symmetric private, provably secure symmetric, quantum, private information, device independent quantum, secure retrieval fingerprint, offering secure retrieval
media correlation learning, semantic information media, information retrieval new, deep learning depth, semantic retrieval method, semantic retrieval solve, deep learning, information resources cross, deep learning cross, research cross media
smooth locally decodable, locally decodable, theoretical notations paper, sldc private information, information theoretical notations, information theoretical, private, retrieval pir, codes sldc, codes
cals basis, aircraft development, aircraft development based, cals, study information database, information database retrieval, retrieval aircraft, database communications layer, database communications, cals basis analysis
retrieval following cluster, retrieval instead, present supervised dictionary, feature based bag, entropy optimized feature, dictionary learning, bag words representation, information retrieval following, class image datasets, retrieval performance providing
ir performance ranking, ranking documents based, various ranking, ranking models discussed, ranking models information, performance ranking models, information retrieval information, information retrieval process, difficulty ranking documents, retrieval information retrieval
computation privacy outsourced, database comprpmising privacy, database service privacy, confidentiality encrypt data, data using secret, private data storage, secure multiparty computation, information secure retrieval, secret sharing based, based secure multiparty
privacy non trivial, privacy colluding resistant, privacy single intractability, secure query generation, data privacy non, private information, database private information, secure query supports, private information retrieval, secure queries colluding
preservation ecultural, indonesian cultural heritage, digital preservation case, cultural heritage natural, natural history utilizing, ecultural heritage, preservation case study, history utilizing, retrieval digital, history utilizing information
enhance information retrieval, statistics engine able, retrieval systems getting, automated learning, learning engines potential, automatic mastering engine, retrieval accuracy latest, records retrieval strategies, computerized studying engines, automated mastering engines
evaluation metrics, focusing information retrieval, batch evaluation metrics, evaluation metrics information, retrieval argue, retrieval ir experimentation, retrieval ir, scales information retrieval, document rankings categorical, ranking usefulness able
personalized information related, language information users, personalized results based, arabic texts based, existing ontologies arabic, ir systems arabic, personalized retrieval, information retrieval particularity, adapted arabic language, arabic language providing
apriori algorithm extracting, retrieval cbr help, helpful information retrieval, based reasoning similarity, similarity knowledge association, dependent similarity knowledge, details information retrieval, retrieval cbr, case based reasoning, retrieval case
forecasting model stock, forecasting model, stock market index, information retrieval systems, fuzzy document based, information retrieval ir, market index, novel fuzzy document, forecasting performance comparison, index forecasting novelty
geographic information retrieval, ontologies used applications, mapping ontology geographic, retrieval exploiting ontology, semantic web, map ontological form, exploiting ontology previously, ontology serve user, construction ontology representing, retrieval semantic web
management recent, information, research personal, management hot topic, years personal information, field information management, recent years personal, relevant definitions personal, definitions personal, management paper introduces
leakage maximal, quantify information leakage, information retrieval private, improved download rate, privacy constraint, download rate optimized, protocols weakly private, retrieval pir protocols, file servers storing, requested file servers
retrieval web, particle swarm, techniques optimize search, using particle swarm, documents retrieve similar, retrieve similar documents, swarm optimization pso, inspired swarm intelligence, documents retrieval paper, optimize search process
quran based, propose retrieval, retrieval results according, propose retrieval profiling, quranic interpretation, al quran based, interrelation quranic interpretation, interpretations al quran, search thematic interpretation, research propose retrieval
retrieval configuration testing, failure logs, potential misconfigurations detecting, historical configuration errors, retrieval troubleshoot configuration, failure logs known, accuracy diagnosing configuration, configuration errors recommends, new failure logs, configuration testing software
zarebin search engine, persian dataset, text information retrieval, web document retrieval, anonymized persian queries, retrieval corpus paper, zarebin search engines, persian dataset designed, retrieval corpus, anonymized persian
compare product similarity, brand reputation management, sentiment competition research, brand reputation monitoring, sentiment regarding brands, consumer sentiment, textual similarity, brand reputation, similarity competitive analysis, compare textual data
errors improve thai, indexing symspell preferred, web search engines, correction thai business, query corrector features, significantly reduce search, spelling correction, effective thai information, information retrieval, correctors thaiqcor results
information retrieval private, privacy improve download, maxl privacy metrics, cost information leakage, privately retrieve files, zero information leakage, leakage servers storing, download leakage, download leakage function, weakly private information
extracting events, reasoning temporal relations, reasoning information analytics, text based event, information resolutions events, relation reasoning events, events temporal representations, temporal information resolutions, big data events, temporal information texts
compared retrieval results, created arabic specific, autonomous information retrieval, arabic, information retrieval written, researchers compared retrieval, researchers created arabic, classify arabic, retrieval results, created arabic
deep stacking, classification tasks dsn, scalable learning report, networks information retrieval, prediction sponsor search, retrieval ir, outperforms lambdarank based, deep stacking networks, significantly outperforms lambdarank, retrieval ir task
retrieval ir techniques, lstm, neural network, similarity document rmsprop, model information retrieval, retrieval paper introduces, lstm rnn algorithm, neural network based, proposed similarity document, rnn algorithm proposed
cpu implementation bloom, accelerated information retrieval, basic bloom filter, implementation bloom, querying important speed, implementation document retrieval, document retrieval, retrieval technique, mapping querying important, bloom filter simple
approaches latent dirichlet, text information retrieval, word2vec commonly used, dirichlet allocation, allocation lda word2vec, word2vec commonly, meaningful ones word2vec, latent topics collection, information retrieval, word2vec projects words
companies informative vector, companies informative, companies documents retrieved, simple self supervised, unstructured data high, retrieval alternative, self supervised learning, different unstructured data, recognition information retrieval, representing terms documents
ontology semantic resource, medical retrieval medical, semantic information user, semantic based multi, medical search technologies, query keywords documents, similarity query keywords, ontology semantic, medical article collections, recognize topics medical
people use information, browse search information, information nature, retrieval ir literature, information retrieval ir, seeking models emerged, information environment, users browse search, reviewing information seeking, models information seeking
painting image retrieval, image retrieval mainly, proposes retrieval technology, retrieval oil painting, image retrieval oil, paper proposes retrieval, retrieval techniques analyze, retrieval strategy based, image retrieval huge, refinement image retrieval
corpus specific urdu, urdu documents ir, retrieval ir urdu, urdu research work, ranking urdu, collection urdu, test collection urdu, evaluation ranking urdu, collection urdu retrieval, ranking urdu widely
similarity image rich, annotation retrieval images, content based image, related information images, link based image, information networks cbir, image retrieval systems, rich information networks, cbir retrieve images, images image rich
topic analysis citation, searching text citation, repositories citation analysis, citation analysis country, citation sentiment analysis, technical literature retrieval, literature repositories citation, citation analysis promoted, analysis chinese literature, chinese citation
case documents categorize, documents ranking scores, similar cases judgments, document retrieval domain, similarity fast text, retrieval document, document retrieval process, ranked documents, document comparable similarity, possible ranked documents
retrieval algorithm integrating, existing retrieval models, performance existing retrieval, innovative data fusion, information retrieval tasks, data fusion, network information retrieval, data structure fusion, retrieval models experimental, data fusion techniques
content based information, previously shared information, survey social networks, user information shared, social networking services, information shared services, retrieval multiple social, types social networking, retrieval social, social networks survey
retrieval clir sub, translation approaches, translate query documents, information retrieval ir, solution translate query, cross language, search translation pivotal, information retrieval, retrieval clir, approaches cross language
ranking relevance feedback, manifold ranking mr, image retrieval medir, medical image data, medical image retrieval, manifold information enhances, manifold information, visual information retrieval, images manifold, retrieval multi dimensional
retrieval web, techniques data mining, information retrieval web, called clustering, personalization, user information retrieval, applying clustering, needs applying clustering, personalization user information, called clustering technique
ontology based personalized, domain ontology based, models personalized information, retrieval provide users, military transportation domain, military transportation, military transportation applied, retrieval model, applied information retrieval, ontology military
retrieval locating bugs, code bug reports, bug similarity data, use bug similarity, locating bugs, localizing bugs, bug localization using, bug reports, improving bug, localizing bugs small
pseudo relevance feedback, term ranking models, retrieval using semantic, terms biomedical information, expansion terms biomedical, term features resource, training term ranking, relevance feedback method, propose biomedical query, technique query expansion
retrieval algorithm based, information retrieval problems, textrank compared people, algorithm based textrank, based textrank compared, extracted textrank, keywords extracted textrank, achieve information retrieval, information retrieval process, retrieval method based
drawn sketch image, sketch based, image retrieval higher, image retrieval sbir, modeling sketch based, retrieval information image, feature modeling sketch, free hand sketch, clustering spectral feature, retrieval image retrieval
chinese semantic, mapping chinese question, ontology based, question sparql query, language rdf triples, question sparql, introduces chinese semantic, retrieval model, retrieval method based, natural language rdf
search behaviors, information retrieval processes, information retrieval behaviors, emotions used predict, inform classification emotions, emotional correlates information, emotional expressions findings, search behaviors associated, individual search behaviors, use emotion data
tracking information, vehicle driver traffic, context aware application, vehicle notify, vehicle notify traffic, vehicle registration, track vehicle, application using rfid, tracked vehicle, real time vehicle
nlp tasks, unification retrieval generation, generation multimodal, answer generation finally, language models multimodal, question answering mmqa, effective comprehension response, models multimodal, answering pre trained, context retrieval cross
domain ontology ontology, ontology based concept, retrieval based domain, semantic retrieval superior, food safety semantic, ontology establish food, retrieval based keywords, ontology ontology based, information retrieval based, safety semantic retrieval
trust optimizes hr, information trust optimizes, management hrms, information trust, information security management, utilization saas cloud, cloud computing distributed, hrms concept information, constructs saas cloud, cloud computing architecture
linear codes, separable mds codes, information retrieval codes, mds coded databases, private information retrieval, message size lcm, achieving linear codes, message size private, size private information, databases minimum message
assamese extracting users, wordnet help identifying, document term lexical, query present assamese, retrieval assamese, information retrieval ir, electronic lexical database, database wordnet, based information retrieval, wordnet based
retrieval mlir, language independent indexing, multilingual dictionary, query translation experimental, mlir information retrieval, ir multilingual information, word query translation, used multilingual dictionary, performance evaluation multilingual, effective retrieval performance
retrieval 3d sensor, sensor storage load, reeb graph, network information storage, retrieval 3d, novel reeb graph, storage retrieval schemes, sensor networks efficient, network based distance, shape communication graph
model called cnn, text retrieval image, retrieval image retrieval, convolutional neural network, similarly cnn resnet50, retrieval model, bi lstm detailed, memory bi lstm, deep learning dl, bi lstm
queries information retrieval, decision support systems, artificial intelligence research, genetic algorithm, retrieval configured genetic, develop genetic algorithm, improvement information retrieval, retrieval systems turn, competitive intelligence genetic, competitive intelligence technology
large language models, information retrieval ir, mitigate risks misinformation, language models llms, misinformation seen internet, misinformation text, retrieval said statements, llms information retrieval, internet large language, similarity recall 90
need ranking algorithms, web search engine, information retrieval systems, ranking algorithms use, retrieval systems web, based ranking model, need page ranking, page ranking, link based ranking, information retrieval
retrieval user satisfaction, behavioral data video, based query expansion, relevance diversity optimizing, assessment video retrieval, automated query expansion, field video retrieval, retrieval dataset, accuracy video retrieval, retrieval user behavior
information entities similarity, representing audio, geometry audio, similarity symbolic computing, called music information, streams applications similarity, approximates similarity metric, music information retrieval, audio streams metric, segmentation audio streams
query based retrieval, concept analysis concept, concept lattices constructed, novel concept similarity, improved retrieval model, formal concept analysis, concept lattices, concept similarity enables, information retrieval using, models used retrieval
retrieval query, grams corpus generation, refinement information retrieval, grams corpus sequence, corpus using terms, retrieval query refinement, approaches generate corpus, paper gram corpus, retrieval applications query, query grams performance
stream issues news, named entities, detection tracking interface, discuss named entities, document representation, tracking interface named, approach topic detection, news stream, entities approach topic, arriving continuously news
privacy guarantees achieving, proposes privacy preserving, maintaining robust privacy, privacy retrieval speed, location sharing, robust privacy guarantees, streaming location privacy, preserving location sharing, location sharing scheme, retrieval proposes privacy
engineering discusses applications, retrieval natural, language processing techniques, natural language processing, retrieval, language processing software, text retrieval natural, software engineering discusses, discusses applications field, used software engineering
ontology based approach, ontology based, based fuzzy classification, create semantic index, classification web documents, fuzzy classification, documents semantic information, algorithm fuzzy based, information retrieval presented, semantic index
spoken content transcribed, spoken content semantically, text retrieval asr, retrieval cascading speech, multimedia spoken content, asr text retrieval, indexing retrieving spoken, speech recognition asr, optimized spoken content, retrieval spoken
retrieval algorithm retrieval, ontology based oilfield, domain ontology, based ontology designed, retrieval designed compared, retrieval method domain, pipe retrieval based, ontology based non, retrieval technology introduced, pipe information retrieval
using group homomorphic, multi value private, retrieval using homomorphic, pir privacy protection, encryption private information, private information retrieval, value private information, underlying group homomorphic, pir privacy, group homomorphic
problem binary hamming, linear reference sets, memory entries neighbourhood, hamming space fn, associative memories studied, binary hamming, reference sets discuss, clues information retrieval, information retrieval, retrieval varying number
privacy protection mechanism, private information, location privacy problem, private information retrieval, correlation requests modeled, time period privacy, motivated location privacy, intermittent private information, application location privacy, design location privacy
information, traditional, search, na, probabilistic information, search traditional, traditional probabilistic, probabilistic, information retrieval, retrieval na
image dicom using, digital ray image, patient ray images, patients medical image, method digital dicom, information digital ray, retrieval technique using, dicom using tag, information retrieval technique, know medical imaging
information retrieval relevant, measure similarity, query search, semantic based mutual, hybrid measure similarity, query search process, given query search, new measure similarity, similarity, information retrieval continue
work artwork datasets, artwork datasets, artwork images, images particularly paintings, visual semantic embedding, retrieval tasks image, text image retrieval, modal information retrieval, modal search retrieval, search images using
retrieval models irm, model information retrieval, dependence relationships efficiently, new information retrieval, retrieve relevant documents, dependencies retrieve relevant, term dependencies, dependencies based, information retrieval irs, bayesian network based
asymmetric cyclical hashing, image retrieval mobile, secure hashing applied, bloom filter based, bloom filter, hashing applied verification, retrieval mobile devices, image retrieval model, retrieval mobile device, improved bloom filter
corresponding archive, information archive information, archive management paper, construction archive management, relevance weight model, efficiency archive retrieval, archive information challenging, application archive retrieval, relevance ranking weight, archive retrieval modern
improving information retrieval, fact document analysis, exploiting similarity graph, multiwriter, multiwriter scenario, similarity graph, terms information retrieval, similarity represented, graph document terms, analysis information retrieval
ontologies matching attribute, similarity matching methods, ontology based semantic, novel similarity matching, retrieval model measure, information retrieval model, traditional semantic similarity, similarity, algorithm ontology based, model measure ontologies
effective indexing documents, elimination information retrieval, stopwords measure improvements, removal stopwords result, indexing documents mean, gujarati stopwords, gujarati text documents, monolingual information retrieval, gujarati text, stopwords result
ontology semantic information, location based semantic, retrieval web documents, retrieval methodology proposed, information web crawler, semantic data, using web crawler, utilizing ontology semantic, data retrieval techniques, web crawler utilizing
retrieve rank effectively, xml information retrieval, retrieval feature improve, rank approach xml, derive good ranking, relevance features, rank effectively elements, information retrieval feature, relevance xml element, known information retrieval
patents knowledge used, patents patent related, information bio medical, ontology modeling, ontologies enhancing, domain numerous patents, domain existing patents, retrieval intellectual property, utilization bio ontologies, ontologies
based clustering, architecture based clustering, algorithm using service, information retrieval lifecycle, intelligent information retrieval, genetic algorithm using, clustering extended genetic, information retrieval, extended genetic algorithm, retrieval lifecycle architecture
based search engine, terms clustering, documents information retrieval, information retrieval relevancy, occurrence terms clustering, page clustering, intelligent cluster search, link based search, cluster relevant web, information retrieval process
feature conversion knowledge, fingerprint information tag, text retrieval, compatible semantic fingerprint, topic model stag, tag lda, presents text retrieval, tag text semantic, space tag lda, semantic fingerprint information
evolutionary computation, evolutionary computation techniques, large data heterogeneous, retrieval big, big data information, big data considered, evolutionary computation survey, retrieval models used, information retrieval process, using evolutionary
storage personal collection, university birjand, personal space information, collect information, self assessment questionnaire, management behavior, doctoral students computer, management pim process, birjand personal, pim various course
information search dynamics, electronic health records, improve information retrieval, multi collaborative filtering, collaborative filtering method, filtering originating recommender, recommender systems prioritize, patient information health, physicians patients information, electronic health record
information retrieval role, media richness, affective aspects media, ir behaviours entrepreneurs, entrepreneurs preference use, entrepreneurs presented paper, retrieval role affective, media richness theory, affective factors information, entrepreneurs information
retrieval web, performance evaluation platform, retrieval online, integrated information retrieval, retrieval performance, retrieval method metrics, tool information retrieval, performance evaluation tool, information retrieval methods, retrieval web based
modal multimedia data, modal retrieval adaptive, semantic retrieval multimedia, guided hash, guided hash algorithm, multi modal retrieval, retrieval multimedia environment, hash algorithms, hashing, multi modal hash
google photos images, reverse image search, based information searching, tagging photos, named google photos, study google photos, annotation tagging photos, method search image, information retrieval, information searching
information search developed, searching new, completion conversational, domain conversational, search developed implemented, question classification, based question words, search searching new, open domain conversational, question classification completion
multiple query images, retrieval algorithms, query image, based image retrieval, image retrieval systems, multiple query retrieval, retrieval algorithms real, multiple query image, retrieval content, query information retrieval
information retrieval multimedia, svd technique hadoop, patterns compressed text, data reduction apache, matching unique patterns, dimensionality reduction, searching repeated pattern, dimensionality reduction technique, technique hadoop apache, retrieval extraction
identification duplicated plagiarized, plagiarism detection medline, query expansion plagiarism, plagiarism detection aim, sources plagiarism medline, plagiarized passages text, duplicated plagiarized passages, plagiarized, expansion plagiarism, investigate methods plagiarism
latent explicit semantic, latent dirichlet allocation, topic representations, information retrieval evaluate, information retrieval ir, social information retrieval, human relevance judgments, hoc information retrieval, closeness latent semantic, semantic space similarity
advantages network teaching, teaching platform includes, network classroom, teaching mode network, document retrieval, research network teaching, platform document retrieval, retrieval course compelling, retrieval course compared, teaching platform document
importance improving relevance, inside information retrieval, results retrieved documents, information retrieval systems, retrieved documents, ir technologies ir, improving relevance, retrieval ir operations, documents effectiveness ir, relevance quality
ehr systems, information exchange solution, medical records reside, health record ehr, healthcare information retrieval, electronic information exchange, patient records scattered, providers access patient, healthcare providers access, information exchange based
learning rank, biomedical information retrieval, learning rank biomedical, ranking models focus, traditional retrieval models, documents based relevance, retrieval models learning, rank biomedical information, retrieval propose novel, terminologies constructing ranking
engineering discusses applications, retrieval natural, language processing techniques, natural language processing, retrieval, language processing software, text retrieval natural, software engineering discusses, discusses applications field, used software engineering
automated ontology building, ontology formation quite, problem automated ontology, construction ontological dictionary, ontology based assessment, ontological analysis, dictionary ontological, ontology building intellectualisation, task automated ontology, ontological analysis cognitive
search mechanism spoken, audio audio search, time warping dtw, retrieval based dynamic, time taken retrieval, warping dtw algorithm, spoken term detection, time warping using, contain spoken query, spoken queries spoken
linear storage codes, retrieval scheme, information retrieval coded, codes retrieval, coded storage private, private information retrieval, private tradeoffs storage, cost retrieval download, storage private information, retrieval download cost
automatic query expansion, corpus query expansion, select synonyms, semantically select synonyms, approach arabic documents, technique semantic similarity, use arabic wordnet, arabic information, information retrieval air, synonyms wordnet
information theoretic private, privacy single intractability, perfect privacy information, single database private, database private, existing user privacy, privacy preserving techniques, private information retrieval, data privacy concepts, privacy preserving technique
art cross modal, retrieval methods benchmark, text retrieval, retrieval cross, modal data crucial, retrieval context classify, cross modal, image text retrieval, multi modal data, recent cross modal
keyword matching search, computer crime evidence, retrieval model computer, retrieval method obtained, crime evidence, similarity words ontology, words ontology, evidence retrieval requirements, words ontology concepts, crime evidence based
narrative answers using, lucene application, narrative answers, answers receive students, lucene library, retrieval algorithms designed, answers using information, professors evaluate answers, automatic assessment narrative, retrieval techniques paper
network science paradigm, retrieval network, improvement link network, web mining techniques, courses network, analysis courses network, information retrieval network, visualizing connections courses, web mining, network analysis mapping
searching files, files peer peer, improving information retrieval, files peer, peer network autonomous, searching, peer networks article, peer peer network, information retrieval, information search
relevance balance, relevance balance verbosity, document length relevance, ranking biomedical ir, retrieval traditional information, query terms, information retrieval applications, document length probabilistic, retrieval models based, search traditional probabilistic
applying tf idf, tf idf used, categorization important extensively, idf algorithm dataset, text based, text based data, categorization include preprocessing, categorization, idf algorithm, retrieval text
kazakh language basis, free stemming, kazakh language information, algorithm kazakh language, word kazakh language, lexicon free stemming, documents stemming base, form word kazakh, words documents stemming, stemming algorithm
tuple information retrieval, ontology based ranking, retrieval method web, keyword search prominent, data retrieval method, keyword query, ranking currently keyword, query interface ontology, tuple query interface, keywords result recall
pirc method prefetches, retrieval unknown cache, memory sharing proposed, pir unknown cache, cache file size, download cost bound, achievable normalized download, private information retrieval, prefetches rlc based, limits private information
popular queries searched, retrieval distributed, distributed databases popular, based popular queries, search engines explain, investigates information retrieval, different search engines, experiments search engines, search engines ranking, distributed databases
novel cybersecurity search, indexing searching cybersecurity, cybersecurity search engine, understand cybersecurity information, pragmatic cybersecurity information, cybersecurity analytics, cybersecurity incidents text, visualization cybersecurity, cybersecurity information based, cybersecurity retrieval scheme
advantage automl, automl field, automatic data, learning automl vital, advantage automl capabilities, automl capabilities innovate, applications automl, using automl various, benefits applications automl, automated machine learning
audio frequency data, data combined big, data feature searched, big data applied, finds data table, frequency data combined, big data processing, multi data fusion, retrieval model audio, retrieval model
effect user characteristics, retrieval database controlled, information retrieval tasks, performance cognitive load, user types performance, university library database, retrieval efficiency, user characteristics form, performance novice users, information experience database
coordination emergency, support decision medical, processing clinical summaries, clinical summaries machine, coordination decision making, decision support medical, medical coordination avoiding, context medical coordination, coordination emergency requests, semantic processing clinical
music analysis text, online music platform, field music analysis, technologies music information, music information big, music recommendation, music recommendation develop, comprehensive services music, music resources users, methods music analysis
resource discovery data, metadata data, ontologies linked, discover semantic, linked data, discover semantic relationships, application semantic web, semantic web enables, retrieval resource, discovery information retrieval
web services, operational agricultural service, robust geospatial web, deploying agricultural information, developed web service, geospatial web, agricultural information extraction, efficient operational web, sharing geospatial web, agricultural information wide
graph convolutional networks, gan, graph retrieval techniques, model agcn wgan, agcn wgan proposed, knowledge graph retrieval, advantages graph convolutional, gcn generative adversarial, data retrieval, scale data retrieval
learning rank, model latent dirichlet, feature learning rank, learning rank useful, results topic feature, adds topic feature, dirichlet allocation lda, latent dirichlet, rank useful document, add topic feature
performance information retrieval, systems area computing, aspect caching, area computing, filtering caching, frequently accessed, data community edge, information retrieval ir, storing frequently accessed, efficient retrieving
eavesdropping constraints, spir problems collusion, problem arbitrary collusion, symmetric private information, collusion patterns, eavesdropping constraints interchangeable, collusion patterns capacity, private information retrieval, union collusion eavesdropping, colluding eavesdropping patterns
weibo pictures similarity, microblog multi modal, luxury microblog, modal retrieval method, luxury microblogs, sina weibo retrieval, cross modal retrieval, method luxury microblogs, weibo cross modal, features weibo pictures
metadata schemas, cultural heritage information, vocabularies significance metadata, ontology technologies elucidate, interoperability ontology technologies, ontologies particularly cultural, heritage information modeling, adopting semantic, heritage information retrieval, introduction semantic web
charge digital archives, retrieval case study, archives diplomatic, archive, history project personnel, study viewpoints archivists, viewpoints archivists personnel, archivists personnel, web based historical, web based ars
term stop word, information retrieval systems, remove stop words, retrieval systems using, persian information retrieval, stop words frequently, word lists persian, building stop word, information retrieval, word list generator
feature extractors efficiency, loss detection power, convolutional neural network, networks cnns extract, search specific fraud, technical loss detection, deep features electricity, detection power grid, convolution neural, current deep learning
automatic query expansion, original query vocabulary, query vocabulary database, retrieval thesaurus used, problems information retrieval, retrieval thesaurus, improvising search using, information retrieval main, similarity keywords, determine similarity keywords
peer nodes effectively, retrieval techniques greatly, file sharing software, file sharing, retrieval adopts routing, proposes intelligent distributed, implementation intelligent distributed, text retrieval traditional, retrieval traditional text, node peer nodes
internet web search, information retrieval ir, based ontology information, retrieval techniques, intelligent information retrieval, using semantic network, retrieval using, web based ontology, ontology information, retrieving information resources
software traceability link, techniques software traceability, software artifacts retrieval, software traceability, information retrieval ir, retrieval direction, efficient retrieval direction, retrieval ir, different traceability links, retrieval direction significantly
information retrieval python, classifier, regression natural language, retrieval python proved, natural language processing, development based big, answering, based big, big data analysis, process question answering
retrieval methodology sequentially, retrieval modern era, documents textual data, mizer hybrid resume, resume information, information retrieval ir, automated information extraction, resumes methods, information extraction techniques, hybrid resume
document matrix experimental, solve latent semantic, matrix factorization method, based retrieval mass, retrieval model using, negative matrix, term document matrix, negative matrix factorization, latent semantic space, based information retrieval
information retrieval term, arabic language complicate, rich morphology arabic, stemming algorithms used, unexplored arabic information, features arabic language, document retrieval performance, exploring term proximity, information retrieval performance, retrieval term proximity
flexible information retrieval, concepts knowledge discovery, retrieval techniques knowledge, discovery biomedical, biomedical literature, information retrieval model, retrieval model, biomedical literature relevant, knowledge discovery, biomedical literature paper
using semantic multimedia, related semantic web, bigdata, knowledge representation user, descriptors information users, multimedia bigdata addition, bigdata vision approaches, retrieval using, big data user, based information retrieval
document layout analysis, sophisticated ocr implementation, multistage document analysis, information extraction makes, document structure, data extraction depending, analysis information extraction, ocr implementation, efficient data extraction, papers processing
using lucene lexical, indexing using lucene, recall metamap reranking, ranking articles near, metamap reranking aimed, medical queries results, medical information retrieval, medical queries effectively, boosting ranking articles, lucene baseline
hindi query extension, language information retrieval, use hindi, information retrieval clir, improve searching ranking, hindi translator query, searching ranking aspects, information retrieval cross, bilingual english hindi, improve ranking searching
user query profile, information retrieval models, social bookmarking, information retrieval pir, user profile personalized, integrate profile querying, social bookmarking network, allowing personalize search, built social bookmarking, models improve retrieval
proposes unsupervised stemming, corpus stemming lemmatization, programming stemming, stemming process approach, dynamic programming stemming, stemming hybridized partial, stemming lemmatization minimize, stemming lemmatization significant, stemming algorithm novel, monolingual corpus stemming
semantic retrieval models, field knowledge graph, ontology knowledge, knowledge graph, knowledge graph proposed, entity source retrieval, retrieval basis ontology, semantic retrieval stepping, shows semantic retrieval, proposed semantic retrieval
traditional geospatial data, user oriented geospatial, retrieval data driven, retrieval personalized, result personalized retrieval, geospatial data traditional, approach geospatial data, data traditional geospatial, retrieval personalized results, retrieval idea user
retrieval algorithm, genetic algorithm based, automatically image retrieval, image retrieval human, color features images, adaptive image retrieval, algorithm based genetic, based genetic algorithm, traditional image retrieval, retrieval method based
traceability supports software, requirements traceability primary, retrieval techniques traceability, applied requirement traceability, requirements requirements traceability, recovery requirements traceability, recovering traceability links, traceability recovery process, techniques traceability link, performance requirement traceability
retrieval machine learning, systems information management, machine learning algorithms, information management systems, effective information capture, capture retrieval machine, information management, automatically learn data, utilization machine learning, artificial intelligence automatically
peer p2p networks, algorithms performance p2p, retrieval systems, used evaluate peer, information retrieval systems, dir peer peer, retrieval approaches, distributed information retrieval, build testbed peer, retrieval p2pir peer
engineering domain knowledge, incorporating search engine, workflow engineers knowledge, engine knowledge process, search recommendation tool, information seeking workflow, knowledge based engineering, recsys knowledge management, search enterprise search, information retrieval
interaction user information, information desk explain, information native regional, regional language user, utilizing voice, farmer voice enabled, enabled information desk, information desk farmer, user voice enabled, language user interaction
dispersed words weight, words document title, techniques document retrieval, information retrieval vector, weighting techniques document, retrieval documents, words weight augmentation, weight frequent words, called ranked words, retrieval information retrieval
multi agent organizations, agent systems semantic, modeling tool agent, organizational multi agent, custom intelligent agents, agent tool at3, mase comprehensive agent, agent development methodology, mapping agents, tool agent tool
categories question answering, use question answering, natural language processing, search engines, automated question, answering systems urgent, webbased qas information, based qas webbased, retrieval information extraction, information retrieval information
structure dro document, unstructured documents, topics document expansion, documents method way, document contents way, document expansion ede, document expansion method, increase document contents, utilizing structured documents, enhanced document
retrieve malayalam documents, expansion malayalam classical, retrieve malayalam, effective malayalam, effective malayalam information, retrieval malayalam retrieve, language like malayalam, query expansion malayalam, malayalam classical, information retrieval malayalam
context particularly telugu, retrieval telugu morphologically, problem india language, ir telugu, particularly telugu language, telugu language inception, information retrieval telugu, telugu morphologically rich, build ir telugu, difficult process telugu
recency bug fixing, boosting fault localization, retrieval automated fault, bug reports source, buggy source files, fault localization combining, fault localization aims, features bug fixing, extracted bug reports, automated fault localization
identify spatial relations, ranking geographic relevance, document geographic information, support spatial query, geographic entities, geographical information unstructured, spatial relations document, information retrieval gir, retrieve geographical, svm extract spatial
smart stemming systems, applications utilizing stemming, analysis text stemming, nlp text stemming, stemming techniques widely, advanced smart stemming, stemming algorithms methodology, stemming methods end, knowledge based stemming, text stemming
