English Grammar Books, English, English words, Century English grammar, Gutenberg Project, Grammar Books, English learning, Century English, named English, books named, Grammar, books named English
Intelligent Information, core data, similarities and differences, Systems, web, Systems this paper, core data mining, Retrieval Systems, web mining, mining, Intelligent Information Retrieval, Information Retrieval Systems
information lifecycle management, Retrieval and Mining, lifecycle management, Technology Creation, Corpora, Enterprise information management, Enterprise, enterprise corpora, information management, lack of availability, Mining Enterprise information, enterprise unstructured information
incorporating uncertainty, degrees of belief, data tables, Web data retrieval, Dempster-Shafer theory, theory of evidence, data, Web data, valuation assigns, tables the degrees, Web, Information Retrieval Logic
code units, software maintenance, Information Retrieval, fills this gap, evaluated the effectiveness, Concern Localization, etc., find code units, Empirical Study, Linux kernel dataset, software maintenance activities, Linux Kernel
digital information resources, Ministry of Higher, Teknologi MARA, learning and academic, Universiti Teknologi MARA, academic leadership, Malaysia which conducts, teaching and learning, Improving access, Institute of Leadership, Evaluation and Development, academic staff
Pliable Private Information, Private Information Retrieval, Single-Server Pliable Private, Private, single server case, Information, Pliable, desired class, Side Information, side information messages, Retrieval, Pliable Private
Expansion, Deep Learning, extended, overcome the problem, extended words, order to overcome, low retrieval efficiency, Query, deep learning-based distributed, problem of low, Query Expansion, select the extended
image analysis, show the effectiveness, Medical image analysis, scalable Content-Based Image, Medical image, document analysis, Content-Based Image, Content-Based Image Retrieval, Image Retrieval, Convolutional Neural Network, required for document, Fast Content-Based
language modeling approach, documentexpans ion, empirical study, proved effective, ion in information, information retrieval Query, retrieval Query, query expansion, retrieval Query expansion, study on query, query, modeling approach
retrieving the entries, String Matching, Matching Problem, Statistical Dictionary-Based String, define the communication, Information Retrieval, posting table, String Matching Problem, Dictionary-Based String Matching, Statistical DSM problem, DSM problem, classic DSM problem
Malay Haditli text, effort to refine, handheld devices make, efficient and effective, Recent rapid, Retrieving Malay, Recent rapid advances, mobile application Recent, retrieve information anytime, application Recent rapid, interface to attract, Retrieving Malay Haditli
obtain the relationship, User Intention, Relevant Feedback Based, provide vast, intelligent retrieval framework, Intelligent Retrieval, provide vast amounts, Capturing User, Capturing User Intention, social systems, rapid growth, Personalized Websites
Language, Natural, processing technology, artificial intelligence technology, language processing technology, Natural Language, Natural Language Processing, Question Answering System, functions of computers, Optimizing Method, Language Processing Natural, Processing Natural language
Information Retrieval, current pandemic, Information, Retrieval System, distance and direction, Space Model, Retrieval, Search, Vector Space Model, Search Engine, Vector Space, Document Search
field of agricultural, product, stability of information, agricultural, information, classification of agricultural, technology is introduced, product information, product information technology, information technology based, agricultural product information, agricultural product
introduce t-revealing codes, binary Hamming, Hamming space, information retrieval, binary Hamming space, Hamming, list decoding, Levenshtein channel, set of codewords, Improved codes, codes, t-revealing codes
effective and efficient, Document Retrieval Algorithm, tools and applications, cloud, Cloud computing, based document management, cloud storage Cloud, storage Cloud computing, web-based tools, reduces the complexity, Concept based document, bridge the gap
Internet Information Retrieval, describes a preliminary, preliminary research, Information Retrieval, Implementation and validation, crawler applied, study describes, Internet Information, master-slave distributed crawler, distributed crawler applied, Retrieval, Retrieval This study
Modern Medicine, Thai traditional, Medicine Health Information, Health Information Retrieval, Thai traditional medicine, Thai Herbs, Modern Medicine Health, Thai, Thai herb informative, Health Information, called Thai herb, Cross-Language Information Retrieval
Petroleum Information, Petroleum Information Retrieval, source framework SCRAPY, Information Retrieval System, Framework of Petroleum, Scraping with Python, Web Scraping, System Based, customized retrieval system, big information explosion, Based on Web, Retrieval System Based
geographic information, pages, information, information stored, web, stored in web, geographic, retrieving and analyzing, framework, geographic context, web pages, analyzing geographic information
ontological concepts Ontology, concepts, structure, information retrieval, word, concepts Ontology, rich internal, based, technique, rich internal structure, internal, Ontology
retrieving items, uncertainty representations, information retrieval, assess the impact, representation for retrieving, information retrieval application, missing, information, missing data, data, encompasses as special, retrieval
improves the search, paper presents ARGOsearch, library management systems, Relevance Criteria, Text Similarity, Extensible Relevance Criteria, System Based, paper presents, management systems, search quality, Information Retrieval System, Retrieval System Based
retrieval model based, Ranking, improving ranking results, paper proposes, information retrieval model, Audio Retrieval Based, audio information retrieval, proposes an audio, Gaussian Mixture Model, Retrieval, Manifold Ranking, audio information
Music Information Retrieval, Music Information Processing, Survey and Future, Multimodal Music Information, Future Challenges, Music Computing, Music Information, capture diverse aspects, recent studies exploit, Music, information processing tasks, processing tasks
Indonesian Hadith Retrieval, growth of Islamic, information of Hadits, Retrieval System, Hadith Retrieval System, Retrieval, Existing Hadith Retrieval, Islamic religion, Hadith Retrieval, Indonesian Hadith, Hadith, thesaurus
inherently poses biasness, Retrieval Systems Rankings, distort the results, confirms the effectiveness, retrieval evaluation based, technique to estimate, Information retrieval, predicted the strength, Estimating the Reliability, Rankings Information retrieval, Systems Rankings Information, Information retrieval evaluation
Information seeking behaviour, model, seeking behaviour, seeking behaviour factors, seeking, Information, Information seeking, model Graduate students, Research Information Seeking, measurement model, active information seekers, information sources
language for Information, Experimental Study, Information Retrieval, Comparative Experimental Study, Natural Language Processing, Information, Semantic Information, Semantic Information Retrieval, Retrieval, NLP Tools, Language Resources, Arabic NLP tools
difficult for general, Keyword Retrieval Technology, XML full-text information, present many commercial, XML retrieval standard, commercial database, XML Document, Technology Research, general user, SLCA retrieval algorithm, Xpath and XQuery, Retrieval Technology Research
Holy Quran, Data Set, unique technique influenced, influenced by modern, Data Set Generation, modern methodologies, advanced learning implemented, unique technique, enlightening a unique, captivating the learner, aims to enlightening, keeping the continuity
automation system ultimately, Online Public Search, Search Catalog, Library Based, Based on Computer, Intelligent Information Systems, Public Search, library automation system, Computer Big Data, Big Data, Public Search Catalog, Document Intelligent Information
regions Nowadays information, object identification, Efficient object, relative locations, multimedia technologies, CBIR based, Nowadays information retrieval, Efficient object identification, locations and matching, interest using CBIR, matching regions Nowadays, regions Nowadays
euclidean distance method, present an approach, Android mobile environment, Google Android mobile, achieve good image, Google Android, Android mobile, performance in Android, approach for effective, Android mobile operating, genetic algorithm, Android
Semantic Indexing Nowadays, Latent Semantic Indexing, Bangla language, Bangla, World Wide Web, significant role, role to strengthen, plays a significant, Bangla Document Ranking, Document Ranking, Indexing Nowadays, Information Retrieval System
Multiple, Diversity Combining multiple, Multiple Retrieval Systems, Cognitive Diversity Combining, Systems, Multiple Retrieval, Retrieval Systems, Diversity Combining, Retrieval, Combinatorial Fusion Analysis, Combining multiple retrieval, Combining multiple
Computing Model Information, Information Retrieval, Computing Model, user, Retrieval in Computing, Information, Computing, present related information, Model, Retrieval, large collection, query
retrieval model based, relevant information, information retrieval, World Wide Web, information, models, search engine Information, information retrieval accuracy, large collection, Vector Space Model, Comparative study, retrieval
college students, Information capacity, training of college, capacity training, training of European, developed countries, Problems and solutions, Information capacity training, process of designing, literature search, summarizes the experience, analysis and discussion
Retrieval with Side, Individually-Private Information Retrieval, agent, information retrieval problem, Single-Server Multi-Message, Information, Side Information, private information retrieval, problem, multi-user variant, Single-Server Multi-Message Individually-Private, Multi-Message Individually-Private Information
formula retrieval method, realized with traditional, structure clusters Focusing, show the average, full-text retrieval technology, full considerations, traditional full-text retrieval, hierarchical structure clusters, clusters Focusing, traditional full-text, spatial features, features of formulae
retrieve the relevant, Wide Web, World Wide Web, temporal taggers Temporal, based Temporal Information, temporal taggers, Temporal, Information Retrieval due, Implicit queries based, Retrieval, Temporal Information Retrieval, queries based Temporal
queries made, limitations of existing, Retrieval optimization, DROPT technique, Information, retrieval systems, made of ad-hoc, present search queries, search queries made, Retrieval, information retrieval systems, Information Retrieval optimization
representation and exchange, Web, XML similarity, XML element, recent year, similarity matching, efficient similarity, clustering XML, information representation, efficient similarity matching, clustering XML element, XML
tool for perception, disabled, Digital libraries, powerful new tool, disabled persons, information, improve the efficiency, libraries for disabled, structured and intellectually, efficiency of submission, multimedia information content, submission information
Deep Hierarchical Attention, Information Retrieval Text, Text Matching, Text, Matching, Retrieval Text, Information, Attention, Deep Hierarchical, Hierarchical Attention Networks, examining two pieces, Retrieval Text Matching
enormous and rich, intellectually enriched research, Urdu Document Images, order to provide, Indian sub-continent, ruled the Indian, Based Information Retrieval, included intellectually enriched, digitizing the existing, sub-continent and left, Information Retrieval System, rich cultural heritage
National Cultural, data sources, heterogeneous data sources, abundant data, Visual Semantic Segmentation, Semantic Segmentation Display, relevantinformation from scattered, paramount importance, era of ubiquitous, National Cultural Resources, Cultural Resources, Segmentation Display
vital roles, play vital, information extraction, information retrieval, Extracting semantic relations, documents play vital, semantic relations, play vital roles, Vietnamese documents, vietnamese, vietnamese legislative documents, Support Vector Machine
main function, information retrieval, document, obtain efficient, comparative accumulative analysis, Inverse Document Frequency, minimum subset, morphological information retrieval, Term Frequency Inverse, analysis The main, accumulative analysis, Frequency Inverse Document
Recent years, machine learning approaches, information retrieval, survey on Learning, Learning to Rank, machine learning, Rank, Learning, LETOR, retrieval In Recent, system evolve, application of machine
Arabic QASs, Systems Question, Future Perspectives, retrieve precise information, Question Answering Systems, Systems, Answering Systems Question, Systems Question Answering, Arabic, implement the components, Question Answering, Answering Systems
preserving the counts, Preserve the Integrity, Quran, Nobel Quran, Internet, Techniques to Preserve, Quran The ability, evaluated a model, ability to control, designed and evaluated, Electronic Versions, span the Internet
Mongolian Information Retrieval, Based, Mongolian Information, Based on Solr, Information, System, Solr, System Based, Retrieval, Mongolian, Information Retrieval System, Retrieval System Based
Low, vast amounts, large-scale enterprises, Domain Knowledge Base, Closed Domain, BERT model, Information, Closed Domain Knowledge, Low Resource, Context-Aware Information Retrieval, Resource, amounts of textual
challenging process due, Arabic language, decreases the index, process due, Retrieval Arabic document, Improved Text, Text Retrieval Arabic, Text Retrieval, Arabic Document, Arabic Document Indexing, Improved Text Retrieval, complex morphological nature
intelligent terminals, intelligent collection, intelligent collection technology, Multi-Granularity Semantic Information, Semantic Information Integration, popularization of intelligent, Semantic Information, development of intelligent, overcome the heterogeneity, Information Integration Graph, multi-source heterogeneous data, Integration Graph
development of Internet, Design and Research, devices and social, work and life, Internet technology drives, Cross-media Retrieval Nowadays, rapid development, growing explosively, drives the advance, smart devices, social media, big data era
set of similar, Music Information Retrieval, steady growth, Music Information, performance of queries, textual interface, understand the impact, verify the robustness, search websites, websites have emerged, Internet many search, Information Retrieval System
Image Retrieval System, Facilitate Digital, Automatic Image Annotation, Facilitate Digital Humanities, Digital Humanities, System Based, Image, Digital Humanities Research, Based on Automatic, important data type, support digital humanities, Retrieval System Based
Semantic Query Expansion, providing correct, Framework of Semantic, present information age, challenging task, Information Retrieval, shows the improvement, Semantic Query, providing correct information, Enhancement Framework, Ontology, Mapped Ontology
Improved Sentence Embeddings, Information Retrieval, Query Reformulation Information, Information, Retrieval Technique, study that focuses, focuses on gathering, demonstrate the superior, field of study, Improved Sentence, Information Retrieval Technique, Reformulation Information retrieval
re-ranking based, structure of texts, re-ranking, Document re-ranking based, topic-comment structure, based, based on topic-comment, information retrieval based, retrieval based, capture document relevance, paper introduces, retrieval models make
Big Data Retrieval, Examining the Effects, Data Retrieval Efficiency, Enhance Big, Enhance Big Data, huge databases, discuss the capability, studies paper explores, Big Data, discuss the concept, diffusion of industries, synthetic Intelligence
Retrieval Process Advances, technical spheres, Process Advances, spheres have revealed, Information Retrieval Process, social and technical, Advances in information, Professional Subject Area, Deformation of Professional, Future Engineers, Semantic Deformation, Area of Future
Content Based Image, Content Based, Based Image Retrieval, Feature Extraction Methods, Enhancing Content Based, Observing Image Feature, Image, Image Feature Extraction, Based Image, Extraction Methods, image retrieval methods, Observing Image
Digital Divide, Bridge the Digital, aims to systematically, Internet access, Solution Based, systematically analyze, Information System, integrating online, Integrated Strategy, research aims, improve the elderly, elderly-friendly information system
reduces its dependence, intelligent information retrievals, concept of domain, maintaining the advantages, efficient competition tool, information explosion era, innumerable network information, increasingly innumerable network, user modeling techniques, personalized user modeling, personalized information recommendation, information service system
channel model, considered the problem, lemma the upper, Retrieval The Levenshtein, Information Retrieval, Information, relevant in information, model for substitution, Levenshtein channel model, Levenshtein, Retrieval, noisy channels
techniques Information Retrieval, mining techniques Information, Information Retrieval, web mining techniques, web, Information, Retrieval, web mining, procure their needed, significant area, needed information, mining
Oriented Retrieval Technology, Retrieval Technology Based, Cloud Computing, Oriented Retrieval, Technology Based, information increase rapidly, Big Data, web and keywords, keywords and retrieve, Computing Oriented Retrieval, big data information, Cloud Computing Oriented
Efficient Information Source, sources' update intervals, Large-Scale Networks, method in large-scale, user utility decrease, Source Monitoring Method, Method Considering User, Information Source Monitoring, information sources' update, User Utility, information monitoring method, Information Source
Efficient Data Dissemination, Dissemination and Information, energy efficient solutions, Energy, Efficient Data, Energy Efficient Data, Data Dissemination, scarcity of resources, Retrieval Scheme, increasing scarcity, reached its pinnacle, Information Retrieval Scheme
health information system, agent based algorithm, supervising the medication, RFID-based health information, RFID-based health, emergency situations, medication of elderly, automatic diagnosis, promising approach, efficient RFID-based health, hybrid multi-agent system, Hybrid agent based
article presents, ACM Digital Library, visualization, ACM Digital, Obtained maps, Information, retrieval potential, analytical and retrieval, Information retrieval, presents the analytical, retrieval, maps
field of cross, visual information, translation, Query, information, language information retrieval, target language, cross language information, Query translation, cross language, fundamental problem, image
deals with vagueness, information retrieval, vagueness and uncertainty, theory, set theory, rough set, set, Applying rough set, mathematical tool, tool that deals, rough, rough set theory
scheme to retrieve, Edge Histogram, image retrieval scheme, retrieve images, HSV colour space, Image Retrieval, Edge Histogram Descriptor, colour pixel features, Image, Retrieval, texture features, quantized colour code
rest and play, Reality, Reality Virtual, Virtual Reality, immersive Virtual Environments, Improve Information Retrieval, Virtual Reality Virtual, Reality Virtual Reality, Virtual Environments, Virtual, Retrieval in Virtual, potential to transform
image retrieval, information retrieval, medical image retrieval, CBIR, Yale Image Finder, National Library, paper presents, content-based medical image, image, Library of Medicine, medical image, retrieval
display the query, information retrieval system, Intelligent Retrieval System, Image Vision, search engine, retrieval system model, article introduces, introduces the shortcomings, Image Vision Technology, current search engine, personalized information retrieval, system model based
Question-Answering Task, Documents for Question-Answering, crucial task, natural language processing, Rerank Documents, Open-domain Question Answering, Task Open-domain, Utilize Pre-Trained PhoBERT, Task Open-domain Question, Compute Text Similarity, PhoBERT to Compute, Question-Answering Task Open-domain
adopts the SfM, important research topic, Mobile Robot target, Robot Navigation, spherical compound eye, Mobile Robot, Robot target tracking, compound eye Three-dimensional, Robot Vision, field of view, Mobile Robot Vision, Robot Vision based
question answering approaches, answers to user, natural language, Performance measurement, delivers concise information, natural language processing, paper delivers, question answering, paper delivers concise, concise information, user questions, answering approaches
Ability Training Based, Training Based, Information Technology Ability, technology competence standards, Teachers' Information, Gansu Province, Vocational Education Teachers', education teacher training, Vocational Education, Education Teachers', Education Teachers' Information, Teachers' Information Technology
represents the query, re-ranking method based, measures the relevance, calculating the related, recall is preserved, cloud model, Chinese information, introducing cloud model, traditional Chinese information, NII Test Collection, Chinese information retrieval, improves the accuracy
instrument to support, support strategic, Optimising web-based, strategic decision making, support strategic decision, augment the acquisition, increasingly regarded, web-based information retrieval, Optimising web-based information, decision making, information retrieval methods, horizon scanning
Improving Lossy Compression, Scientific Data Lossy, workflow is hampered, coming into prominence, Improving Lossy, Unlike the prior, compressibility and parameters, Lossy Compression, overhead and estimate, Compression, obtains the dominant, high-performance computing
Information Discovery, Discovery and Retrieval, Information Style, Application Architecture, User-Centric Information Discovery, Foster User-Centric, Information Style Applications, Foster User-Centric Information, Style Applications, realizes user-centric, Discovery, Personal Information Style
SMT Domain, Retrieval to Build, present information, present information retrieval, imperative problem, parallel corpora, SMT Domain Adaptation, addressing an imperative, improving translation quality, tool for addressing, Build Synthetic Data, powerful tool
Arabic document indexing, model for Arabic, systems compared, Arabic Information Retrieval, stems or roots, performance to Arabic, offered considerable performance, Arabic Information, Arabic document, surface words, index terms offered, terms offered considerable
intrinsic enterprise knowledge, knowledge brokers function, searches based, saved documents, Social Media, Social Media Information, Knowledge Brokers, Media Information searches, Enterprise Research, Identifying Knowledge Brokers, Research through Social, Information searches based
large image databases, querying large image, information retrieval, Mutual Information, Leveraging Quadratic Spherical, Fast Image Retrieval, Mutual Information Hashing, Quadratic Spherical Mutual, Fast Image, Leveraging Quadratic, Spherical Mutual Information, Spherical Mutual
Progression Markers Initiative, Computer Science, researches in Computer, stored in databases, Information Retrieval, Magnetic Resonance Imaging, Biomedical Data, Parkinson Progression Markers, recent years, fields has made, integration of researches, Information Retrieval Techniques
leverage the internal, Biomedical Information Retrieval, Entity Relation Aware, Neural Ranking model, Relation Aware Graph, constructs a knowledge-query, retrieval greatly depends, learn the ability, Neural Ranking, Aware Graph Neural, information retrieval greatly, Graph Neural Ranking
Data Retrieval, Parallel Batch Algorithm, Redundant Data Retrieval, Data Retrieval Model, original data spatial, traditional unsupervised cross-modal, Retrieval Model based, cross-modal hashing methods, effective information retrieval, data spatial structure, information retrieval models, unsupervised cross-modal hashing
Expansion, Expansion Concept based, Concept, Based, Concept Based, Query, concept based information, enhances information retrieval, Concept based search, based search, information retrieval systems, Query Expansion
Comparative Analysis, machine translation, Stemming has shown, Arabic language, Science Research Institute, natural language processing, Microblog Information Retrieval, Information Retrieval, Information Retrieval Stemming, Information Science Research, document classification, Retrieval Stemming
based image retrieval, interesting research areas, content based, Shodhani Nowadays, Inchoative integration, based, based image, content based image, research areas, areas among researchers, researchers of technology-giants, academic institutions
similarity scores, retrieve the list, document similarity, ranked documents based, Documents, documents based, similarity, approach Aim, based, learning approach Aim, Aim, detecting the boundaries
Information technologies, field of project, components of HRIS, information support systems, project team formation, scientific and practical, Information, efficiency of formation, safety-oriented systems, automated expert information, formation of project, creating automated expert
retrieval model based, huge text, obtain information, retrieve information based, text, huge text database, DeepCT and Conv-KNRM, people to obtain, text retrieval, text retrieval based, Conv-KNRM Text retrieval, retrieval
Analysis Based Software, Fault Localization, Software Fault Localization, Information Retrieval-based Bug, Information Retrieval, calculating the text, Mutation Analysis Based, Based Software Fault, Combining Information, Retrieval-based Bug Localization, Combining Information Retrieval, Mutation-based Fault Localization
Turkish, information retrieval, approaches for information, Dictionary-based Turkish, Turkish text collection, Dictionary-based Turkish Lemmatizer, Bilkent University Milliyet, Turkish text, text collection, lemmatization approaches, University Milliyet collection, Turkish Lemmatizer
Data Retrieval, Prolog, Section, Storage, Mass Storage, Section on Mass, Retrieval, Mass, Data, Storage and Data
information retrieval Traditional, information retrieval, retrieval Traditional Information, Traditional Information, information, Traditional Information Retrieval, matching of keywords, exact matching, Arabic information, retrieval Traditional, retrieval, enhanced term frequency
Distributed, attracted great attention, Information Retrieval Distributed, Distributed Estimation, Information, Inter-Event Information Retrieval, Retrieval Distributed estimation, great attention, attracted great, formulate and solve, demonstrate the advantages, Inter-Event Information
approach for intelligent, information retrieval, intelligent information, search engine, search query prior, Query paraphrasing, query prior submitting, retrieval The major, Genetic Algorithm, intelligent information retrieval, major problem, genetic approach
challenged the traditional, domain which generates, overload in current, cartography based, scientific papers, Information, mitigate information overload, scientific, scientific research domain, current systems, Information cartography based, research domain
improve the fitness, Bat Algorithm, Colony Optimization Algorithm, clustering Classification, approaches incorporating clustering, documents using evolutionary, evolutionary approaches, central problem, data, evolutionary approaches incorporating, approaches incorporating, incorporating clustering Classification
Personalized Information Retrieval, Information Retrieval, improved personalized, Improved DSSM Due, improved personalized information, retrieval algorithm DSMN, Due to rarely, semantic matching algorithms, DSMN, algorithm DSMN, DSSM Due, Information Retrieval Algorithm
stance detection, memory network model, demonstrate the capability, speed and volume, social media, media have motivated, Network Information Retrieval, spreads on social, motivated efforts, Information Retrieval Model, Memory Network Information, misinformation spreads
E-Government service, information gap, number of innovative, Natural Language Processing, encourage citizens, grown tremendously, E-Government system, recent years, innovative research topics, online request, area has grown, tremendously to bridge
distributed information, retrieval domain, distributed information retrieval, user, information retrieval domain, interesting topics, collaborative relevance, treatments to provide, retrieval Relevance, relative relevance, relevance, retrieval
Language, Methods on Cross, Cross Language Information, Text Pre-Processing Methods, Cross Language, Retrieval Cross, retrieving relevant documents, Retrieval Cross Language, CLIR systems, Language Information Retrieval, Information Retrieval Cross, CLIR
Semantic Techniques, Coronary Arteries, Linguistic Approach, present the possibility, context the authors, constant part, Modeling of Coronary, Image Retrieval, Approach to Modeling, medical imaging apparatuses, recent years, medical
considered common sense, providing the query, information retrieval Current, ontologies as queries, retrieval Current expectations, Current expectations, infer the meaning, common sense, retrieval Current, nowadays information retrieval, guides the user, query
Retrieval System Multilingual, Precision oriented metrics, System Multilingual, apply query, Information, Retrieval System, Multilingual Information Retrieval, Multilingual, users to apply, Retrieval, Information Retrieval System, System Multilingual Information
Information Technology, Information seeking behavior, students of College, College, University of Dubai, barriers to utilizing, Information seeking, Administration and College, seeking behavior, College of Business, Business Administration, Electronic resources
moving towards structuring, documents, educational structured documents, XML and ontology, increasingly moving, Information, taking into consideration, Information retrieval, structured educational documents, show the feasibility, XML, structured documents
Distance Based KNN, unstructured textual data, natural language, Earthmovers Distance Based, natural language processing, Proposal for Earthmovers, recognizing the potential, recent rise, Based KNN Classification, Based KNN, digital format, language processing techniques
achieved significant performance, expansion terms, Combining Query Reformulation, promote the effectiveness, Chinese EMR Retrieval, Chinese EMR, Query, Improve Query Expansion, electronic medical records, EMR Retrieval, Query Reformulation, EMR
target image, Image sparse representation, image retrieval Image, target image collection, information content, image collection, visual content, sparse, image semantic information, image, content, image content
retrieve related evidence, Knowledge-intensive language applications, open-domain question answering, Dynamic Corpora, Deep Hashing Retrieval, NLP systems, Dynamic Corpora Knowledge-intensive, Deep Hashing, Corpora Knowledge-intensive language, document collection, retrieve related, call for NLP
Medical Question Answer, devices is embedded, question answering, mobile Internet technology, intelligent question answering, wide application, Answer Service, question answering technology, Question Answer Service, artificial intelligence, embedded in intelligent, areas of concern
longest common, extended longest, spoken document retrieval, spoken document, document, longest common substring, retrieval problem, common substring, common substring algorithm, spoken, extended longest common, document retrieval problem
localization method based, Bug Localization, Information Retrieval-based Bug, Information Retrieval, Software Bug Localization, dynamic bug localization, Spectrum-based Fault Localization, Statement-Level Software Bug, Software Bug, Retrieval-based Bug Localization, Bug, bug localization methods
image library, health, instruction and self-care, Automatic construction health, technique Health depiction, medical, health image library, image, health information customers, Health depiction, patient instruction, construction health image
reported speech expressions, retrieval system, information retrieval system, Turkish, Google search, system, reported speech, Turkish Web-Ear, expressions in Turkish, person X told, retrieval, Google search engine
Information Retrieval utilities, Retrieval utilities, software development community, Collaborative Information Retrieval, Information Retrieval, Retrieval utilities Software, Supporting information exchange, Software developers produce, engineering challenges, utilities Software developers, challenges and resolving, significant amount
Tokenization Methods Recently, Dense Passage Retrieval, Domain Question Answering, Language Tokenization Methods, Natural Language, Performance Comparison, Natural Language Process, Open Domain Question, Korean Language, Language Process, Korean Language Tokenization, Methods Recently
Satellite cloud image, cloud image processing, demonstrate the usability, remote sensing imaging, cloud image, content-based satellite cloud, cloud image information, Satellite, image, achieved great progress, satellite information includes, sensing imaging technology
Approach for Information, graph-informed smart UX-design, Information Retrieval, Informed Visualization Approach, Graph Informed, smart UX-design approach, supporting information retrieval, Knowledge Graph Informed, Graph Informed Visualization, Smart UX-design, Rescue Operations Wearable, Emergency Situations
Matching Model Based, Text Matching, development of Natural, Natural Language, Natural Language Processing, great research significance, question and answer, Model Based, retrieval in NLP, Text Matching Model, comparison and ablation, improve the accuracy
shown their advantages, NCD, realistic in practical, browsing Earth Observation, Recently, Observation, Earth Observation, normalized compression distance, compression distance, image retrieval Recently, browsing Earth, advantages in browsing
identify and expand, query structure classification, search goal, Expansion, retrieval effectiveness, Query Expansion, ability to accurately, query structure, accurately identify, intended search goal, expand core concepts, query
past few years, gained a pivotal, Social Media, Retrieval Approach, social media information, informing the public, Information, Iterative Information Retrieval, Information Retrieval Approach, Media, Social, Iterative Information
Model for Ad-hoc, extract the contextual, Transformer, Model, Semantic Augmentation, Augmentation Transformer Model, SATM adapts contrastive, eliminate the anisotropy, propose SATM, Semantic Augmentation Transformer, Ad-hoc Retrieval, Transformer Model
Context-Aware Web Information, Web Information, difficult to return, Data Context-Aware Web, research focuses, Retrieval When users, Recent research focuses, Web Information Retrieval, Retrieval, Web, search, search the Web
Topic Based Clustering, illustrates the details, achieves information retrieval, based clustering mechanism, preventing the Forwarding, Information Retrieval, Topic Based, delegating such responsibilities, Named Data Networking, Retrieval and Sharing, achieves information, Forwarding Information Base
Cues Social, Explicit Semantic Cues, Latent Dirichlet Allocation, providers to route, private information spaces, Cues Social Information, Semantic Cues, social network, Frequency-Inverse Document Frequency, querying the private, Social Information Retrieval, Semantic Cues Social
poor performance, Information Retrieval, Cross Language, performance, Information Retrieval Evaluation, CLIR system, English-Hindi CLIR system, Retrieval, problem in Cross, Cross Language Information, Language Information Retrieval, CLIR
Ministry of Science, Faculty, Engineering and Computing, domestic and foreign, latest scientific information, Education and Sports, foreign journals, Computing, Faculty of Electrical, Engineering, Electrical, Electrical Engineering
real estate registration, intelligent archives management, estate registration system, guidance of scientific, real estate, big data, innovation concept, file management system, big data environment, retrieval, scientific and technological, technological innovation concept
radiation process, order Hawking analysis, argument about non-unitary, Hawking argument, acknowledge the quantum, hole radiation Hawking, black hole radiation, radiation Hawking argument, leading order Hawking, non-unitary evolution, quantum correlations, hole radiation
distributed information, information retrieval, Analysis, information, distributed information retrieval, important research direction, important research, growth of WEB, research direction, distributed, search engine analysis, retrieval
Urdu Language, Urdu Language Stemming, outperformed and improved, recall and precision, Natural Language, Natural Language Processing, Improve Search Effectiveness, Handling Stemmer, Multilevel Inflection Handling, Improve Search, Inflection Handling Stemmer, vocabulary mismatch issue
HEVC I-frame, HEVC compressed domain, Visual information, HEVC compressed, Visual information retrieval, HEVC, domain retrieval method, retrieval method, HEVC coded, HEVC I-frame coded, HEVC coded videos, retrieval
information technology service, essential research subject, tickets Ticket annotation, essential research, research subject, text analytics framework, Probabilistic text analytics, service desk tickets, desk tickets Ticket, successful delivery, inefficiency to render, annotation and search
Deep Learning, deep learning models, Learning Retrieving relevant, medical data promptly, Deep Learning Retrieving, Multimodel Deep Learning, Retrieving relevant medical, improving patient care, Deep Neural Networks, Convolutional Neural Networks, relevant medical data, Random Multimodel Deep
Multilingual Environment, Optimization for Information, Information Retrieval, E-governance, Environment, Information, E-governance resources, Optimization, Retrieval, Query Optimization, Data, Environment for E-governance
Text REtrieval Conference, classic treatment, Information Theoretical Framework, Framework The IDF, Theoretical Framework, Frequency, Inverse Document Frequency, Inverse, Classic, Document Frequency, Inverse Document, IDF
information resource, document pre-processing, structure design, intelligent retrieval system, system function, information resource acquisition, academic literature resources, massive academic literature, management and service, literature resources based, system design, expounds the key
Digital Library, real-life Digital, Retrievability, measuring the accessibility, visualize the differences, Library, Retrieval System, determine the ease, Retrieval, Integrated Retrieval System, Integrated, real-life Digital Library
long-established payment modes, Currency Information Retrieval, Information Retrieval, Retrieval for Aiding, Learning-based Currency Information, Visually Impaired People, in-demand and long-established, Impaired People Paper, Machine Learning-based Currency, identifying the authenticity, payment modes, People Paper currency
Interactive Query Based, Assisting Visually, Retrieval System, Visually Impaired People, Voice Interactive Query, limits the socialization, Based Information Retrieval, Retrieval, paper presents, System for Assisting, Assisting Visually Impaired, Information Retrieval System
Web of Things, control real things, real things, Cloud age, virtual Web avatar, Proposal, present real-time information, Web avatar, Things, Web, virtual Web, Data center infrastructures
Retrieval Module Based, Relational Database, Module Based, internet nowadays, Learning to Rank, complex search requests, query results produced, made by users, produced by Relational, search requests made, Information Retrieval Module, Intelligent Information Retrieval
knowledge base model, information retrieve, information retrieve performance, reduce the human, reducing ambiguity, base model, domain case-based knowledge, knowledge base, search, TBox and RBox, high-level information retrieval, case-based knowledge model
