gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical, classical channels, fluid dynamics, nonlinear Burgers equations, Quantum lattice-gas algorithms, NMR implementation
partial differential equation, paper addresses robust, complex biological processes, Robust model-order reduction, addresses robust model-order, high dimensional nonlinear, dimensional nonlinear partial, nonlinear partial differential, complex biological, Robust model-order, differential equation, addresses robust, processes This paper, paper addresses, high dimensional, partial differential, nonlinear PDE model, model-order reduction, biological processes, model
acceleration and torque, reduce overshoots appearing, Fractional motion control, path tracking design, motion control, small displacements, cutting table, order to reduce, reduce overshoots, overshoots appearing, appearing for small, tracking design, path tracking, Fractional motion, fractional differentiation, cutting, cutting table model, table, path, Fractional
population learning algorithm, technical feasibility constraints, optimization problem Proposes, hybrid approach integrating, learning algorithm approach, solving reliability optimization, artificial neural network, Proposes a hybrid, dedicated artificial neural, maximising system reliability, population learning, learning algorithm, dedicated neural network, reliability optimization problem, problem Proposes, feasibility constraints, hybrid approach, approach integrating, applied to maximising, cost and technical
cutting-edge manufacturers begin, factory floor, widespread basis, Ethernet networks, pretty clear, implementation as cutting-edge, manufacturers begin, begin to adopt, adopt the technology, clear that Ethernet, won the battle, network of choice, won in implementation, Ethernet, Ethernet has won, won, floor, basis, business, pretty
Ultra-high speed positioning, gravure engraving unit, speed positioning control, Ultra-high speed, speed positioning, gravure engraving, engraving unit, control, high-precision response, high-speed, electro-magnetic actuator, positioning control, high-speed response, response, piezoelectric, high-speed and high-precision, achieve, method, achieve both high-speed, piezoelectric actuator
achieve five-nines reliability, everyday commercial-quality hardware, achieve five-nines, five-nines reliability, reliability with everyday, everyday commercial-quality, high availability, commercial-quality hardware, hardware and software, Design patterns, software design patterns, hardware, high, software, Design, availability, high availability systems, fault, redundant hardware components, achieve
Quick media response, media response averts, Cyber Patrol Internet, popular Cyber Patrol, Patrol Internet filtering, Microsystems Software pulled, Cyber Patrol, Internet filtering software, response averts, averts PR disaster, Quick media, media response, Patrol Internet, Microsystems Software, standard crisis management, marketers at Microsystems, Internet, popular Cyber, Internet filtering, filtering software
dose optimization algorithms, dose optimization, dose distribution, dose, Effect-volume histogram, EVH, optimum dose distribution, dose distribution result, distribution, analysis of dose, analysis, objectives, treatment goals, optimization, tool, EVH reveals, advent of dose, Effect-volume, low doses, internal decision finding
enzyme fermentation process, process prediction, biotechnological process prediction, process prediction tests, hybrid models, hybrid mathematical models, optimization results obtained, prediction and optimization, enzyme fermentation, structure hybrid mathematical, prediction, process, optimization of enzyme, hybrid, optimization results, models, optimization, Application of hybrid, fermentation process, biotechnological process
Self-describing Turing machines, sketchy historical account, Self-describing Turing, Turing machines, sketchy historical, historical account, discussing the definition, definition of suitable, suitable encodings, give the construction, Turing, self-describing machines, self-describeness and self-reproduction, Self-describing, machines, question of self-describeness, encodings for self-describeness, self-reproduction, instructions, self-describeness
induction machine drive, field-oriented induction machine, induction machine, speed-sensorless control, Design and implementation, sliding-mode observer, observer for speed-sensorless, machine drive, control algorithm, field-oriented induction, proposed algorithm, control, induction, machine, speed estimation, current, control of induction, rotor time constant, speed estimation accuracy, speed
components analysis Bad, analysis Bad pixels, principal components analysis, Bad pixels, Bad pixel identification, pixels, showing a temporal, temporal evolution, principal components, Bad, analysis Bad, pixels showing, component analysis, principal, analysis, components, pixels labeled, defined, showing, temporal
terms of number, nuclear magnetic resonance, Quantum-information processing, quantum systems, Experimental implementation, nuclear magnetic, magnetic resonance, quantum, half-adder and subtractor, subtractor operations, system, Experimental, efficiently performing, performing, processing by nuclear, computational tasks, tasks, quantum algorithms, quantum states, magnetic
resolution based proof, temporal logic CTL, Clausal resolution, resolution based, rational agency, Temporal Logic, based proof system, branching-time temporal logic, representing belief, logic, Belief is presented, logic CTL, Temporal, agency A resolution, resolution, Belief, based proof, branching-time temporal, proof, Clausal
Editorial system vendors, system vendors focus, Editorial system, newspaper-system market, system vendors, vendors focus, Mac, focus on Adobe, Adobe InDesign, alternative to Quark, Quark XPress, Adobe, Editorial, market, respect, XPress for pagination, system, vendors, focus, future
control chart pattern, control, chart pattern recognition, control charts, learning vector quantization, LVQ, chart pattern, learning, vector quantization, learning vector, pattern recognition, control charts based, learning network approach, charts, SPC, pattern, Pham and Oztemel, fuzzy-soft learning vector, recognition, fuzzy-soft
Surrey County Council, County Council Swan, Council Swan project, network Surrey County, Europe biggest implementation, VoIP makeover transforms, Surrey County, County Council, Council Swan, duckling network Surrey, makeover transforms ugly, transforms ugly duckling, Swan project, project is Europe, Europe biggest, ugly duckling network, VoIP makeover, network Surrey, makeover transforms, transforms ugly
hearing people Discusses, hearing loss presents, people Discusses, Discusses the nature, Information access, deaf and hard, nature of deafness, hard of hearing, hearing impairments, hearing people, onset of hearing, hearing loss, loss presents, present practical tips, deafness and hearing, hearing, Discusses, TTY communications, ASL interpreters, hearing clients
introduces Java programming, gender-neutral game-based software, introduces Java, Java programming, Virtual Family, discusses Virtual Family, Java, Family, approach to introducing, gender-neutral game-based, game-based software, Virtual, Virtual Family teaching, discusses Virtual, describe Virtual Family, Virtual Family concept, Information Technology, introduces, introduces and discusses, software that introduces
torso surface asymmetry, input torso indices, Genetic algorithm-neural network, algorithm-neural network estimation, artificial neural network, scoliosis Scoliosis severity, Cobb angle, torso asymmetry, torso indices, torso surface, input torso, surface asymmetry, algorithm-neural network, network estimation, neural network, Genetic algorithm-neural, genetic algorithm, estimated by artificial, artificial neural, algorithm to select
library information systems, LIS educators, LIS community, isolated theorist, information systems, fully the contribution, make to society, classification makes, role and future, future of subject, exploitation of resources, educators appreciate fully, integral part, subject classification, library information, legal information, profession and LIS, LIS, contribution that classification, community can make
Fidelity and Berkshire, Berkshire Group, Group of Companies, strong technology platform, financial institutions, products and services, cross selling, charged with developing, developing a strong, sell their products, cross sell, Fidelity, strong technology, technology platform, finance, FleetBoston, Berkshire, Group, Companies, cross
current transients, PSTH response, PSTH, time, input, spike, response to current, input spike, model, time constant, membrane time constant, PSTH data, response, simulated PSTH data, data, spike input, passive membrane time, recovery time, Noise, transients
nonlinear parabolic equations, parabolic differential equations, fully nonlinear parabolic, nonlinear parabolic differential, study time discretizations, nonlinear parabolic, parabolic equations, parabolic differential, fully nonlinear, differential equations, study time, time discretizations, discretizations of fully, equations We study, parabolic, nonlinear, equations, Runge-Kutta methods, backward Euler method, stable Runge-Kutta methods
ETACT scintimammography Emission, scintimammography Emission tuned, Emission tuned aperture, aperture computed tomography, tuned aperture computed, Emission tuned, ETACT scintimammography, ETACT, Angular disparity, computed tomography, tuned aperture, aperture computed, previously shown, disparity, Emission, scintimammography, Angular, ETACT projections, degrees, Smaller angular disparity
health care environments, Health Level, enables disparate computer, disparate computer applications, health care, exchange key sets, electronic data exchange, encoder and decoder, Health, message, Design and implementation, care environments, enables disparate, disparate computer, computer applications, sets of clinical, clinical and administrative, standard, MOM, Level
noise Iterative gradient, Iterative gradient methods, Iterative gradient, brain noise Iterative, MLP, MEG source localization, accurate MEG source, noise Iterative, trained, noise, Fast accurate MEG, MEG source, MLP trained, EEG, real brain noise, Iterative, MEG, real brain, brain noise, MLPs
Library of Congress, cataloger workstation revisited, utilizing Cataloger Desktop, Cataloger Desktop, electronic cataloging tool, workstation revisited, opportune time, cataloging tool aggregator, utilizing Cataloger, cataloging tool, cataloging operations, Cataloger Desktop stands, cataloger, online cataloging tools, Desktop, cataloger workstation, Congress, Cataloger Desktop highlight, cataloging, Library
signal processing, discrete short-time Fourier, events This paper, paper deals, power quality events, discrete STFT, signal processing tools, short-time Fourier transforms, signal processing techniques, power quality analysis, power quality, STFT, quality events, Fourier transforms, power, processing, signal, short-time Fourier, analysis, quality analysis
association has brought, article outlines, closer association, academic This article, increasing convergence, mutual benefits, information departments, information, outlines the increasing, benefits, academic, information profession, convergence between academia, brought, specialist skills, article, outlines, convergence, decade, mutual
services choices manufacturers, Technology decisions, critical hardware, services choices, choices manufacturers, manufacturers are making, begin to emerge, recession and position, software, Technology, hardware, future, decisions, paper, critical, services, choices, manufacturers, making, begin
influence aesthetic preferences, influence aesthetic, physical size, aesthetic preference judgments, aesthetic preference, object can influence, physical, aesthetic, influence, stimuli, influence of physical, preference judgments, preference, participants, judgments The hypothesis, preferences was investigated, Bigger, investigated, size, hypothesis
Average Run Length, procedures of constructing, probabilistic control charts, constructing control charts, linguistic data, probability theory, control charts, fuzzy, probabilistic control, constructing control, fuzzy and probability, degrees of fuzziness, Average Run, Run Length, control, fuzzy approaches, Raz and Wang, probability approaches, charts, data
stenosed coronary artery, coronary flow reserve, Numerical modeling, coronary artery, flow reserve, fractional flow reserve, coronary arterial stenosis, flow, main hemodynamic parameters, coronary, coronary flow, parameters, stenosis, stenosed coronary, simple geometrical parameters, hemodynamically based parameters, percent diameter stenosis, define stenosis severity, FFR, CFR
flow problem Minoux, balanced flow problem, maximum balanced flow, generalized maximum balanced, total flow, balanced flow, generalized maximum flow, maximum flow problem, flow problem, problem Minoux, maximum balanced, flow, generalized flow, maximum flow, fixed proportion, vertex set, generalized maximum, problem, sink t satisfying, satisfying the constraint
Leucadia National Corp, Leucadia National, National Corp, end of Chapter, telecom, Chapter, Leucadia, Corp, Williams Communications, National, Williams, Williams nears end, Communications, end, million boost, carrier afloat, boost for Williams, million, bankruptcy, boost
law library users, broader view, law library, local reference library, perfectly appropriately continue, Internet resources, library users, start with Internet, library, location mark indicating, reference library, users The author, Cataloguing, usual, office, accessible collection, law, author, broader, view
Congress subject headings, Library of Congress, assigning Library, Congress subject, classical literature, ancient history, subject headings, question of perspective, assignment of subject, world view, literature and ancient, article explains, explains the concept, influences the development, development and assignment, ancient civilizations, cataloguers influences, Ancient Greece, ancient, Greece and Rome
FACTS devices installed, Intelligent optimal sieving, multi-target oriented optimal, FACTS device, FACTS device output, FACTS device control, optimal sieving, installed in multi-machine, FACTS, optimal sieving method, multi-machine power systems, optimal sieving control, multi-target oriented, oriented optimal control, optimal control strategy, Intelligent optimal, optimal, multi-machine power, devices installed, power system
business information units, professionals commonly overlook, commonly overlook ethical, business information professionals, information professionals commonly, overlook ethical dilemmas, business information, units The primary, commonly overlook, information professionals, primary thesis, thesis remains unproven, professionals commonly, information units, overlook ethical, ethical dilemmas, competent information professionals, Resolving ethical dilemmas, business, information
product lifecycle management, lifecycle management, implement targeted projects, targeted projects intended, deliver return-on investment, product lifecycle, manufacturing companies, timely fashion, second-generation PLM products, widely recognised, manufacturers begin, begin to identify, identify and implement, implement targeted, targeted projects, projects intended, intended to deliver, deliver return-on, return-on investment, management
gating charge movement, transient gating charge, gating charge, calcium ion channels, ion channels, gating, potassium channel gating, voltage-gated sodium, ion, transient gating, charge movement, voltage-dependent ion channels, channel gating, calcium ion, precede channel opening, channel opening generate, channel, charge, channel gating currents, voltage
one-dimensional cellular neural, cellular neural network, neural network mosaic, spatially variant templates, CNN with spatially, mosaic patterns, spatially variant, work investigates, investigates the complexity, complexity of one-dimensional, one-dimensional cellular, cellular neural, neural network, variant templates, network mosaic patterns, CNN, mosaic, patterns, variant, infinite lattices
texture, synthetic, mammograms, clinical, mammogram texture, tissue, synthetic mammograms, clinical texture, synthetic mammogram texture, tissue regions, features, synthetic images, synthetic texture feature, compartments, images, computed, clinical and synthetic, regions, adipose tissue, synthetic texture
Evaluation of existing, feature recognition algorithms, feature detection, National Design Repository, algorithms, feature, feature recognition, recognition algorithms, Experimental results, feature detection algorithms, SUN Workstation, feature detection techniques, feature detection face, paper, detection, Design Repository, general-purpose feature detection, National Design, general feature detection, Evaluation
institution mobile play, wireless success, mobile play, key to wireless, desk can make, make or break, break an institution, institution mobile, Ameritrade and RBC, Help-desk support, finance, Help-desk, success, play, RBC are taking, Schwab, Ameritrade, support is key, support, key
temperature, temperature-activated wear, cutting, tool, Modeling cutting temperatures, interest in machining, fail by thermal, thermal softening, softening or temperature-activated, inserts, cutting temperatures, temperature correction factor, tool geometries, model, temperature correction, correction factor model, factor model, geometries, Modeling cutting, finite element
graduate seminar format, addresses cutting-edge issues, traditional graduate seminar, seminar format, Network-centric systems, author describes, describes a graduate-level, addresses cutting-edge, cutting-edge issues, traditional graduate, graduate seminar, systems The author, issues in network-centric, format, systems, Network-centric, author, describes, graduate-level, addresses
infinite duration two-player, time special case, duration two-player games, two-player games played, special case, infinite duration, duration two-player, linear time special, games, linear time, time special, two-player games, games played, time, linear, mu-calculus model checking, linear time algorithm, modal mu-calculus model, played on graphs, special
quadrature mirror filter, filter lattice filter, mirror filter bank, mirror filter lattice, lattice filter bank, coefficient quadrature mirror, structure quadrature mirror, lattice structure quadrature, coefficient lattice structure, mirror filter, filter bank, quadrature mirror, filter lattice, lattice filter, genetic algorithm, coefficient quadrature, coefficient lattice, structure quadrature, lattice structure, filter
Petri net evolutions, Transition Petri net, Transition Petri, Petri net, relationships are considered, Petri, semantic domains, analysis and synthesis, net evolutions, Transition, analysis, synthesis, Place, nets, domains for Place, evolutions, recording, considered, firing sequences, semantic
online marketplaces evolve, online marketplaces, customer demand, Trading exchanges, marketplaces evolve, evolving rapidly, exchanges are evolving, online, demand, Trading, exchanges, marketplaces, evolve, evolving, rapidly, manufacturers, customer
open-architecture precision motion, motion control system, precision motion control, open-architecture precision, precision motion, motion control, integrated and open-architecture, control system, control, open-architecture, motion, system, integrated, system is presented, precision, drive servo systems, servo systems based, Development, DSP processor board, components
inch magneto-optical disk, maintaining downward compatibility, inch magneto-optical, downward compatibility, magneto-optical disk, groove recording method, GIGAMO media, maintaining downward, capacity of GIGAMO, GIGAMO, recording capacity, groove recording, recording method, GIGAMO technology, inch, magneto-optical, capacity, disks while maintaining, land and groove, recording
giving you tips, common mistakes made, enterprise programming, programming, mistakes made, mistakes, enterprise, directly, common, made in enterprise, giving, tips, made, common enterprise programming, enterprise programming mistakes, common enterprise, programming mistakes, common mistakes, good things, common errors
realization of registers, red-detuned laser beam, selectively addressable dipole, dipole traps obtained, addressable dipole traps, far-detuned dipole traps, atomic qubits, trap neutral atoms, Micro-optical realization, dipole traps, addressable dipole, registers of atomic, far-detuned dipole, scalable configuration, experimentally demonstrate, demonstrate novel structures, neutral atoms, obtained by focusing, focusing a red-detuned, red-detuned laser
complex parts typically, parts typically involves, sequential tolerance control, machine tools, tolerance control, machining of complex, typically involves, involves a logical, logical and chronological, chronological sequence, adaptive sphere-fitting method, complex parts, parts typically, sequential tolerance, Conventional tolerance control, tolerance control specifies, set point, design specifications imposed, sphere-fitting method, adaptive sphere-fitting
requirements of quality, quality of service, Internet video broadcast, systems Multimedia applications, distribution systems Multimedia, Multimedia applications, Internet video, distance learning, systems Multimedia, stored video distribution, video, Internet, Multimedia, video broadcast, stored video, bandwidth, Aggregate bandwidth, video distribution, Aggregate bandwidth estimation, video streams
Keeping Web accessibility, making Web sites, Web sites accessible, author discusses design, discusses design issues, Keeping Web, making Web, economic perspective, required by law, smart thing, Web accessibility, Web sites, presenting three compelling, compelling reasons, reasons for making, broad range, author discusses, discusses design, design issues, Web
electronic commerce, electronic commerce programmes, electronic commerce professionals, electronic, commerce, Raising the standard, standard of management, growth industry, commerce programmes, developing electronic commerce, electronic commerce coursework, commerce professionals, commerce programmes raises, management education, electronic commerce narrows, aspiring electronic commerce, Kenneth Boulding, teaching of electronic, skills, Raising
gas-metal arc welding, process Arc instability, GMAW process, arc welding self-regulation, self-regulation process Arc, welding self-regulation process, gas-metal arc, arc welding, weld quality, arc, important determinant, determinant of weld, process, process Arc, GMAW, Arc instability, Instability, Instability phenomena, arc voltage characteristic, arc current
randomly varying blur, adaptive optics compensated, provide image enhancement, optics compensated imagery, Starfire Optical Range, low earth orbit, multiframe blind deconvolution, earth orbit satellites, Supersampling multiframe blind, reconstructing undersampled image, undersampled image sequences, deconvolution resolution enhancement, adaptive optics, describe a postprocessing, postprocessing methodology, methodology for reconstructing, sequences with randomly, randomly varying, varying blur, compensated imagery
Quantum universal variable-length, universal variable-length source, variable-length source coding, universal variable-length, admissible minimum rate, Quantum universal, optimal quantum universal, quantum states, variable-length source, source coding, coding We construct, admissible minimum, minimum rate, Quantum, achieves the admissible, universal, variable-length, probability distribution, minimum rate exponentially, code
Global Crossing, Hutchison Telecommunications, Telecommunications and Singapore, Singapore Technologies, Technologies take control, originally offered, investors get steal, lot less money, control of Global, Global, Crossing, Hutchison, Telecommunications, Singapore, Technologies, bankrupt carrier intact, offered, carrier intact, deal, deal leaves
lightweight piezo-composite curved, piezo-composite curved actuator, middle PZT ceramic, piezo-composite curved, high CTE, middle PZT, lightweight piezo-composite, fiber composite layer, PZT ceramic wafer, CTE, top carbon fiber, curved actuator, PZT ceramic, lightweight fiber reinforced, thermal expansion, near-zero coefficient, coefficient of thermal, called LIPCA, LIPCA, fiber composite
variable constant controller, simple variable constant, Chen systems, canonical Lorenz attractor, complex chaotic systems, letter investigates, joint function, variable constant, constant controller, Lorenz, Lorenz attractor, Chen, Chen attractor, chaotic systems, complex chaotic, canonical Lorenz, transition chaotic attractor, related chaotic systems, simple variable, complex chaotic dynamical
coherent receivers Coherent, Coherent reception depends, receivers Coherent reception, Coherent reception, coherent receivers, receivers Coherent, correlation of long, fast Fourier transform, reception depends, long data sequences, coherent, received signal, fast Fourier, sequences for coherent, long data, Fast convolution techniques, data sequences, Fourier transform, fast, matching of phase
wireless handheld devices, mobile network, caches are utilized, Modeling frequently accessed, weak consistency, data, handheld devices, data access, wireless data access, frequently accessed data, Modeling frequently, accessed wireless data, data access mechanism, response times, wireless data, original data entry, reduce the response, frequently accessed, frequently accessed wireless, consistent data access
computer clock track, personal computer clock, track the UTC, UTC timescale, personal computer synchronized, personal computer, clock track, computer clock, Internet, time servers spread, synch error, UTC, minimum synch error, computer synchronized, total synch error, personal, computer, clock, synch, time servers
expert systems, problem domains, problem, financial problem domains, accounting and finance, expert, systems, expert system problem, Knowledge acquisition, accounting, domains, Knowledge, financial problem, system problem domains, developing expert systems, finance, empirical, expert system development, system development process, system problem
important key technology, software development, Component-based software development, component-based software, software configuration management, software, component-based software configuration, important key, key technology, software configuration, CBSD, supporting system Software, development, component-based SCM model, SCM, system Software configuration, component-based SCM, configuration management, component-based, technology in software
classical mathematical formalization, machines play Individual, play Individual rationality, von Neumann-Morgenstern game, Games machines play, predict human behavior, Neumann-Morgenstern game theory, multiple-agent settings, machines play, explain and predict, predict human, classical mathematical, mathematical formalization, play Individual, standard model, individual interests, Games machines, Individual, game theory, human behavior
passive vibration control, vibration isolation, controller is presented, Fractional differentiation, passive vibration, vibration control, illustrate the concept, method to transform, robust controller, transform the design, concept of vibration, Fractional, suspension, design, vibration, differentiation, fractional derivative operator, model, differentiation in passive, isolation
dynamic fractional-flow model, fractional-flow model, serial manufacturing systems, manufacturing system incorporating, serial manufacturing, system incorporating rework, reachability and controllability, dynamic fractional-flow, model of serial, manufacturing systems, controllability properties, incorporating rework, manufacturing, system incorporating, model, serial, fractional-flow, controllability, rework, reachability
started reshaping offerings, content syndication technology, enterprise-wide content syndication, Syndicators turn, reshaping offerings, started reshaping, enterprise-wide content, technology and service, Syndicators, Syndicators have started, enterprise Syndicators, products, content syndication, syndication technology, offerings, syndication, companies, Syndication companies, turn, started
Learning nonregular languages, LSTM Rodriguez, networks and LSTM, simple recurrent nets, nonregular languages, recurrent nets, simple recurrent, Learning nonregular, learning ability, Elman, context-sensitive languages, context-free languages, languages, Rodriguez, memory recurrent nets, recurrent networks, examined the learning, LSTM, simple, recurrent
reverse arcs, complete digraphs, precisely one pair, pair of reverse, Orthogonal decompositions, isomorphic copies, Orthogonal, complete, digraph, decompositions of complete, vertex-disjoint union, copies, union, family, decompositions, belongs, arc, arcs, isomorphic, member
quadratic 0-1 knapsack, knapsack problem, underlying graph structure, fairly simple, special cases, structure is fairly, QKP, series-parallel graphs, series-parallel support, underlying graph, graph structure, quadratic, knapsack, problem, vertex series-parallel graphs, pseudo-polynomial time complexity, time approximation scheme, problem with series-parallel, series-parallel, dynamic programming algorithm
cerebrum segmentation, three-dimensional sagittal brain, cerebrum, sagittal brain, brain, segmentation, image, full three-dimensional sagittal, brain MR images, Automated cerebrum segmentation, Automated cerebrum, sagittal, algorithm, segmentation algorithm, fully automated cerebrum, full three-dimensional, lateral, three-dimensional, lateral slice, slice
computer science, earned doctorates reveal, science, doctorates, computer, survey of earned, computer science doctorates, earned, earned doctorates, Education Statistics, National Center, Center for Education, doctorates in computer, earned bachelors' degrees, earned masters' degrees, earned doctorates' degrees, women, science doctorates, completing doctorates, doctorates reveal
system stability investigations, wind turbine modelling, power system stability, wind turbine voltage, mutual effects, wind turbine, voltage stability control, turbine voltage stability, wind turbine power, stability investigations, voltage stability, grid-connected wind turbines, turbine modelling, power system, system stability, wind, blade angle control, results of wind, effects of grid, turbine voltage
firm Outsell Inc., research firm Outsell, Dick Curtis, Outsell Inc., digital content providers, buy digital content, covers econtent contract, firm Outsell, digital content, buy digital, disconnect continues, negotiation strategies, people who buy, director and lead, lead analyst, research firm, contract and negotiation, content providers, Curtis, Inc.
W-methods applied, Banach space setting, properties of W-methods, W-methods, abstract Banach space, operator splitting, stability properties, W-methods treat, abstract Banach, Banach space, geometric theory, Stability, Stability of W-methods, applications to operator, theory We analyze, operator, analyze, properties, applied, splitting
PDA buyer guide, PDA buyer, PDAs move, buyer guide, personal space, firm grip, PDA, PDAs, Networking, hand, guide, enterprise, users, palm, buyer, move, personal, space, firm, grip
list of subsets, chromatic spectrum, feasible set, set, vertex set, mixed hypergraph, strict k-coloring, vertices assigned, vertices, vertices assigned distinct, mixed, spectrum of mixed, feasible, member, interval, assigned, hypergraph, list, strict, single interval
Questioning the RFP, RFP process, current climate, lack of spending, telecom carriers, purchasing habits, purchasing process, habits of telecom, genuine concerns, RFP, telecom, purchasing, Questioning, climate, spending, process, financial struggles, current, habits, carriers
current time level, data assimilation techniques, popular data assimilation, popular data, Data assimilation, Kalman filter type, time level, based on actual, actual measurements, provide an improved, improved estimate, current time, updated initial conditions, initial conditions, model, Kalman filter, error forecasts, deterministic model, Data, model error forecasts
feature-preserving volumetric technique, distance map defined, adaptive background grid, feature-preserving volumetric, extensions and improvements, distance map, merge surface triangulations, surface, merging procedures based, surface triangulations, adaptive background, background grid, volumetric technique, merge surface, Delaunay triangulation method, procedures based, surface merging, map defined, background, Delaunay triangulation
reduce structural vibration, reduce electrical transformer, transformer structural vibration, electrical transformer structural, enlarged bandwidth control, adaptive vibration absorber, structural vibration, multiple frequencies, target frequencies, reduce structural, reduce electrical, transformer structural, adaptive vibration, vibration absorber, electrical transformer, enlarged bandwidth, vibration, frequencies, absorber to reduce, bandwidth control
trajectory optimization approach, transient thermal response, large titanium alloy, sequential open-die forging, titanium alloy billet, open-die forging operations, trajectory optimization, optimization approach, transient thermal, thermal response, open-die forging, sequential open-die, successive forging operation, large titanium, titanium alloy, approach A trajectory, alloy billet, billet temperature distribution, approach is applied, order to control
study model-theoretic properties, hereditarily finite, hereditarily finite superstructures, Model theory, study model-theoretic, hereditarily, finite, finite superstructures, superstructures, countable signatures, theories, signatures, countable, isomorphism, subsets, unique, countable hereditarily finite, Model, theory, study
World Wide Web, World Wide, invaluable information source, Wide Web, Web based, based on pre-defined, invaluable information, information source, Web, HTML page, HTML, Data extraction, Data, Internet, World, Wide, extracting data, pre-defined schema, required data, Effectively extracting data
sensor the information, motor drives Controlled, Controlled induction motor, drives Controlled induction, mechanical speed sensors, induction motor drives, drives Controlled, Controlled induction, high reliability, attractions of low, low cost, cost and high, motor drives, motor shaft, induction motor, mechanical speed, motor, speed sensors, Controlled, measured stator voltages
process Detection, estimation of abrupt, Detection and estimation, Detection, well-studied problem, Detection of change-points, degrees of freedom, problem, likelihood ratio, likelihood ratio statistic, change-point problem, parallel problem, generalized likelihood ratio, likelihood ratio test, degrees, freedom, ratio test statistic, distribution resisted exact, estimation, abrupt
dataflow machine, Precedent firing control, precedent firing instructions, dataflow computer, computer which accelerates, avoid degradation, precedent firing, sequential processing, sequential programs, number of waiting, waiting operands, reduce the number, firing control, important to avoid, accelerates execution, firing instructions, important, processing performance, dataflow, sequential
chief technology officer, virtual private networks, public access WLANs, Mick Reeve, BTexact chief technology, DSL services, technology officer, private networks, access WLANs, BTexact chief, chief technology, services and virtual, virtual private, defends the slow, slow rollout, rollout of public, public access, voice over DSL, Mick, Reeve
Visible Human Female, Medicine Visible Human, Project data set, National Library, Library of Medicine, Medicine Visible, Human Female, Visible Human, Project data, human kidney, kidney for trauma, finite element model, high-fidelity finite element, detailed finite element, data set, trauma research, finite element, created directly, human, element model
Hybrid simulation, Kelvin-Helmholtz instability, massless fluid representation, Hybrid, instability, simulation of space, space plasmas, simulation, Kelvin-Helmholtz, fluid representation, MAKS Press, layer, massless fluid, field, space, representation, representation of electrons, three-dimensional hybrid simulation, plasma, hybrid model
Exam applet, freely available Java, On-line Homework, performance on line, Java software, Java program, evaluate student performance, Quiz, Exam, Homework, Java, evaluating performance, line The Homework, software for evaluating, student performance, applet, freely, performance, line, evaluate student
meet current information, current information requirements, future expansion, poses a number, meet current, information technology investments, information technology poses, model, evaluation, information technology, technology managers, factors, current information, information requirements, risks factors, investments The decision, technology investments, technology poses, conceptual framework, evaluation process
Microsoft Project, enterprise debut, Microsoft, multiple Web projects, long-time favorite, project managers, Web-based collaboration tools, OLAP support make, manage multiple Web, Web projects, making its enterprise, Project, enterprise, Web-based collaboration, scalability with OLAP, OLAP support, multiple Web, Aim, managers, debut
color differences Due, differences Due, perceptual color differences, define perceptually based, image rendering processes, synthetic color images, synthetic images based, rendering processes, digital simulations, perceptually based metrics, increasing importance, importance of quantitative, quantitative comparisons, essential to define, define perceptually, enable to objectively, objectively assess, assess the visual, synthetic color, visual quality
construct Boolean algebras, ZFC using pcf, Boolean algebras, assuming squares, results on ultraproducts, construct Boolean, prescribed behaviour, free product, Boolean, ZFC, behaviour concerning depth, algebras, constructions for Boolean, depth, implies ind, pcf, assuming, ultraproducts, kappa, images of Boolean
class of solutions, number of steps, constructive system embedding, System embedding, Bezout matrix identities, polynomial equations including, Polynomial equations, Bezout matrix, constructive system, embedding, System, equations including, Euclidean algorithm, equations, including their generalizations, matrix identities, identities was constructed, constructed analytically, technology of constructive, Polynomial
computer disk drive, disk drive dual-stage, drive dual-stage servo, dual-stage servo systems, discrete time pole, time pole placement, placement design method, MEMS applications, decoupled discrete time, pole placement design, applications in computer, computer disk, disk drive, drive dual-stage, dual-stage servo, servo systems, discrete time, time pole, pole placement, design method
recurrent bus induced, recurrent bus passes, recurrent bus, bus stops, circular route, bus, recurrent, periodic motions, bus induced, bus passes, stops without stopping, recurrent bus exhibits, stops, periodic, nonlinear map, Dynamical, complex periodic behaviors, study the dynamical, recurrent time, motions
DNA Large-scale genotyping, profiling require affordable, expression profiling require, microwell polymerase chain, ultrathin-layer gel electrophoresis, Rapid microwell polymerase, DNA Large-scale, fully automated high-throughput, polymerase chain reaction, automated high-throughput devices, devices enabling rapid, subsequent ultrathin-layer gel, high-throughput devices enabling, ultrathin-layer gel, gel electrophoresis, polymerase chain, microwell polymerase, mapping and expression, require affordable, automated ultrathin-layer gel
National governments, tame activity, Virtual borders, working to tame, Internet activity, National, real laws, activity, protecting consumer interests, Internet, borders, governments are working, laws, Virtual, real, interests, protecting public order, activities, Internet treaties, governments
materials requirements planning, improve materials requirements, requirements planning performance, materials requirements, requirements planning, Managing safety, strategic stocks, improve materials, planning performance, environments to face, safety and strategic, performance This paper, face uncertainty, uncertainty in market, MRP, materials, safety, Managing, strategic, requirements
