data and structured information, books named English, Books, Gutenberg Project, Grammar, grammar books are important, Century English grammar books, materials for English learning, important materials, unstructured data and structured, order to systematically analyze, themes and trends
systems has drawn significant, obvious advantages like scalability, Vector Space Model, Gnutella Efficient Search, retrieval systems has drawn, information retrieval systems, recently, derives from Vector Space, drawn significant attention recently, networks provide obvious advantages, approach, Class-based approach in semantic
role in some fields, Method, playing a particularly important, urgent to integrate temporal, hot spot, Information Retrieval Method Based, Retrieval, important role, Data, relational database information retrieval, Based on Data Graph, data graph is proposed
Care, Point of Care CCS, Information retrieval, Context-sensitive, search at the Point, systems, Care CCS CONCEPTS, Point, CCS, personalized search
Private Information Retrieval, Retrieval Through Wiretap Channel, Wiretap, Meets Security, asymmetric traffic constraints, Private, databases, encode the returned answer, exchanged between the nth, Channel, proof of the PIR, characterizing the capacity
searching large-scale, big data revolution, hefty demand for searching, large-scale electronic health records, created a hefty demand, Clinical, Queries, demonstrated the merit, Retrieval through Context-Aware Queries, Indices The big data, Enhancing Clinical Information Retrieval, Context-Aware Queries and Indices
wireless sensor nodes, Intelligent information retrieval, filters the messages, nodes Various natural hazards, retrieval for Tsunami detection, Tsunami, sensor nodes deployed, evaluated to generate Tsunami, Tsunami detection using wireless, proposes a novel framework, framework implements intelligent information, gradient and heat
approach for mining, Due, input, huge amount, wide, Due to the wide, cross-media retrieval Due, availability of huge, multimedia, modalities, mining heterogeneous data, great amount of similarity
demands terminology understanding, medical, ranking Medical information retrieval, IMS, query, medical-context aware query expansion, expansion, comprehensive ranking method, domain specific knowledge, information retrieval demands terminology, Boolean matching to measure, model via medical-context aware
reliability, crowd, recently crowd sourcing, judgments, degrees of attention, skill, general reasoning skill, questioned because of workers', crowd sourcing is crucial, relevance, workers' varied degrees, understanding the factors
assigning the semantic, technologies and preferably incorporate, probability theory for assigning, Future, retrieval, Information, network extraction perspective Future, incorporate the content descriptions, preferably incorporate the probability, social network, perspective, perspective Future Information Retrieval
Alternative, impairments or comprehension issues, Priority, system takes the lead, Communication System, AAC, Retrieval, Information Priority and Retrieval, method, paper, Augmentative and Alternative Communication, reduces the number
number of technical, media objects are promising, information representing multiple digital, keyword-based and content-based, collection and dissemination, dissemination of increasing, Extensive overview, ICT, information, multiple digital media objects, technical advances in ICT, increasing quantities
retrieval research, semantics, consumption has been recognised, Temporal, system based, Information, significance of time, Chinese temporal regular expression, information production and consumption, Chinese, TSIR system, Temporal semantics Information Retrieval
model, important, Improved Terms Weighting Algorithm, retrieval and automatic text, information retrieval and text, automatic text classification methods, methods with vector space, term frequency, Weighting, Terms, feature term, vector space model
Query, Pseudo Relevance feedback, Semantic Statistical Query Expansion, expansion on the retrieval, main issues, statistical and semantic approaches, Systems, query expressiveness for user, phenomenon of short queries, Arabic Information, Information Retrieval Systems Query-document, Systems Query-document vocabulary mismatch
large volume, Retrieval, continuously generate a large, Representation and Indexing Billions, Sensor Information, based sensor networks, access to specific, Billions, IoT, Internet of Things, devices are connected, order to get access
improve the steps, Poor Students Subsidy Resource, DCMH method, current retrieval methods, lower average accuracy, Hamming distance measure, based on grey relational, Subsidy Resource Database Based, Database Based on Improved, relevance of information, resources, Grey Correlation Degree
PSO, show that direct search, web information retrieval, paper, simpler to implement, search, direct search methods, Parallel swarm, optimization, outperform the existing, search techniques for information, algorithms
form the query, tests constitute the document, Based, widely used in practice, Approach, running large regression suites, Retrieval Approach for Regression, tests, Regression testing is widely, Program, Information Retrieval problem, practice for validating program
Model, PIMA Indians Diabetes Ontology, Decision Rules Knowledge plays, Rules, essential role in efficient, Decision, plays an essential role, Ontology, captures the ontology knowledge, efficient functioning and decision-making, Knowledge Representation, Information Retrieval
classification framework, sentence extraction subtask, information retrieval and supervised, Inverse Document Frequency-based, Research Domain Criteria Research, RDoC Task, BioNLP Open Shared Tasks, Mental Health, Term Frequency Inverse Document, world for developing, National Institute of Mental, Criteria
Nowadays, Situs Kabuyutan Ciburuy, probability approaches Nowadays, manuscript retrieval system comparison, people with many purposes, terms of hardware, information, Sundanese ancient manuscript, development of information technology, ancient Sundanese language, located in Situs Kabuyutan, growing rapidly
effectiveness in today scenario, Movie related information retrieval, improving retrieval effectiveness, grand vision for improving, search models requires user, retrieval, semantic, existing ontology based semantic, semantic search Semantic search, based, hinders the usability, ontology
order to retrieve, propose an intuitive operation, based on geo-visual, world, geo-visual clustering We propose, system takes a picture, retrieval system, Clickable real world, real, information, CRW, intuitive operation based information
solving schema matching, Case, semantic query processing, Thesaurus Performance with Information, Schema, data integration, data, Case Study Thesaurus, Study, query processing and classifiers, Information Retrieval, Performance
improve academic performance, Academic Violation Findings, Similarity Checker Tools based, Retrieval, Empirical Study of Utilizing, development of plagiarism checking, Turnitin, Study, order to provide, Violation Findings The development, Tools based on Academic, Information Retrieval in Similarity
Drug Data Retrieval Lexical, performance in retrieving, Indonesian Drug Data, semantic, retrieval confronts challenges, Drug, resulting in disparities, Masked and Permuted Language, Permuted, gap and vocabulary mismatch, Masked, Language Modeling
WSD, problems, retrieval, find the best number, query, represent document contents, sense, expansion, information, Word sense disambiguation, document contents and query, relevance feedback
Text, derivation of text processing, conceptual representation, semantic based retrieval system, Based, Retrieval Method Based, advantage of Hownet, Concept, Algebra This paper introduces, Algebra, express both the keyword, introduces the concept algebra
Heterogeneous Uncoded Caching Databases, minimize the download, single file, optimal PIR, Private Information Retrieval, Private, Uncoded, PIR download cost, analyzing the structure, Retrieval from Heterogeneous Uncoded, Caching, PIR
Improving Context Awareness Information, explores the convergence, Awareness Information Retrieval, Online Social Networks, attempts to optimize, Context, Online, Awareness, Improving, social book marking, investigate the problem, Retrieval with Online Social
tend to be highly, model, converted data, matching based on neural, probabilistic pattern matching based, highly heterogeneous, data, based on neural network, data storage structure, integrating different computer platforms, Distributed information systems tend, neural network Distributed information
Handling verbose queries, verbose query exemplars, queries for spoken document, flexible but efficient, efficient way to accurately, negative impacts, spoken document retrieval, query, users a flexible, TDT Chinese collection, information retrieval provides users, accurately describe their information
query expansion techniques, language analysis, WordNet Ontology by expansion, importance of Arabic information, search engines, Arabic, models The growing, computing field highlights, Ontology, Arabic information retrieval systems, Evaluating Arabic WordNet Ontology, growing demands
Knowledge Infrastructure, Analyzing, Applying Information Retrieval Technology, Retrieval Technology in Analyzing, technology provided by China, Journal of Guangdong University, Retrieval, suporting the future, University of Business, Analyzing the Journals Information, provided by China National, information suitable for policy-making
provably-secure symmetric, Experimental symmetric private information, offering secure, SPIR, quantum-secure key-exchange network, fingerprint data, private information retrieval, scheme supported, secure retrieval of fingerprint, entries, realisation of a provably-secure, network We report
Resources Based on Deep, Deep Learning This paper, Based, sword to enhance, Deep, Information Resources Based, Cross-media Semantic Retrieval Methods, Retrieval, Semantic, learning and cross-media semantic, Based on Deep Learning, Retrieval Methods of Information
Smooth Locally Decodable Codes, Private, Private Information Retrieval, Smooth, Codes, Relationship between Smooth, Retrieval We focus, Decodable Codes and Private, clarify a relationship, SLDC, PIR, focus on smooth locally
Retrieval System of Aircraft, database system and Communications, divided into four parts, CALS, Database, System of Aircraft Development, Information Database and Retrieval, basis of the analysis, Development Based on CALS, Client browser, proposed the information database, System
improve the mean Average, present a supervised dictionary, supervised dictionary learning method, retrieval performance by providing, Optimized Feature-Based, dataset, cluster hypothesis, multi-class image datasets, reducing the encoding, demonstrate the ability, Information Retrieval, Entropy Optimized
document, Ranking Models, huge, Analysis, Information, huge dataset in accordance, Information Retrieval Information Retrieval, Retrieval, extracting an appropriate document, user intention, system, process of extracting
effective private data storage, data retrieval scheme, data, secure multi-party computation Privacy, storage provider, information, major challenge, Privacy, secure, sharing based Secure Multiparty, outsourced data, secret sharing
information retrieval with non-trivial, Non-trivial server communication cost, Verifying the integrity, replicated database, retrieval, Breaking, hybrid private information retrieval, failed to achieve, single intractability assumption, PIR, resistant information-theoretically secure query, database Private
spread in many entities, heritage, natural, Case, integrated approach to digital, e-Cultural heritage and natural, Indonesian e-Cultural heritage, overview of integrated approach, history information retrieval system, Case study of Indonesian, history, retrieval system Digital preservation
leveraging big quantities, Engines and their Potential, Automated Learning Engines, Enhance Information Retrieval Accuracy, Potential to Enhance Information, big quantities of records, Accuracy, top notch, capable of leveraging big, artificial intelligence, Retrieval Accuracy Latest advances, upward push
number line, reciprocal rank, uniform-step interval scales, normalized discounted cumulative gain, sequence of recent papers, presented the argument, Information, Retrieval, picture of past, Meaning A sequence, Batch Evaluation Metrics, Measures
paper aims to develop, Arabic texts, Arabic language and providing, personalized retrieval information system, information retrieval, providing personalized results, expansion method based, features The work presented, linguistic features The work, texts based on linguistic, presented in this paper, AXON
Shannon Information Gain, Gain, Based, Case Based Reasoning, Vertical, reasoning the new problems, Information Retrieval in Case, Knowledge and Shannon, occurred in the past, Vertical Association Knowledge, show the efficiency, similar problems occurred
Model, Stock Market Index, Market Index forecasting, dynamically from users, National Stock Exchange, Based Information Retrieval Model, Retrieval, Fuzzy, Poor CRISIL NSE, Fuzzy Document Based Information, predict the future, Exchange of India
proposed approach, retrieval The Semantic Web, representing the components, map where an instance, Semantic Web technologies, focus on the presentation, knowledge management, Web, ontology, Web application, geographic information retrieval, mapping ontology for geographic
hot topic, Personal, Personal Information Management, issues, relevant definitions of personal, Management In recent years, paper, field, paper introduces the development, Research, Research on Personal Information, countermeasures concerning these issues
Scheme A and Scheme, Multi-Server Weakly-Private, database without revealing, Private, requested file, Information, download rate, Retrieval Private information retrieval, compare the performance, protocols, existing protocols strictly impose, servers storing the database
web, evolutionary bio-inspired Swarm Intelligence, retrieval, particle swarm optimization, paper focuses, PSO methodology, similarity using particle swarm, Swarm Intelligence techniques, Web Information Retrieval systems, improved response time, PSO, web documents with improved
Thematic, Retrieval Profiling Framework, details of retrieval results, develop a standard, interrelation of Quranic interpretation, process and the details, Profiling Framework for Thematic, search, RPF, Al-Quran, Thematic Interpretation of Al-Quran, justify the validity
Retrieval and Configuration Testing, propose a method, Configuration Testing Software systems, Errors, options to provide flexibility, detecting the similarity, customizability for users, increasing number of configuration, Software systems introduce, construct a database, Testing, Information Retrieval
Web Document Retrieval Corpus, present a Persian dataset, dataset consists of documents, dataset, task of text information, incorporate real-world user queries, queries, Persian dataset designed specifically, Persian, Web, retrieval systems tailored, Zarebin search
Machine Learning techniques, Monitoring In a world, proposed research responds, changing public sentiment, brands, world characterized by rapid, rapid information, constant consumer feedback, Sentiment Analysis for Brand, Brand Reputation Monitoring, Competitive Sentiment Analysis, respond to changing
businesses in Thailand undergo, Query, Thai business-oriented, Thailand undergo digital transformation, information retrieval The importance, retrieval, increases as more businesses, effective Thai information retrieval, importance of effective Thai, correction, methods, Thai
download cost, improve the download, PIR protocols ensure perfect, Information, Retrieval, Existing information-theoretic PIR protocols, WPIR, privately retrieve files stored, identity of the requested, single-server WPIR, user can privately retrieve, servers storing the database
Big Data Events formulate, resolution and reasoning including, Big, Text-Based Event Temporal, Analytics in Big Data, formulate the world, Reasoning, Events, Event Temporal Resolution, Information Analytics, Data, world of human
Model, Text, Arabic abstract doucments, researchers, Product Similarity measures, information retrieval system, Arabic-specific autonomous information retrieval, Vector Space Model, system, Text using Vector Space, researchers created an Arabic-specific, Classify Arabic Text
retrieval Deep stacking networks, type of deep model, equipped with parallel, Deep, information retrieval Deep, DSN to an information, deep model equipped, special type, stacking, DSN, parallel and scalable learning, networks
techniques with change impact, Network Based Integrated Model, reduce the vibrations, Bag of Words, current information retrieval, paper introduces an advance, replacement or manage, connect various current information, CIA, find the similarity document, neural network-based LSTM-RNN, change impact analysis
GPU accelerated information retrieval, advertisement placement and cognitive, Graphics Processing, information retrieval using Bloom, retrieval, search engines, improving the underlying implementation, cognitive databases, GPU, Processing Units, Bloom filter, stringent response time requirements
Integrating Global, Latent Dirichlet, LDA, Method, Local Textual Information, search engines, Textual, exploded through social media, volume of online text, era of big data, Method by Integrating, Text Information Retrieval Method
Zero-Shot Self-Supervised Learning Traditionally, earnings call transcripts, Information Retrieval from Alternative, data sources, knowledge discovery and extraction, spent on knowledge discovery, financial services industry, analysts’ time is spent, amount of financial analysts’, Alternative Data using Zero-Shot, research notes, SEC filings
information search, contents for providing, Semantic analysis, expressed the intention, clinical data, user query request, search technologies are crucial, analysis for enhanced medical, crucial to enable, query, rapidly and effectively discover, retrieval Medical search technologies
browse, important topic, Seeking, topic especially for organizations, Users', Behavior Users' information seeking, users browse and search, Behavior, Review of Models, Information Seeking Behavior Users', understand how users browse, nature
image retrieval strategy based, oil, image, text description to describe, oil painting image retrieval, meet the threshold, index, users, feedback, genre and size, technology, painting
Collection for Urdu Information, CURE, speakers, Urdu, widely spoken language, Urdu is a widely, Retrieval, test, Evaluation, Urdu Information Retrieval Evaluation, retrieval evaluation test collection, models
Networks Social networking sites, famous e commerce web, users to upload billions, Facebook and Flickr, Flickr allows users, web sites, based image retrieval, upload billions of images, sites like Facebook, Image, image rich information networks, number of product related
citation analysis, plays a vital role, analysis Chinese full citation, revealing the knowledge structure, study of establish, aspects of information retrieval, literature, Chinese full-text literature database, research, Chinese, knowledge structure evolution, real-time construction of standardized
documents, work under the area, significant extent, Intelligent Approach Towards Legal, Text-Documents Retrieval Document retrieval, process of discovering, Supreme Court cases, Retrieval, Approach, Approach Towards Legal Text-Documents, system, legal law
dataset demonstrate the effectiveness, Integrating Data Structure Fusion, improve the performance, Computer Network, exponential growth of digital, Information, Information Retrieval Algorithm Integrating, requires advanced methods, Retrieval, Optimization The exponential growth, digital information requires advanced, Data Structure Fusion Optimization
people life to share, share and disseminate, content based, Users, share, survey Social, instantly, integral part of people, Users share their views, disseminate information instantly, life, social networks
documents, Translation approaches in Cross, Retrieval Cross-Language Information Retrieval, Cross, activity in CLIR, performing the search, Retrieval, CLIR multiple tools, Information Retrieval Cross-Language, field, Language, CLIR
Medical Image Retrieval, Visual, due, MedIR, challenging field in Visual, multi-modal context, Relevance, Image, Manifold Ranking, Relevance Feedback Medical image, showcases the importance, field in Visual information
indispensable technique called Clustering, User, Web This paper focuses, data properly and draw, current data centric world, important to analyze data, data mining, draw the crux, User Information, Web, applying clustering techniques, Information Retrieval on Web
improve the efficiency, domain, retrieval and to provide, military transportation Domain ontology, Researches, construct a knowledge base, accurate and high-quality, knowledge base on basis, ontology in military, domain ontology-based personalized information, personalized user interest models, timely
Locating bugs is important, retrieval techniques are increasingly, retrieval, Improving bug, bug localization, large-scale systems, theoretical and empirical, source, structured information retrieval Locating, potential faulty source files, difficult, bug
rapid development of biomedicine, Expansion, Semantic Resources, Information Retrieval Using Semantic, Retrieval, Resources With the rapid, Terms, number of articles based, Biomedical Information Retrieval, great challenge for biologists, refine candidate expansion terms, presents a great challenge
Compared with people urgent, describe the natural, method based on NLP, slow speed, Information Retrieval Algorithm Based, language under the manifold, Based on TextRank Compared, speed and low precision, Algorithm, people urgent desire, urgent desire for information, reduce the computational complexity
Modeling, Retrieval, sketch image is addressed, Image, free hand drawn, information, Feature, Clustering and spectral Feature, Image Retrieval Image retrieval, approach, Integral Clustering, hand drawn sketch image
Model, natural language to RDF, outlines the concrete, Retrieval Model This paper, Model This paper introduces, Semantic, Research on Ontology-Based, Language Technology Platform dependency, Chinese Semantic Retrieval Model, Chinese, Ontology-Based Chinese Semantic, RDF triples
improve information retrieval processes, knowledge of searchers' emotions, emergent interest, emotion data, retrieval, behaviors, search, improve, processes, found that individual search, study examined, data to improve information
opportunity to understand, Vehicle, Time, Today, vehicle registration number, Real Time Vehicle Tracking, Machine Learning Today, Internet, track, Retrieval and Motion Analysis, Information Retrieval, analyse and control
Question Answering With Pre-Trained, Models Multimodal Question Answering, natural language, Multimodal, effective comprehension and response, emerged as a challenging, demonstrate the superior, Answering, Pre-Trained Language Models Multimodal, modalities for effective comprehension, computer vision, integration of diverse modalities
study the related technologies, expansion study the related, design and implement food, related technologies of information, domain ontology, semantic query expansion method, system based, safety semantic retrieval system, ontology-based concept similarity, concept similarity computation model, put forward, establish food safety domain
architecture for a human, paper explores, Management System This paper, Cloud Computing Architecture, Research on Cloud Computing, Human, Cloud, distributed technologies and constructs, information, System, Human Resource Management System, Optimization of Human Resource
constructing capacity-achieving linear codes, Capacity-Achieving Private Information Retrieval, Private, Information, MDS, Message Size, Retrieval Codes from MDS-Coded, reading the contents, maximum distance separable, Databases, PIR, MDS-Coded Databases with Minimum
users expected, aim of a Information, Retrieval System for Assamese, WordNet, vector as the original, large text collection based, Assamese, query, System, Based Information Retrieval System, Digital documents, Assamese Extracting the users
Telugu and Hindi languages, Query, collections of English, Performance evaluation of Multilingual, Average Precision, Query translation, Multilingual Information Retrieval, MAP, system, retrieves the documents, MLIR, Performance
paramount importance to sensor, Reeb graph based, Sensor, Networks Efficient in-network, large number, Retrieval, Distance-Sensitive and Load-Balanced Information, number of studies, extract the line-like, Information Storage and Retrieval, Efficient in-network information storage, Storage
Model, applications like digital libraries, Image based Information Retrieval, Text, Text and Image based, Residual Networks Information, Retrieval, based, crucial process, Collaborative Text and Image, Image, BiLSTM and Residual
genetic algorithm and implement, Algoritms In recent years, field of Artificial Intelligence, System based on Competitive, Genetic, Competitive Intelligence and Technology, Technology Monitoring processing, information retrieval through optimization, configured by Genetic Algorithms, main areas of research, improvement of information retrieval, Decision Support System based
LLM System, Large Language Models, Internet and in real, growing issue of misinformation, current age, Recantations This paper, age of the Internet, Large, System for Accurate Recantations, investigates the crossroads, crossroads between Large Language, paper investigates
user query, Corpus to measure, Usage-based Ranking Algorithm, Ranking, Ranking Algorithm called EHURA, proposed an Efficient Hybrid, Internet, information retrieval systems, billions of web pages, web search Engine, calculate the relevancy, Efficient Hybrid Usage-based Ranking
behavior-based query optimization strategy, Video Retrieval, suboptimal query performance, performance and user experience, User, strategy primarily involves analyzing, address the commonly observed, Query Expansion Approach, Ground Truth data, optimization strategy to address, User Behavior-Based, commonly observed suboptimal query
entities, framework, specifically through the bijection, processing of audio streams, Streams, Music Information, Information Geometry, Audio Streams With Applications, Audio, paper proposes methods, Computing This paper proposes, Similarity Computing
rank query results, structuring stored information, lattices, retrieval, analysis Concept lattices constructed, formal concept, similarity, applied, lattices constructed by formal, concept analysis, successfully applied in structuring, stored information to facilitate
modify the terms, user query, compared to the conventional, information retrieval applications Query, corpus generation from inverted, refinement in information retrieval, retrieval, original query conjunctively, inverted index, corpus, automatically generating, query refinement
Tracking, Tracking interface with named, analysing and handling, named entities approach Topic, interface design are considered, Topic Detection, vast amount of information, approach used in document, information arriving continuously, refer to the technologies, facilitate them to perform, TDT
Learning with Errors, scheme based on Learning, privacy-preserving location sharing scheme, Private, Sharing, ability to resist quantum, provide a high level, LWE, Sharing via LWE-based Private, Information Retrieval We proposes, LWE-based Private Information Retrieval, resist quantum computing attacks
art Text, techniques used in Software, Processing, Natural Language Processing techniques, briefing presents the state, Engineering This technical briefing, discusses their applications, Language, applications in the field, Text Retrieval and Natural, Natural, Processing in Software Engineering
documents, web, field of information, Ontology based fuzzy classification, semantic, information retrieval, based, Ontology, approaches, fuzzy, algorithm, classification of web documents
cascading automatic speech recognition, refers to directly indexing, Spoken, Spoken Content Retrieval, Cascading, time the desired information, locate the exact, Modified ASR, ASR accuracy, ASR, Text Retrieval Spoken content, Content
domain, oilfield non-metallic pipe information, order to solve, domain ontology-based oilfield non-metallic, retrieval performance and low, pipe information retrieval system, pipe, based on Jena, problems of poor, ontology, system, oilfield
Private Information, group homomorphic, Kushilevitz and Ostrovsky, users, Retrieval, data, Homomorphic Encryption, FOCS, information about the retrieved, PIR, Multi-value Private, time
Input Clues Information, Number of Input Clues, Retrieval, associative memories was studied, retrieval in associative memories, reference sets, problem over the binary, recent paper by Yaakobi, Bruck, Varying Number, studied in a recent, Yaakobi and Bruck
problem, user consecutively requests, messages from N replicated, Information, Retrieval, Markov structure correlation, replicated databases, Intermittent Private Information Retrieval, illustrate how the proposed, retrieval with multiple servers, Location Privacy, databases such that part
Search, Traditional Probabilistic Information Retrieval, Information, Traditional, Search beyond Traditional Probabilistic
digital DICOM X-ray images, patient X-ray images accurately, Information retrieval technique, retrieval technique using tag-info, medical imaging technology, bring benefits to physicians, medical, tools to prevent disease, image, X-ray, patient, technology sector
models and techniques embodied, search process information, query in search process, information retrieval system, method CHIR, Find relevant documents, challenge, measure, retrieval system Find relevant, Find, system, similarity
crucial for documenting, Search, system for artwork images, Artwork Creating an intelligent, Neural-Based Cross-Modal Search, Retrieval, documenting cultural heritage, Cross-Modal Search and Retrieval, contextually relevant search results, analysis and interpretation, fostering wider public engagement, artistic analysis
document, Model, Information Retrieval System, Bayesian Network Based Information, proven the efficiency, relationships, IRM, integrate term dependencies, collection, based on Bayesian networks, System, retrieval model based
growth of mobile devices, efficient scalable image retrieval, huge volume of images, environment every day, day with rapid growth, Mobile, devices requires higher efficiency, Retrieval, Bloom, Improved Bloom Filter, mobile cloud environment, uploaded to the mobile
unique attributes, challenging to manage, Archive, information in the archive, Model and Its Application, Modern Guangdong Customs, relevance ranking weight algorithm, Neural Network Model, manage and effectively retrieve, Archive Retrieval in Modern, verifies the practicability, General Higher-Order Neural Network
Scenario, activity of obtaining information, Multiwriter Scenario by Exploiting, set of objects, obtaining information resources relevant, Document Terms, relevant to a questioned, Retrieval, focused either on printed, Retrieval in Multiwriter Scenario, Exploiting the Similarity Graph, Similarity Graph of Document
Similarity Matching Algorithm, Semantic Information Retrieval Model, efficient techniques to improve, recent years, Ontology-Based Semantic Information, improve the precision, Algorithm for Ontology-Based Semantic, years the extreme growth, extreme growth of digital, attribute and the theme, digital documents brought, Retrieval Model In recent
Adhoc monolingual information retrieval, meaning are called stopwords, Words that frequently occur, carry less significant meaning, retrieval, information retrieval of Gujarati, Words, Experiments on stopword elimination, stop, Gujarati, significant meaning are called, Gujarati text documents Words
web, documents using web crawler, Today, web crawler Today web, web documents, semantic, Location based semantic information, data, present data retrieval techniques, ontology and wordnet, easily processed, semantic information retrieval
augmented adoption of XML, rank, XML documents, document structure requires, aim is to combine, feature, Learning to rank, retrieve and rank effectively, rank effectively elements, relevance improves information, XML, XML information retrieval
patents and patent-related information, Enhancing, significant impacts on technology, Retrieval The ability, Information, development and commercial markets, Bio-Ontologies for Enhancing Patent, ability to access existing, impacts on technology development, remains a nontrivial, Utilization of Bio-Ontologies, patents
industries, information retrieval lifecycle architecture, retrieval, approaches of search, Based Clustering Extended Genetic, based, modern medical industries Modernization, lifecycle architecture based clustering, Intelligent information retrieval, genetic algorithm, industries experiences numerous challenges, SOA
web, reduce the computational, based K-Means clustering algorithm, rapid development of internet, number of occurrences, Intelligent Cluster Search Engine, Link based, information retrieval, engines play a vital, search engines play, vital role in information, links and out links
paper presents a text, model, prove the rationality, semantic, based on the feature, text retrieval method based, based, information, space This paper presents, vector space, space feature conversion, knowledge-based semantic fingerprint information
present a broad picture, broad picture of Big, information retrieval process, compared to traditional retrieval, Data and to show, basic, collection of large data, survey The basic aim, retrieved using different methodologies, big data, techniques, evolutionary computation techniques
students, University of Birjand, activities among graduate students, Birjand Personal Information Management, scope of personal, postgraduate students of University, exhausting and difficult process, management behavior among postgraduate, information, process consists, management, PIM
Due, health information technology systems, retrieval from electronic health, electronic health record data, Due to the rapid, health, rapid growth, method, multi-collaborative filtering Due, dynamic and multi-collaborative, review patient, Improving information retrieval
Aspects, presented, Role, medium, importance of the richness, lens of Media, Retrieval, Role of Affective Aspects, Entrepreneurs’ Information Retrieval, Media Richness Theory, examine the importance, Theory A narrative
Retrieval Methods Performance, Web-based integrated information, main research topics, specific retrieval challenge, Online Performance Evaluation Tool, achieve a robust, Tool, aspects, Online, Evaluation, identifying the optimum method, Tool for Information Retrieval
Hash Algorithm for Information, Information Semantic, Hash, Semantic Retrieval in Multimedia, efficiently process and retrieve, Graph Convolutional multi-modal Hashing, MIR Flickr dataset, retrieve large amounts, multi-modal hash algorithm, Environment With technological progress, fully leverage the performance, Guided
Google, exact and modified, Information, important as carriers, Case Study, method, text, Images, World Wide Web, applies the improving, Photos, Discovery
requires talking, Searching for new information, conversational information search Searching, implemented using the TREC, TREC CAsT, extracts, question words, classification and completion, Open-domain Conversational, search, firstly completes the question, system
content-based image retrieval systems, Pareto-Depth for Multiple-Query Image, object or represent, multiple queries that include, single query, Pareto front method, Retrieval, Image, Image Retrieval Most content-based, semantic information, multiple, characterizes the asymptotic
big task to understand, system for multimedia dataset, Nowadays, Hadoop Apache MAHOUT framework, MAHOUT framework Nowadays Designing, efficient information retrieval system, pattern matching algorithms, data, unique patterns from compressed, Designing, retrieve and extract, compress the result
IR-Based Approach Utilizing, MEDLINE, ULMS Metathesaurus to deal, active area of research, Word Sense Disambiguation, based on Information Retrieval, duplicated and plagiarized passages, Approach Utilizing Query Expansion, increasingly active area, multiple Concept Unique Identifiers, Plagiarism Detection, identification of duplicated
community Stackexchange, Latent Topic Representations, Spaces, Spaces in Social Information, retrieval tasks, Vector Space Model, Latent, generated with Latent Dirichlet, evaluate the suitability, Topic, explicit semantic spaces, Social Information Retrieval
document, foundation and basis, Compared with the traditional, implement principles of openness, full of Microsoft technology, platform of document retrieval, basis and implement, document retrieval course Compared, research on network teaching, network, network teaching platform, Compared
posed numerous, Enhancing Information Retrieval Systems, myriad of studies, Enhancing, studies in the realm, Information, exponentially increasing of resources, Retrieval, improving the relevance quality, resources generated and stored, numerous challenges inside information, Challenges The exponentially increasing
exchange, comprises of three levels, enhanced and healthcare cost, significantly enhanced, quality of care, providers, Hybrid central, patient medical records, federated model The quality, solution, Healthcare information exchange, control and manage
biomedical information retrieval, biologists to manually capture, Research articles in biomedicine, rank, retrieval, challenge to apply, Learning, enhance the effectiveness, information retrieval Research articles, domain have increased exponentially, Research, tackle the problem
art Text, techniques used in Software, Processing, Natural Language Processing techniques, briefing presents the state, Engineering This technical briefing, discusses their applications, Language, applications in the field, Text Retrieval and Natural, Natural, Processing in Software Engineering
features within the framework, Information Technologies Subject Area, issues of data science, data integration and qualitative, Cognitive, Ontological Analysis of Cognitive, Analysis of Cognitive Information, important problem of automated, concept in the intellectual, qualitative information retrieval, automated ontology building, Area The most important
dynamic time warping, time warping using hierarchical, search mechanism to find, spoken term detection, increase in multi-media data, providing a search mechanism, find spoken queries, Internet, audio, large audio files, Information Retrieval-based dynamic time, hierarchical K-Means
coded data, download cost, storage, Private, coded storage Private information, retrieval for coded storage, case where the size, paper, considered, transmitting retrieval queries, data record, Private information retrieval
Query, Automatic Query Expansion, utilise the Arabic, recall in comparison, Arabic documents may produce, Semantic, Pseudo Relevance Feedback technique, Corpus-based Expansion The adaptation, worst rankings or irrelevant, technique and Semantic Similarity, approach for Arabic documents, Semantic Similarity for Corpus-based
greatly reduces the chances, intractability assumption based data, chances of providing perfect, privacy on a single, Preserving Single Database Private, concepts that greatly reduces, curious server, data privacy, Perfect, Database Private Information Retrieval, Non-trivial Communication, existing user privacy preserving
popularity of mobile devices, years due, Cross-modal retrieval, Deep, attention in recent years, devices and social media, quantity of information data, Learning Based Methods, data, large-scale multi-modal data, Recent Deep Learning Based, drawn much attention
Domain, Based, Computer Crime Evidence Based, Crime, Retrieval, Based on Domain Ontology, correlation and similarity, Model for Computer Crime, Domain Ontology To deal, Evidence Based on Domain, thesis proposes aninformation retrieval, characteristics of current information
Automatic, Automatic Assessment of Narrative, Information Retrieval Techniques, REST API, Retrieval, Answers Using Information Retrieval, Lucene, Narrative Answers, system for automatic assessment, Java application, designed to help professors, Techniques In this paper
Link, web mining techniques, graph theoretic approach, Link network analysis, widely researched discipline, paper investigates web mining, network science paradigm, information retrieval methods, science, quality improvement, analysis system, science paradigm to develop
model, studies the process, files of interest, network of heterogeneous devices, information retrieval, large, model for improving information, article studies, network, autonomous fashion, Magenta, tools that enable searching
