named English, books named English, Century English, English learning, Grammar, Century English grammar, books named, Grammar Books, English, Gutenberg Project, English words, English Grammar Books
providing appropriate resources, Information Retrieval, Applying Natural, Medicine Context, emergency context, Retrieval and Machine, Medical Coordination, Applying Natural Language, Natural Language Processing, Emergency Medicine, Emergency Medicine Context, Natural Language
system develop rapidly, Internet technology, people to listen, progress of Internet, music recommendation system, recommendation system develop, Music Information Big, Big Data, Information Big Data, Key Technologies, develop rapidly, Big Data Storage
data, Enhancing information retrieval, information, Semantic Web, Big Data, Semantic Web technologies, Web Data, Web, Semantic, Semantic Web enables, information retrieval, Enhancing information
web service, robust geospatial web, Building robust geospatial, variety of consumers, agricultural, web, Geospatial web service, wide variety, geospatial web, agricultural information, agricultural information extraction, service
Retrieval Method Based, graph retrieval techniques, retrieval techniques ignore, achieve targeted retrieval, AGCN-WGAN Traditional knowledge, Data Retrieval Method, ignore node relationship, Traditional knowledge graph, knowledge graph retrieval, Generative Adversarial Networks, techniques ignore node, Graph Convolutional Networks
feasibility and effectiveness, machine learning literature, Latent Dirichlet Allocation, Allocation, model Latent Dirichlet, learning to rank, effectiveness in information, learning, rank, feature, rank model Latent, heavily cited
Retrieval Systems, Retrieval Systems Information, Develop High-Performance, Advanced Edge, Exploring Advanced Edge, Information Retrieval Systems, Advanced Edge Techniques, Systems Information retrieval, modern-day generation, High-Performance Information Retrieval, related technologies, Develop High-Performance Information
Symmetric Private Information, Private Information Retrieval, Eavesdropping Patterns, Symmetric Private, arbitrary collusion patterns, original SPIR problem, Arbitrary Collusion, SPIR, Collusion and Eavesdropping, Private Information, SPIR problem, study the symmetric
Sina microblog, limited support, current popular Sina, popular Sina microblog, Retrieval, Luxury Microblogs, support for text, Cross-Modal Luxury Microblogs, Sina Weibo retrieval, Sina microblog application, Luxury Microblogs Retrieval, popular Sina
adopting Semantic Web, knowledge organization systems, Semantic Web, Cultural Heritage, Cultural Heritage Information, Semantic Web technologies, Trends The importance, information retrieval techniques, Heritage Information Retrieval, human history, Information Retrieval, Future Trends
Academia Sinica participating, worth paying attentions, web-based ARS, retrieval system, Modern History, archive retrieval system, Academia Sinica, web-based historical ARS, Academia Sinica Web-based, Sinica Web-based archive, web-based archive retrieval, Modern History Project
based on similarity, engines have encountered, automatic stop-word list, stop-word list generator, retrieval systems based, search engines, large amount, POS information, similarity function, obliged to store, store a large, Persian information retrieval
Distribution System, Comparative Study Non-technical, Power Grid, challenge for Distribution, Grid Using Information, Distribution System Operators, Information Retrieval Approaches, Non-Technical Loss, Non-Technical Loss Detection, System Operators, Information Retrieval, persistent challenge
Information, Automatic Query, Query Expansion Current, Automatic Query Expansion, based Improvising Search, engines like Google, Yahoo give, Expansion Current search, Retrieval based Improvising, Current search, Query, Current search engines
consume system resources, greatly consume system, distributed text retrieval, Traditional text retrieval, retrieval techniques greatly, design and implementation, retrieval system Traditional, Traditional text, techniques greatly consume, system Traditional text, text retrieval techniques, intelligent distributed text
semantic network, information, made web search, Wide Web, Analytical study, intelligent information retrieval, intelligent information, World Wide Web, time consuming, search a time, information retrieval, complex process
software traceability link, techniques to software, Retrieval, Link, IR-Based Traceability, Direction, Traceability Link Recovery, Traceability Link, Recovery, Retrieval Direction, trace links, Link Recovery
Systems Development Based, Development Based, Based on Big, Big Data, Support Vector Machin, Linear Support Vector, Logistic Regression Natural, Naive Bayer Classifier, Natural Language Processing, Big Data Analysis, Question-Answering Systems Development, Question-Answering Systems
Information, Hybrid Resume Information, leading towards automation, efficient Information Retrieval, Retrieval, modern era, documents, System, Information Retrieval System, Retrieval System, Information Retrieval methodology, efficient Information
Information, content-based retrieval, continues increasing, Information Retrieval, Retrieval, Non-Negative Matrix Factorization, mass information, Matrix Factorization Method, Non-Negative Matrix, Retrieval Model, mass information continues, information continues increasing
retrieval Term proximity, information retrieval Term, term proximity, query terms, Exploring term, Arabic information retrieval, document retrieval performance, Exploring term proximity, matched query terms, Arabic information, query terms occur, term proximity statistic
enhance literature-based discovery, contribution to enhance, presents our contribution, retrieval, flexible Information Retrieval, Retrieval model, biomedical literature, Information retrieval, Information retrieval techniques, knowledge discovery, retrieval techniques, paper presents
Information, Multimedia Big Data, basic component, Big Data, Retrieval, information management process, Semantic Multimedia Big, User-centered Information Retrieval, information retrieval applications, Big, Semantic, Information Retrieval
diverse data formats, activities entail, vast array, array of diverse, scanned PDFs, Handling Variability, work orders, Intelligent Information Retrieval, Document Structure, Information Retrieval, entail dealing, activities entail dealing
Medical Information Retrieval, Modified Medical, Physicians often seek, Modified Medical Information, seek scientific evidence, clinical trials, Retrieval System Physicians, System Physicians, making clinical decisions, Information Retrieval System, Retrieval System, published medical articles
Information, based CLIR, Cross Language Information, based Cross, based Cross Language, Cross, Cross Language, English-Hindi based CLIR, Retrieval system Cross, CLIR, Language Information Retrieval, Information Retrieval
retrieval models integrating, user profile Personalized, profile Personalized Information, information, PIR models, Personalized information retrieval, retrieval, PIR, Personalized, retrieval models, backgrounds may express, information retrieval
Language Independent Stemmer, Proposed Language Independent, Retrieval Systems, processing techniques extensively, Dynamic Programming, Machine Translation, Information Retrieval Systems, Independent Stemmer, Proposed Language, Systems Using Dynamic, Translation for reducing, Dynamic Programming Stemming
multi-field knowledge graph, systems based, current research status, Based on Knowledge, retrieval systems based, Retrieval, well-known semantic retrieval, Knowledge Graph, Retrieval Based, Based, Semantic, Semantic Retrieval Based
Geospatial Data Traditional, user-oriented geospatial data, Data Traditional geospatial, data retrieval, Retrieval, Geospatial, Data, Geospatial Data, data-driven and system-oriented, Data Traditional, Traditional geospatial data, User-Oriented Approach
Image Retrieval Technology, retrieval algorithm based, algorithm based, Retrieval, Algorithm, Image Retrieval, Algorithm Aiming, image retrieval algorithm, Genetic Algorithm Aiming, Implementation of Handicraft, Handicraft Based, traditional image retrieval
Requirements, Retrieval Techniques, Vector Space Model, Latent Semantic Index, Techniques, Traceability, software engineering activities, traceability recovery, requirements traceability recovery, Information Retrieval Techniques, Information Retrieval, change impact analysis
Information Capture, Information, digital world, today fast-paced, competitive in today, Capture and Retrieval, Systems Effective information, today fast-paced digital, fast-paced digital world, Machine Learning-Based Systems, Effective Information Capture, remain competitive
Information, DIR, Information Retrieval, Build, Retrieval, Distributed Information Retrieval, test, Testbed, Build Testbed, Ontologies, Ontologies to Build, Distributed Information
number of documents, larger engineering setting, Information Retrieval, multi-disciplinary product design, search, KBE, information access, larger engineering, engineering, engineering settings, huge number, access in multi-disciplinary
Information, Information Desk, Desk, rural Indian, Enabled Information Desk, Voice Enabled, Farmer to E-Farmer, rural Indian farmers, Voice Enabled Information, empower the rural, E-Farmer Voice enabled, Indian farmers
Words Weight Augmentation, TFIDF weighting, Term Frequency Inverse, Term Frequency, words, Weight, TFIDF weighting techniques, Improved TFIDF, Inverse Document Frequency, Frequency Inverse Document, Improved TFIDF weighting, information retrieval
organization specifically relevant, Agent Software Engineering, custom intelligent agents, Multi Agent Software, context aware systems, Software Engineering Methodology, semantic information retrieval, usage of Organizational, discusses Genomic Information, Organizational Multi Agent, information retrieval, designing custom intelligent
question answering, struggle to navigate, system Search, return ranked documents, question answering systems, Search engines, answering system Search, QAS, return ranked, ranked documents, system Search engines, engines can return
Digital Resource Objects, Document Expansion, Resource Objects, Resource Objects Digital, Objects Digital, Digital, Resource, suffer from shortage, Objects, Objects Digital Resource, Digital Resource, proposed EDE method
Malayalam information, Malayalam information retrieval, Malayalam, million people, effective Malayalam, language in India, India, retrieval system, retrieve Malayalam documents, effective Malayalam information, information retrieval system, query expansion Malayalam
Information, relationships Information Technology, retrieval, Information Access Environment, Telugu, Technology brought, Information retrieval, Digital Information Access, Telugu language, Information Access, Access Environment, Information Technology brought
Information Retrieval, Automated fault, reduce software maintenance, development evolution, fault localization aims, Boosting Fault, Retrieval Automated fault, software maintenance workload, Information Retrieval Automated, software development evolution, Combining Semantic Information, Boosting Fault Localization
geographic information retrieval, geographic information, traditional information retrieval, spatial relations, retrieve geographical information, commonly web, commonly web documents, retrieve geographical, information retrieval Geographic, spatial, developed to retrieve, information retrieval
smart stemming systems, Text Stemming Methodologies, unstructured digital data, creates significant demand, Analytical Analysis, data creates significant, Language Processing Systems, Natural Language Processing, textual unstructured digital, digital data creates, Information Retrieval, Natural Language
existing information retrieval, Vector Space Model, Space Model, Synonym Insensitive Searching, Weighted-Vector Space Model, Synonym Weighted-Vector Space, Document Retrieval, Retrieval Document retrieval, Synonym Insensitive, Inverse Document Frequency, unique capability, Document Retrieval Document
protocols guarantee, losslessly retrieve, Retrieval Private information, privately and losslessly, retrieval protocols, Private information retrieval, Private information, user can privately, Single-Server Information Retrieval, retrieval protocols guarantee, Retrieval Private, Information Retrieval Private
Research Based, Painting Semantic Retrieval, semantic retrieve based, information retrieve technology, Retrieval Algorithm, Algorithm Research Based, Ontology Semantic retrieve, retrieve technology occupies, technology occupies extremely, Semantic Retrieval Algorithm, Retrieval Algorithm Research, intelligent information retrieve
information, retrieval system based, system based ontology, document ontology, web increases, documents, web, ontology, Nowadays, based ontology Nowadays, web increases significantly, information retrieval
information, recent years, Semantic information retrieval, Semantic information, topic of great, Construction of navigation, retrieve semantically, interest in recent, retrieve semantically information, information retrieval, great interest, medical resources Semantic
attracted significant attention, recent years, VANET, Retrieval Services Intelligent, Intelligent transportation system, Information Retrieval Services, Two-Tier VANET, Adaptive Lookup Protocol, Lookup, Information Retrieval, Services Intelligent, Services Intelligent transportation
Phrases Using Multiple, Retrieval, user contributed questions, Key, Question Retrieval, community user contributed, Multiple Languages, Key Phrases, queries, key concepts, Capturing the Semantics, web search
Enhancing sports image, big challenge, sports image search, multimedia contents represents, ontology Extracting knowledge, recently a big, multi-modality ontology, contents represents, Extracting knowledge, contents represents recently, represents recently, multi-modality ontology Extracting
similarities and differences, Retrieval Systems, Systems this paper, mining, Information Retrieval Systems, Intelligent Information, core data mining, web, Intelligent Information Retrieval, web mining, Systems, core data
information lifecycle management, enterprise corpora, Enterprise, Retrieval and Mining, Mining Enterprise information, lifecycle management, Technology Creation, Enterprise information management, enterprise unstructured information, information management, Corpora, lack of availability
valuation assigns, Web data retrieval, theory of evidence, degrees of belief, incorporating uncertainty, data tables, Dempster-Shafer theory, tables the degrees, Web data, Web, data, Information Retrieval Logic
software maintenance, Information, Concern Localization, find code units, code units, Retrieval, etc., Linux Kernel, Empirical Study, software maintenance activities, Linux kernel dataset, Information Retrieval
Teknologi MARA, Improving access, digital information resources, Universiti Teknologi MARA, learning and academic, past few years, academic staff, Institute of Leadership, academic leadership, teaching and learning, Evaluation and Development, Malaysia which conducts
Private Information Retrieval, Information, Single-Server Pliable Private, Pliable Private, Retrieval, Private, side information messages, Pliable, Side Information, Retrieval With Side, Pliable Private Information, single server case
deep learning-based distributed, low retrieval, low retrieval efficiency, extended words, overcome the problem, Query Expansion, Expansion, order to overcome, Deep Learning, extended, problem of low, Query
Fast Content-Based, document analysis, Content-Based Image, Convolutional Neural Network, required for document, Content-Based Image Retrieval, Medical image, Medical image analysis, Image Retrieval, Visual Features, scalable Content-Based Image, image analysis
language modeling approach, retrieval Query expansion, query, study on query, empirical study, modeling approach, ion in information, retrieval Query, query expansion, documentexpans ion, information retrieval Query, proved effective
Statistical DSM, Dictionary-Based String Matching, posting table, Matching Problem, Statistical Dictionary-Based String, Statistical DSM problem, String Matching Problem, DSM problem, classic DSM problem, Information Retrieval, source sequence, String Matching
advances in handheld, Retrieving Malay Haditli, retrieve information anytime, Haditli text, application Recent rapid, Malay Haditli text, mobile application Recent, Recent rapid advances, Retrieving Malay, handheld devices make, Recent rapid, rapid advances
provide vast, Feedback Based Accurate, provide vast amounts, Intelligent Retrieval, Capturing User, Relevant Feedback Based, social systems, rapid growth, Capturing User Intention, Personalized Websites, intelligent retrieval framework, User Intention
language processing technology, Optimizing Method, Natural, Language Processing Natural, artificial intelligence technology, Natural Language Processing, Question Answering System, processing technology, functions of computers, Language, Processing Natural language, Natural Language
Information, Vector Space Model, Vector Space, Space Model, Vector, Retrieval, Search, Search Engine, current pandemic, Retrieval System, Document Search, Information Retrieval
identification ability, information, product information, information technology based, agricultural, classification of agricultural, ability of agricultural, agricultural product, effectively the identification, agricultural product information, product, product information technology
Hamming space, introduce t-revealing codes, list decoding, Improved codes, binary Hamming space, set of codewords, Levenshtein channel, t-revealing codes, Hamming, binary Hamming, information retrieval, codes
cloud storage Cloud, Concept based document, effective and efficient, tools and applications, based document, cloud, management in cloud, Cloud computing, storage Cloud computing, Document Retrieval Algorithm, web-based tools, based document management
Internet Information Retrieval, Internet Information, study describes, Retrieval, master-slave distributed crawler, distributed crawler applied, crawler applied, Retrieval This study, Implementation and validation, Information Retrieval, describes a preliminary, preliminary research
Health Information, Thai Herbs, Cross-Language Information Retrieval, called Thai herb, Modern Medicine, Thai traditional, Thai herb informative, Medicine Health Information, Thai, Thai traditional medicine, Modern Medicine Health, Health Information Retrieval
Petroleum Information Retrieval, Petroleum Information, Web Scraping, System Based, Retrieval System Based, big information explosion, Framework of Petroleum, Information Retrieval System, Scraping with Python, customized retrieval system, source framework SCRAPY, Based on Web
geographic information, information, information stored, framework, web pages, web, geographic context, stored in web, geographic, retrieving and analyzing, pages, analyzing geographic information
rich internal, internal, structure, technique, concepts, word, based, rich internal structure, ontological concepts Ontology, concepts Ontology, Ontology, information retrieval
data, uncertainty representations, information, missing, missing data, information retrieval application, representation for retrieving, retrieval, uncertainty, retrieving items, assess the impact, information retrieval
Text Similarity, Relevance Criteria, improves the search, library management systems, System Based, Retrieval System Based, search quality, management systems, Extensible Relevance Criteria, Information Retrieval System, paper presents ARGOsearch, paper presents
paper proposes, improving ranking results, Audio Retrieval Based, Retrieval, Gaussian Mixture Model, audio information, audio information retrieval, information retrieval model, Ranking, Manifold Ranking, relevance feedback algorithm, retrieval model based
Future Challenges, information processing tasks, recent studies exploit, processing tasks, recent studies, Music Information Processing, Music Information, capture diverse aspects, Music Information Retrieval, Music, Multimodal Music Information, Survey and Future
Existing Hadith Retrieval, Retrieval, Hadith Retrieval, Indonesian Hadith, Hadith, information of Hadits, Islamic religion, Hadith Retrieval System, Indonesian Hadith Retrieval, Retrieval System, growth of Islamic, religion in Indonesia
rank reliability estimation, Retrieval Systems, Systems Rankings Information, inherently poses biasness, Rankings Information retrieval, retrieval evaluation based, pooling method inherently, method inherently poses, Information retrieval, Information retrieval evaluation, retrieval system effectiveness, Retrieval Systems Rankings
Information, Information seeking, seeking behaviour, active information seekers, model Graduate students, seeking, measurement model, model, information sources, seeking behaviour factors, Research Information Seeking, Information seeking behaviour
Information, language for Information, NLP Tools, Language Resources, Retrieval, Comparative Experimental Study, Arabic NLP tools, Semantic Information, Semantic Information Retrieval, Natural Language Processing, Experimental Study, Information Retrieval
Technology Research, present many commercial, XML full-text information, XML Document, difficult for general, Keyword Retrieval Technology, SLCA retrieval algorithm, XML retrieval standard, Retrieval Technology Research, general user, commercial database, Xpath and XQuery
Data Set, Data Set Generation, methodologies of advanced, enlightening a unique, Holy Quran, modern methodologies, unique technique influenced, Information Retrieval System, advanced learning implemented, unique technique, aims to enlightening, influenced by modern
Public Search Catalog, Search Catalog, Big Data, library automation system, Online Public Search, Document Intelligent Information, Public Search, Intelligent Information Systems, Computer Big Data, Based on Computer, Development and Research, Library Based
regions Nowadays, multimedia technologies, object identification, relative locations, matching regions Nowadays, locations and matching, regions Nowadays information, Efficient object identification, Efficient object, interest using CBIR, CBIR based, Nowadays information retrieval
genetic algorithm, Android mobile environment, Google Android, achieve good image, Android mobile, euclidean distance method, image retrieval, approach for effective, Google Android mobile, Android, Android mobile operating, present an approach
Indexing Nowadays, Bangla Document Ranking, Document Ranking, Information Retrieval System, plays a significant, Bangla language, World Wide Web, Semantic Indexing Nowadays, Bangla, Latent Semantic Indexing, significant role, role to strengthen
Multiple Retrieval, Combining multiple, Retrieval Systems, Combining multiple retrieval, Cognitive Diversity Combining, Retrieval, Multiple, Diversity Combining multiple, Combinatorial Fusion Analysis, Multiple Retrieval Systems, Diversity Combining, Systems
Information, present related information, Computing Model Information, Retrieval in Computing, Retrieval, query, user, Computing Model, Computing, Information Retrieval, large collection, Model
information, Vector Space Model, relevant information, search engine Information, retrieval, large collection, World Wide Web, models, Comparative study, information retrieval accuracy, information retrieval, retrieval model based
developed countries, Information, literature search, Problems and solutions, Information capacity, Information capacity training, capacity training, paper summarizes, college students, training of college, summarizes the experience, training of European
Information, Multi-Message Individually-Private Information, Single-Server Multi-Message Individually-Private, Individually-Private Information Retrieval, problem, Single-Server Multi-Message, multi-user variant, Retrieval with Side, private information retrieval, information retrieval problem, Side Information, agent
spatial features, full considerations, traditional full-text retrieval, structure clusters Focusing, clusters Focusing, hierarchical structure clusters, full-text retrieval technology, formula retrieval method, traditional full-text, formulae, realized with traditional, retrieval method based
queries based Temporal, Temporal, Retrieval, Temporal Information Retrieval, Wide Web, temporal taggers Temporal, temporal taggers, Implicit queries based, World Wide Web, actively time-dependent, based Temporal Information, Information Retrieval due
Information, retrieval systems, Retrieval, information retrieval systems, DROPT technique, made of ad-hoc, DROPT, Information Retrieval optimization, queries made, present search queries, Retrieval optimization, search queries made
XML, similarity matching, XML element, efficient similarity, clustering XML, recent year, efficient similarity matching, representation and exchange, clustering XML element, Web, XML similarity, information representation
information, efficiency of submission, powerful new tool, submission information, tool for perception, disabled persons, multimedia information content, Digital libraries, disabled, information content, libraries for disabled, improve the efficiency
Information, examining two pieces, Retrieval Text, Information Retrieval Text, Attention, Hierarchical Attention Networks, Deep Hierarchical Attention, Text Matching, Matching, Retrieval Text Matching, Text, Deep Hierarchical
ruled the Indian, left behind enormous, intellectually enriched research, Indian sub-continent, Based Information Retrieval, dynasties ruled, Urdu Document Images, enormous and rich, Information Retrieval System, rich cultural heritage, included intellectually enriched, sub-continent and left
heterogeneous data sources, era of ubiquitous, National Cultural Resources, Semantic Segmentation Display, National Cultural, data sources, relevantinformation from scattered, abundant data, Visual Semantic Segmentation, paramount importance, Cultural Resources, Segmentation Display
semantic relations, information extraction, vietnamese, Extracting semantic relations, play vital, vietnamese legislative documents, Support Vector Machine, Vietnamese documents, vital roles, play vital roles, documents play vital, information retrieval
main function, Term Frequency Inverse, analysis The main, document, accumulative analysis, Inverse Document Frequency, comparative accumulative analysis, morphological information retrieval, Frequency Inverse Document, minimum subset, obtain efficient, information retrieval
application of machine, machine learning approaches, Learning, Recent years, retrieval In Recent, system evolve, survey on Learning, LETOR, Rank, Learning to Rank, information retrieval, machine learning
retrieve precise information, information seekers, Future Perspectives, Systems Question, Question Answering, Arabic, Arabic QASs, Systems Question Answering, Answering Systems, Systems, Answering Systems Question, Question Answering Systems
Preserve the Integrity, Internet, Techniques to Preserve, Quran The ability, Versions, ability to control, Quran, Nobel Quran, Electronic Versions, control data, Nobel, span the Internet
Information, Mongolian, Retrieval, System Based, Mongolian Information Retrieval, Retrieval System Based, Mongolian Information, Based, Solr, System, Information Retrieval System, Based on Solr
Information, amounts of textual, Resource, Low, Domain Knowledge Base, Low Resource, Context-Aware Information Retrieval, Closed Domain Knowledge, vast amounts, Closed Domain, large-scale enterprises, BERT model
Arabic Document Indexing, Arabic language, challenging process due, Improved Text Retrieval, Improved Text, Arabic Document, process due, Retrieval Arabic document, complex morphological nature, document indexing method, Text Retrieval Arabic, Text Retrieval
Information Integration Graph, intelligent terminals, intelligent collection, popularization of intelligent, Semantic Information Integration, multi-source heterogeneous data, growing rapidly, Semantic Information, Integration Graph, intelligent collection technology, Multi-Granularity Semantic Information, development of intelligent
devices and social, rapid development, Cross-media Retrieval Nowadays, work and life, drives the advance, social media, Internet technology drives, big data era, smart devices, Design and Research, development of Internet, growing explosively
websites have emerged, search, BIRITS, Music Information, websites, textual interface, Internet many search, steady growth, Music Information Retrieval, Information Retrieval System, Retrieval System, search websites
Automatic Image Annotation, support digital humanities, Facilitate Digital Humanities, important data type, Based on Automatic, System Based, Image Retrieval System, Retrieval System Based, Facilitate Digital, Image, Digital Humanities, Digital Humanities Research
providing correct information, information, Enhancement Framework, present information age, providing correct, Semantic Query, Framework of Semantic, Mapped Ontology, Semantic Query Expansion, challenging task, Information Retrieval, Ontology
Retrieval Technique, focuses on gathering, Information, Retrieval, Improved Sentence Embeddings, study that focuses, Information Retrieval Technique, Query Reformulation Information, Improved Sentence, field of study, Information Retrieval, Reformulation Information retrieval
re-ranking based, retrieval models make, retrieval based, re-ranking, capture document relevance, Document re-ranking based, topic-comment structure, based, based on topic-comment, structure of texts, information retrieval based, paper introduces
Data Retrieval Efficiency, Effects of Applying, Big Data Retrieval, explores how synthetic, Big Data, Enhance Big, diffusion of industries, Enhance Big Data, studies paper explores, huge databases, synthetic Intelligence, Examining the Effects
Professional Subject Area, social and technical, Future Engineers, Retrieval Process Advances, Area of Future, Information Retrieval Process, spheres have revealed, Advances in information, Process Advances, Semantic Deformation, technical spheres, Digital Economy
Content Based Image, Based Image Retrieval, Image Feature Extraction, Extraction Methods, Content Based, Enhancing Content Based, Feature Extraction Methods, Observing Image Feature, Image, Based Image, Observing Image, image retrieval methods
Digital Divide, Integrated Strategy, systematically analyze, aims to systematically, integrating online, research aims, Solution Based, Internet access, online and offline, Information System, elderly-friendly information system, Bridge the Digital
personalized information recommendation, increasingly innumerable network, personalized recommendation technology, information service system, intelligent information retrievals, efficient competition tool, innumerable network information, information explosion era, user modeling techniques, personalized user modeling, network information makes, personalized information service
Information, model for substitution, substitution errors, Retrieval, channel model, noisy channels, Levenshtein, Levenshtein channel model, Retrieval The Levenshtein, Channel, List Size, Information Retrieval
Information, web mining techniques, Retrieval, mining techniques Information, web, significant area, mining, procure their needed, techniques Information Retrieval, web mining, Information Retrieval, needed information
Cloud Computing, Technology Based, Big Data, information increase rapidly, keywords and retrieve, Retrieval Technology Based, web and keywords, Cloud Computing Oriented, Computing Oriented Retrieval, Oriented Retrieval Technology, big data information, Oriented Retrieval
information sources' update, Large-Scale Networks, Efficient Information Source, Method Considering User, paper proposes, Information Source, information monitoring method, Information Source Monitoring, Source Monitoring Method, User Utility, user utility decrease, sources' update intervals
Information Retrieval Scheme, Dissemination and Information, reached its pinnacle, increasing scarcity, energy efficient solutions, Energy, Retrieval Scheme, Efficient Data, Data Dissemination, scarcity of resources, Energy Efficient Data, Efficient Data Dissemination
promising approach, supervising the medication, RFID-based health information, health information system, medication of elderly, efficient RFID-based health, agent based algorithm, emergency situations, RFID-based health, automatic diagnosis, hybrid multi-agent system, Hybrid agent based
Information, presents the analytical, visualization, Obtained maps, retrieval, analytical and retrieval, retrieval potential, ACM Digital, maps, article presents, Information retrieval, ACM Digital Library
visual information, language information retrieval, image, target language, information, cross language information, translation, cross language, field of cross, fundamental problem, Query translation, Query
mathematical tool, vagueness and uncertainty, rough set theory, theory, set theory, Applying rough set, deals with vagueness, rough set, information retrieval, rough, set, tool that deals
retrieve images, Edge Histogram, Edge Histogram Descriptor, Retrieval, colour pixel features, quantized colour code, texture features, image retrieval scheme, Image Retrieval, HSV colour space, colour code, Image
immersive Virtual Environments, Virtual, Virtual Reality Virtual, rest and play, Improve Information Retrieval, Virtual Reality, potential to transform, Reality, Virtual Environments, Retrieval in Virtual, Reality Virtual, Reality Virtual Reality
medical image, image, National Library, Library of Medicine, retrieval, medical image retrieval, CBIR, content-based medical image, image retrieval, Yale Image Finder, information retrieval, paper presents
information retrieval system, current search, Image Vision Technology, Image Vision, Intelligent Retrieval System, system model based, personalized information retrieval, article introduces, introduces the shortcomings, retrieval system model, current search engine, search engine
Question-Answering Task, Question-Answering Task Open-domain, PhoBERT to Compute, natural language processing, Compute Text Similarity, Task Open-domain Question, Utilize Pre-Trained PhoBERT, Documents for Question-Answering, Rerank Documents, crucial task, Open-domain Question Answering, Task Open-domain
Mobile Robot, Mobile Robot Vision, spherical compound eye, Robot target tracking, important research topic, Mobile Robot target, Robot Vision, Robot Navigation, compound eye Three-dimensional, Three-dimensional scene information, Robot Vision based, eye Three-dimensional scene
Performance measurement, question answering approaches, question answering, answers to user, answering approaches, natural language processing, user questions, delivers concise information, paper delivers, concise information, natural language, paper delivers concise
Education Teachers' Information, Ability Training Based, Education Teachers', Gansu Province, Training Based, technology competence standards, Information Technology Ability, Vocational Education Teachers', Teachers' Information Technology, Teachers' Information, education teacher training, Vocational Education
introducing cloud model, Chinese information retrieval, NII Test Collection, Chinese information, method based, cloud model, traditional Chinese information, improves the accuracy, result set, re-ranking method based, recall is preserved, paper presents
relevance feedback, increasingly regarded, support strategic decision, instrument to support, web-based information retrieval, strategic decision making, support strategic, horizon scanning, Optimising web-based, decision making, Optimising web-based information, information retrieval methods
significantly by large, produced by high-performance, Lossy Compression, Improving Lossy, coming into prominence, workflow is hampered, Scientific Data Lossy, hampered significantly, Data, high-performance computing, Compression, Improving Lossy Compression
Information Style Applications, Information Style, Discovery and Retrieval, Style Applications, realizes user-centric, Foster User-Centric Information, Personal Information Style, User-Centric Information Discovery, Foster User-Centric, Information Discovery, Discovery, Application Architecture
SMT Domain, tool for addressing, imperative problem, statistical machine translation, powerful tool, improving translation quality, Build Synthetic Data, present information retrieval, present information, addressing an imperative, Retrieval to Build, SMT Domain Adaptation
terms offered considerable, systems compared, Arabic Information Retrieval, Arabic document indexing, offered considerable performance, model for Arabic, surface words, index terms offered, performance to Arabic, Arabic Information, Arabic document, stems or roots
Social Media, saved documents, Research through Social, knowledge brokers function, intrinsic enterprise knowledge, searches based, Information searches based, Social Media Information, Media Information searches, Enterprise Research, Knowledge Brokers, Identifying Knowledge Brokers
Mutual Information Hashing, Quadratic Spherical Mutual, Leveraging Quadratic, Mutual Information, Leveraging Quadratic Spherical, Spherical Mutual Information, large image databases, Spherical Mutual, Fast Image, querying large image, Fast Image Retrieval, information retrieval
Progression Markers Initiative, researches in Computer, Information Retrieval, recent years, Parkinson Progression Markers, fields has made, Magnetic Resonance Imaging, stored in databases, Biomedical Data, Information Retrieval Techniques, Computer Science, integration of researches
Relation Aware Graph, information retrieval greatly, retrieval greatly depends, Graph Neural Ranking, Biomedical Information Retrieval, Neural Ranking model, Neural Ranking, Graph Neural, Entity Relation Aware, Biomedical Information, Aware Graph Neural, Relation Aware
Data Retrieval Model, effective information retrieval, information retrieval models, Redundant Data Retrieval, cross-modal hashing methods, Data Retrieval, traditional unsupervised cross-modal, unsupervised cross-modal hashing, Retrieval Model based, Parallel Batch Algorithm, data spatial structure, original data spatial
enhances information retrieval, Expansion Concept based, Concept, concept based information, Query Expansion, Based, Expansion, based search, Concept based search, semantic relationships, Query, Concept Based
Stemming has shown, Arabic language, natural language processing, Information Retrieval Stemming, Comparative Analysis, Science Research Institute, document classification, Information Science Research, Microblog Information Retrieval, machine translation, Information Retrieval, Retrieval Stemming
academic institutions, content based, interesting research areas, Shodhani Nowadays, content based image, based image retrieval, researchers of technology-giants, based image, areas among researchers, based, research areas, Inchoative integration
Documents, learning approach Aim, score calculation, retrieve the list, document similarity, Aim, based, documents based, similarity, ranked documents based, similarity scores, approach Aim
creating automated expert, Information, problem of creating, project team formation, safety-oriented systems, field of project, scientific and practical, efficiency of formation, automated expert information, information support systems, practical problem, Information technologies
people to obtain, obtain information, text retrieval based, text retrieval, retrieval, huge text database, huge text, DeepCT and Conv-KNRM, text, based on DeepCT, Conv-KNRM Text retrieval, retrieve information based
Mutation-based Fault, Mutation-based Fault Localization, Information Retrieval-based Bug, Fault Localization, Combining Information Retrieval, Based Software Fault, Mutation Analysis Based, Combining Information, Retrieval-based Bug Localization, Analysis Based Software, Software Fault Localization, Information Retrieval
Dictionary-based Turkish Lemmatizer, Turkish, Turkish text, lemmatization approaches, Dictionary-based Turkish, Bilkent University Milliyet, Turkish text collection, text collection, Turkish Lemmatizer, approaches for information, University Milliyet collection, information retrieval
