Grammar Books, English Grammar Books, named English, order to systematically, adopted to study, English learning, English Grammar, Century English, Century English grammar, named English Grammar, important materials, English, books named English, Gutenberg Project, Text Mining, books named, unstructured data, Grammar, Books, English words
legible information map, scientific papers, scientific, mitigate information, scientific research domain, information map, domain which generates, challenged the traditional, Information cartography based, scientific research, overload in current, proposed information cartography, information map embodies, Information, Information cartography, information overload, research domain, current systems, mitigate information overload, cartography based
Artificial Bee Colony, machine learning, central problem, approaches incorporating clustering, Colony Optimization Algorithm, Feature selection, Bat Algorithm, Algorithm, approaches incorporating, evolutionary approaches incorporating, Bat, Colony Optimization, Classification, data, evolutionary approaches, incorporating clustering Classification, Bee Colony Optimization, documents using evolutionary, clustering Classification, Ant Colony Optimization
improved personalized, accuracy is low, Improved DSSM, features based semantic, semantic features based, Personalized Information, personalization issues, Due to rarely, Information Retrieval, algorithm DSMN, DSSM Due, DSMN, improved personalized information, retrieval algorithm DSMN, Retrieval Algorithm Based, Improved DSSM Due, Retrieval Algorithm, Personalized Information Retrieval, Information Retrieval Algorithm, semantic matching algorithms
media have motivated, spreads on social, Memory Network Information, efforts to automate, motivated efforts, end memory network, misinformation spreads, Network Information Retrieval, social media, Information Retrieval Model, Misinformation, fake, Information Retrieval, stance detection, stance detection model, memory network model, Model, Memory Network, speed and volume, Misinformation The speed
tremendously to bridge, E-Government system, E-Government, enriched citizen requests, research topics, number of innovative, area has grown, government, online, online request, encourage citizens, Natural Language Processing, information, innovative research, grown tremendously, E-Government service, simplifying the submission, information gap, recent years, innovative research topics
users, relevance, distributed information retrieval, retrieval, interesting topics, documents, information retrieval domain, information, distributed information, retrieval Relevance, information retrieval, relative relevance, implicit, domain, distributed, retrieval domain, collaborative relevance, user, information retrieval Relevance, relevance calculation
Monolingual CLIR, Information Retrieval Cross, Bi-lingual CLIR, retrieving relevant documents, Retrieval Cross, Language Information, text documents, Information Retrieval, Information Retrieval system, Language Information Retrieval, Pre-Processing Methods, Multilingual CLIR based, Cross Language, CLIR systems, Multilingual CLIR, CLIR, Retrieval Cross Language, Text Pre-Processing Methods, Cross Language Information, Language
Coronary Arteries, Linguistic Approach, medical imaging apparatuses, image data, Retrieval In recent, medical images, Image, Image Retrieval, Modeling, Approach to Modeling, medical, Techniques of Image, basic medical imaging, Arteries in Semantic, Arteries, recent years, Modeling of Coronary, Approach, Semantic Techniques, constant part
retrieval Current, returned documents, query, information retrieval Current, Nowadays systems, ontologies as queries, intended meaning, years ago, information retrieval systems, retrieval Current expectations, nowadays information retrieval, IRS, Current expectations, information retrieval, considered common sense, considered common, user, common sense, meaning, query directly
users to apply, Precision oriented, Retrieval System, apply query, Information Retrieval, resultant documents, System Multilingual, retrieve the resultant, Multilingual, Multilingual Information Retrieval, Information, based Precision oriented, Retrieval, MLIR, Retrieval System Multilingual, System Multilingual Information, Multilingual Information, MLIR systems, Information Retrieval System, Precision oriented metrics
study investigated, Business Administration, Dubai, Business, Information Technology, Information seeking, Technology, Electronic, College of Information, Administration, University, Electronic resources, seeking behavior, University of Dubai, Information, College of Business, behavior The study, Administration and College, Information seeking behavior, College
structured documents, educational structured documents, increasingly moving, XML and ontology, web tools, concepts, Information retrieval, moving towards structuring, information requires, structured, web is increasingly, retrieval, semantic, documents, XML, web, taking into consideration, Information, structured educational documents, structured documents adapted
Proposal for Earthmovers, processing techniques, natural language, Distance Based, Earthmovers Distance Based, digital format, language processing techniques, recent rise, language processing, Earthmovers Distance, Distance Based KNN, Based KNN Classification, rise, document retrieval process, Based KNN, unstructured data, natural language processing, KNN Classification, unstructured textual data, Document Retrieval
Chinese EMR Retrieval, Improve Query Expansion, Query Reformulation, EMR Retrieval, Expansion, achieved significant, achieved significant performance, terms, Query, expansion terms, Query Expansion, Combining Query Reformulation, Improve Query, EMR, Retrieval, Reformulation and Re-ranking, electronic medical records, EMR retrieval compared, Chinese EMR, Combining Query
image, image semantic information, retrieval, image retrieval Image, image retrieval, image collection, retrieval Image retrieval, semantic information content, sparse representation, Image sparse, information, content, target image, visual content, image similarity, image content, target image collection, Image sparse representation, sparse, information content
Knowledge-intensive language, open-domain question answering, scalable retrieval system, retrieve related, Deep Hashing Retrieval, Dynamic Corpora Knowledge-intensive, Deep Hashing, call for NLP, Dynamic Corpora, Knowledge-intensive language applications, question answering, document collection, retrieve related evidence, language applications, Hashing Retrieval, Corpora Knowledge-intensive, related evidence, Retrieval of Dynamic, Corpora Knowledge-intensive language, NLP systems
wide application, question answering system, intelligent question, Question Answer Service, embedded in intelligent, devices is embedded, Medical Question Answer, Medical, question answering, Service, question answering technology, medical information retrieval, CRQA, development of artificial, intelligent question answering, rapid development, artificial intelligence, mobile Internet technology, Answer Service, Internet technology
document, common substring, common substring algorithm, longest common substring, extended longest, spoken document retrieval, substring, longest common, document retrieval problem, substring algorithm, extended longest common, retrieval problem, retrieval, algorithm, spoken document, document retrieval, spoken, LCS, longest, common
Retrieval-based Bug Localization, dynamic bug localization, Combine Information Retrieval, static bug localization, bug localization methods, Information Retrieval-based Bug, Software Bug, statement-level bug localization, Information Retrieval, Statement-Level Software Bug, Bug, Information, dynamic bug, Bug Localization Based, Localization, Software Bug Localization, localization methods, localization method based, Bug Localization, Spectrum-based Fault Localization
Health depiction, image, health, image library, construction health image, health image library, construction health, retrieval technique, technique Health depiction, universal health information, information retrieval technique, medical, Automatic construction health, patient instruction, health information customers, retrieval technique Health, health information, Automatic construction, instruction and self-care, Images
reported speech, Web-Ear, retrieval system, Turkish Web-Ear, retrieval, expressions in Turkish, speech expressions, Google search engine, information retrieval system, information, query to Google, search engine, person X told, information retrieval, search, reported speech expressions, Google search, system, Turkish, system submits
Retrieval utilities, engineering challenges, amount of engineering, utilities Software, Collaborative Information, Software developers produce, software development community, utilities Software developers, Collaborative Information Retrieval, Information Retrieval, Supporting information exchange, significant number, Information Retrieval utilities, significant amount, Collaborative Information Recommender, Retrieval utilities Software, software developers, everyday facing, challenges and resolving, produce a significant
Open Domain Question, question-answering technology, Dense Passage Retrieval, Natural Language, Tokenization Methods Recently, Performance Comparison, Methods Recently, Passage Retrieval Models, Passage Retrieval, Language Tokenization Methods, Domain Question Answering, Comparison of Passage, Korean Language Tokenization, NLP, Korean Language, Natural Language Process, Language Tokenization, Open Domain, Language, Language Process
cloud, satellite information includes, image, Satellite, cloud image, Satellite cloud, imaging technology, abundant data, sensing imaging technology, remote sensing, remote sensing imaging, development of remote, great progress, Satellite cloud image, cloud image processing, sensing imaging, cloud image information, achieved great progress, image processing, content-based satellite cloud
Visualization Approach, Approach for Information, UX-design approach, graph-informed smart UX-design, knowledge graph-informed smart, Knowledge Graph Informed, Emergency Situations, Information Retrieval, smart UX-design approach, Informed Visualization, Graph Informed, health professionals, graph-informed smart, Informed Visualization Approach, Operations Wearable, providing treatment recommendations, Graph Informed Visualization, Rescue Operations Wearable, Smart UX-design, supporting information retrieval
great research significance, Natural Language, Matching Model, tasks in NLP, retrieval in NLP, development of Natural, Model Based, downstream tasks, matching method based, insufficient interaction information, Text Matching Model, Natural Language Processing, NLP, current text matching, Text Matching, Matching Model Based, Feature Enhancement, text matching methods, Language Processing, Text
normalized, Observation, advantages in browsing, compression, method, Earth, image, retrieval Recently, normalized compression distance, image retrieval Recently, shown their advantages, compression distance, normalized compression, browsing Earth Observation, satellite image retrieval, browsing Earth, distance, Recently, Earth Observation, NCD
accurately identify, ability to accurately, query structure classification, query, structure, identify and expand, retrieval effectiveness, query structure, Expansion, expand core, core concepts, Query Expansion, intended search goal, intended search, expand core concepts, Whilst query lengths, structure classification, search goal, coupled linguistics, query length
Iterative Information, Social, social media sources, pivotal role, Approach from Social, Iterative Information Retrieval, past few years, Adding social media, Retrieval Approach, Media, Social Media, Information, gained a pivotal, social media analysis, Iterative, Crisis, Information Retrieval Approach, social media information, social media messages, Approach
Augmentation, augmentation module, Augmentation Transformer, Model for Ad-hoc, Transformer Model, Augmentation Transformer Model, contrastive learning augmentation, Semantic, learning augmentation module, Ad-hoc Retrieval, Semantic Augmentation Transformer, propose SATM, Ad-hoc, semantic similarity, Retrieval, Model, SATM, Semantic Augmentation, SATM adapts contrastive, Transformer
Context-Aware Web Information, search the Web, research focuses, Web Information, context, Data Context-Aware Web, Information Retrieval, Context-Aware Web, Information, search, users search, Data Context-Aware, return information, Retrieval, Web Information Retrieval, Web, Retrieval When users, requires additional knowledge, difficult to return, Recent research focuses
information topic, based transport protocol, delegating such responsibilities, based clustering mechanism, Based Clustering, achieves information, sharing by delegating, Information Retrieval, Sharing, paper proposes, Topic Based, Sharing The paper, achieves information retrieval, Retrieval, Named Data Networking, topic based cluster, Topic Based Clustering, Forwarding Information Base, Retrieval and Sharing, provide the service
information spaces, information retrieval scenario, Latent Dirichlet, Latent Dirichlet Allocation, Cues Social, Information Retrieval, Explicit Semantic Cues, Frequency-Inverse Document Frequency, Cues Social Information, private information, Semantic Cues Social, Information, querying the private, private information spaces, Social Information Retrieval, Explicit Semantic, Social Information, Explicit Semantic Analysis, social network, Semantic Cues
CLIR system compared, query terms, query, existing English-Hindi CLIR, performance, Cross-Language Information Retrieval, CLIR system, Language Information, English-Hindi CLIR system, English-Hindi, Information Retrieval, Language Information Retrieval, based Cross-Language Information, Information Retrieval Evaluation, Cross Language, poor performance, Retrieval, CLIR, English-Hindi CLIR, Cross Language Information
FER, Faculty premises, Croatian Ministry, Electrical, IEEE Explore, latest scientific, Faculty of Electrical, Faculty, domestic and foreign, Electrical Engineering, foreign journals, information literacy, Engineering, Ministry of Science, Computing, Engineering and Computing, students, latest scientific information, databases, Education and Sports
big data environment, scientific and technological, real estate, intelligent file management, technological innovation concept, retrieval, big data, file management system, archives management, technological innovation, innovation concept, data, real estate registration, big data retrieval, estate registration system, data retrieval algorithm, guidance of scientific, file management, intelligent archives management, estate registration
order Hawking analysis, argument about non-unitary, Hawking argument, entanglement entropy, parametric bound, black hole radiation, black hole, radiation process, Hawking analysis, leading order Hawking, non-unitary evolution, information retrieval, acknowledge the quantum, evaporating black hole, Hawking, radiation Hawking, radiation Hawking argument, quantum correlations, hole radiation, hole radiation Hawking
engine analysis, important, engine, information retrieval technology, distributed information retrieval, retrieval, search engine analysis, growth of WEB, direction, important research direction, information, distributed information, search engine, information retrieval, research direction, search, distributed, Analysis, WEB information, important research
Multilevel Inflection Handling, vocabulary mismatch issue, Natural Language, Urdu Language, Inflection Handling Stemmer, Urdu Retrieval Evaluation, Urdu Text Stemmer, Improve Search Effectiveness, Urdu text, Natural Language Processing, Handling Stemmer, Improve Search, Urdu text stemming, Language Stemming, Language Processing, Search Effectiveness, Inflection Handling, Urdu Language Stemming, Urdu, Language
HEVC based, HEVC coded videos, HEVC compressed, HEVC I-frame coded, method, based retrieval method, HEVC compressed domain, HEVC I-frame, retrieval, HEVC coded, retrieval of HEVC, HEVC, domain retrieval method, Visual information, retrieval method based, information retrieval, compressed domain, compressed domain retrieval, retrieval method, Visual information retrieval
essential research subject, Probabilistic text analytics, text analytics framework, ticket analytics system, text analytics, tickets Ticket annotation, desk tickets Ticket, essential research, annotation and search, operational analytics, technology service desk, information technology service, service desk management, service desk, successful delivery, Ticket annotation, service desk tickets, advanced ticket analytics, tickets Ticket, research subject
Deep Neural, Multimodel Deep, Deep Neural Networks, Retrieving relevant, Deep Learning Retrieving, scientific discoveries, Random Multimodel Deep, Recurrent Neural Networks, relevant medical data, called Random Multimodel, Neural Networks, Learning Retrieving relevant, Deep Learning, medical data promptly, deep learning models, Learning Retrieving, Multimodel Deep Learning, Convolutional Neural Networks, improving patient care, Retrieving relevant medical
Environment for E-governance, Optimization for Information, support multilingual text, Multilingual Environment, Optimization, multi-lingual data, Optimization and Information, Query, Information Retrieval, E-governance resources, Environment, multilingual text data, Gujarati language, Data, Multilingual, Information, Retrieval, Query Optimization, E-governance, information systems support
Inverse, Text REtrieval Conference, Information Theoretical Framework, term weighting method, Classic, Framework The IDF, term weighting, Inverse Document, Framework, Inverse Document Frequency, Document Frequency, classic treatment, Theoretical Framework, information retrieval, Information, Frequency, IDF, Alternatives to Classic, Document, DLITE
ontology management, literature resources based, document pre-processing, intelligent retrieval system, structure design, system design, academic literature resources, massive academic literature, system function, information resource, massive academic, information resource acquisition, paper expounds, academic literature, ontology construction, key technologies, management and service, key problems, expounds the key, discusses the key
studying dataset, Datasets, Retrievability, Integrated Retrieval System, investigate the retrievability, Library, Information systems, real-life Digital Library, Retrieval System, Studying Retrievability, Publications, Integrated Retrieval, Integrated, datasets and publications, System, real-life Digital, Retrieval, Digital, Digital Library, publication retrieval
Learning-based Currency Information, Retrieval for Aiding, long-established payment, long-established payment modes, Machine Learning-based Currency, Paper currency, Paper, Visually Impaired, Information Retrieval, Aiding the Visually, payment modes, Learning-based, Impaired People, Currency Information Retrieval, Visually Impaired People, People Paper currency, Learning-based Currency, Impaired People Paper, Machine Learning-based, in-demand and long-established
paper presents, Interactive Query, Voice Interactive Query, Retrieval System, Visually Impaired, Information Retrieval, Visually, Impaired People, query-based information retrieval, Visually Impaired People, Based Information Retrieval, Interactive Query Based, Assisting Visually, System for Assisting, Retrieval, Query Based Information, Voice Interactive, Assisting Visually Impaired, Interactive, Information Retrieval System
control real things, Proposal, Web avatar, virtual Web, IRaaS Architecture, Architecture, present real-time information, Survey, Web of Things, Proposal of IRaaS, real things, Things, virtual Web avatar, Data center infrastructures, Data center, real world entities, center infrastructures, Web, Cloud age, service IRaaS architecture
Module Based, query results produced, Learning to Rank, information retrieval process, internet nowadays, Intelligent Information, Intelligent Information Retrieval, made by users, retrieval modules generally, Information Retrieval, Retrieval Module Based, longer satisfy, Retrieval Module, Traditional information retrieval, Relational Database, search requests made, Information Retrieval Module, complex search requests, rapid expansion, produced by Relational
cased-based knowledge base, model for supporting, knowledge base Search, domain case-based knowledge, knowledge, case-based knowledge, information, base model, reducing ambiguity, knowledge base, search, information retrieve, knowledge model, knowledge base model, reducing, high-level information retrieval, information retrieve performance, case-based knowledge model, model, retrieval using reducing
Factorization-based clustering, image, accurately and efficiently, image acquisition process, scale-invariant image features, querying a remote, number of clusters, Factorization-based, number, Principal Component Analysis, Matrix Factorization-based, image matching, image features, mobile device, Matrix Factorization-based clustering, Non-negative Matrix Factorization, bandwidth-constrained information retrieval, efficiently querying, images captured, problem of accurately
distributed biodiversity databases, distributed Grid-Cloud resources, GARUDA Grid, biodiversity databases, paper mainly brings, prototype biodiversity information, information retrieval system, biodiversity information, information retrieval, details related, environment This paper, retrieval mechanisms, source biodiversity databases, biodiversity information retrieval, GARUDA Grid project, resources of GARUDA, information retrieval mechanisms, Database Management Systems, biodiversity databases environment, Grid-Cloud resources
industry skills, Text-mining approach, approach for verifying, skills Managing, Information Age, Industry skills frameworks, curriculum, Managing and developing, students acquire skills, Skills Framework, information, professional development, Information Systems Management, Singapore Management University, information systems, verifying alignment, skills, industry, information systems curriculum, industry skills Managing
commercial potential, commercial potential due, Document Using Machine, Information Retrieval Text, significant amounts, high commercial potential, unstructured text data, amounts of unstructured, Learning Models, Performance Evaluation, Text Document, Information Retrieval, Machine Learning, text data produced, Retrieval Text mining, high commercial, potential due, Text mining, Machine Learning Models, Retrieval Text
Pinterest, Situations Microblogging sites, sites like Weibo, events including social, emergency cases, significant resources, Twitter, Weibo, Disaster Situations, current events including, Tumbler, including social, Disaster Situations Microblogging, Situations Microblogging, resources for current, political and emergency, identified as significant, Microblogging sites, collected during Disaster, Disaster
consuming and challenging, challenging task, improved bug localization, history Locating buggy, Locating buggy files, buggy files, history Locating, large variety, version history Locating, bug localization techniques, information retrieval, automated bug localization, bug localization, task because defects, defects can deflate, Locating, version history, Locating buggy, structured information retrieval, time consuming
Query Context Object, image, Context Object retrieval, Query, query object, Visual Query Context, object captured, Object retrieval aims, query object captured, existing object retrieval, object retrieval methods, feature-based query object, Object, Object Retrieval, Retrieval, SIFT image features, query object representation, contextual object retrieval, query image, object retrieval performance
Facing tremendous, structural information extraction, semi-structured XML, extraction Facing, structural information, data more efficiently, Facing tremendous volume, network information, extraction Facing tremendous, precisely and uniformly, network information retrieval, information retrieval, hotspots in dealing, non-structured free, non-structured free text, information extraction Facing, tremendous volume, volume of semi-structured, research hotspots, algorithm SIECRF provided
Challenges in Information, Information Science, Science, major RCIS areas, annual conference, Overview of Scientific, Research Challenges, future RCIS submissions, Areas in Research, Challenges, Information, Scientific Areas, RCIS submissions successful, RCIS areas, major RCIS, RCIS community, future RCIS, Research, Overview, RCIS
Construction and Intelligent, Intermediary Service, Graph Construction, Question Answering, facilitates users, Knowledge Graph Construction, intermediary services based, Technology Intermediary, Question, increases information overload, Technology Intermediary Service, information, Internet, Intelligent Question Answering, users to obtain, Construction, Answering, rapid development, Intelligent Question, Answering on Science
multiple information retrieval, query multiple information, TREC Contextual Suggestion, retrieval, Retrieval System, merges ranked, application of Choquet, Choquet, information, merges ranked results, Choquet Integral, information retrieval, System, multiple information, Integral, query multiple, systems and merges, Fuzzy aggregation, Information Retrieval System, ranked results list
Source Word, Vector Corpus, Word, Obtain Synonyms, domain-specific terms, Synonyms, Source, similar words, Word Vector, Open Source, question answering, information services, information retrieval, Information, Obtain, Word Vector Corpus, Source Word Vector, obtain synonyms efficiently, Open Source Word, obtain similar words
snippet clustering methods, clustering methods, computing system, mobile computing system, methods, mobile computing, Information retrieval, retrieval, mobile, web, mobile phones, tremendous growth, Mobile web refers, system, retrieval methods, computational capabilities, mobile information retrieval, recent years, methods In recent, mobile web
information retrieval model, retrieval model Query, important, query, query context, users' information, context, Integrating cliques, important element, retrieval, Integrating, retrieval model, model Query, information, Studies have found, information retrieval, cliques, cliques as query, element, model
Processing Software, Retrieval On-site score, Distributed Architecture, cheerleading projects based, On-Site Score, projects based, Software for cheerleading, Score Processing, Data, On-Site, Architecture considering Data, Data Retrieval, Retrieval On-site, cheerleading projects, based, Retrieval, Data Retrieval On-site, Score Processing Software, based on Distributed, On-Site Score Processing
rank aggregation methods, image retrieval results, Reciprocal Rank Information, Effectiveness, Image, Image Retrieval, results, retrieval results obtained, Rank Information, Retrieval Using Reciprocal, Information, Reciprocal, Retrieval, retrieval results, Reciprocal Rank, Unsupervised, Effectiveness Estimation, results obtained, Unsupervised Effectiveness Estimation, unsupervised approach
Internet of Medical, healthcare monitoring, IoMT-based medical information, information-centric model, Things for Smart, Healthcare The Internet, Healthcare, Medical Things, Fog-Assisted Internet, vital signs, deliver vital, Smart Healthcare, Medical, deliver vital signs, rapid medical information, Internet, medical information retrieval, Things, medical information, sense and deliver
Latent Semantic Indexing, Latent Semantic, question answering database, proposed system, Arabic natural language, Question Answering, Semantic Indexing, Question, Enhancing Arabic, Answering System, Arabic, Enhancing Arabic Question, Arabic Question Answering, System, answering database, Answering, Arabic Question, Question Answering System, LSI, systems
Retrieval Model, Neural, neural retrieval methods, cross-language neural retrieval, retrieval model performance, text feature extraction, Neural Retrieval, Neural Retrieval Model, Cross-language information retrieval, text classification task, Model Cross-language information, Existing cross-language neural, Cross Language, information retrieval, Language Neural Retrieval, Retrieval, Model, Cross Language Neural, Retrieval Model Cross-language, cross-language retrieval method
Bug Localization Techniques, localization involves, Localization Techniques, Bug localization involves, Based Bug, Techniques Bug localization, Retrieval Based, Information Retrieval, Localization Techniques Bug, Bug, localization techniques based, automated bug localization, Retrieval Based Bug, Information Retrieval Based, code sections, Localization, affected code sections, Based Bug Localization, Bug Localization, locate affected code
Artificially Intelligent, derive meaning, Natural Language, Gujarati text Natural, natural language text, text Natural, stopword, Natural Language Processing, Gujarati language, NLP text-based processing, intelligently analyze, meaning from human, stopword Identification Technique, language text processing, text processing, text Natural Language, computers to intelligently, Identification Technique, Automatic stopword Identification, Language
wide application, public sector based, Republic of Serbia, unstructured text documents, reform and modernisation, application natural language, retrieval for unstructured, crime domain, based on wide, Serbia, information-communication technologies, modernisation of public, futher development, public sector, sector based, domain The reform, e-Government services Republic, natural language processing, e-Government services, unstructured text
analytics Digital, text document retrieval, engine, next-generation search, text hashing technique, text documents, documents, big data, DSSM with text, next-generation search engine, search engine, data, search, digital information, DSSM, analytics Digital world, Digital world, text, data analytics Digital, Digital
optical character recognition, optical character, document image, character recognition procedure, historic document retrieval, automatic optical character, automatic optical, poor quality, image, handwritten or printed, character recognition, historic document, printed in poor, Chinese calligraphy, Fast historic document, scanned document images, summary Historic documents, difficult to apply, historic document image, extracting document image
produces an accurate, seeks perfect results, Content Based, seeks perfect, retrieval system, Based Image, Image, Image Retrieval, information retrieval system, output is desired, information retrieval, search query, world that seeks, Deep Learning, Content Based Image, Retrieval, Image Retrieval Approach, extracted image features, Retrieval Approach, Based Image Retrieval
global query expansion, Query Representation, Lexical Association, proposed query representation, Representation, proposed query, Query, Information Retrieval, lexical association function, user query, query expansion techniques, Information, relevance criteria, Okapi, term mismatch problem, query expansion, user, user relevance criteria, query representation model, global query
tokens from incoming, Uzbek language, extraction from text, areas as machine, tokenization, information extraction, information security, selection of tokens, important issues, information, algorithm based, tokenization algorithm based, information retrieval, knowledge base, machine translation, tokenization algorithm, incoming information, Creating a tokenization, correct selection, Uzbek
facing Web-based, Management Information System, problems facing Web-based, information searching, Information retrieval, relevant and irrelevant, WIS, biggest problems, Ontological Web-Trading, distinguish between relevant, Web-based Information Systems, problems facing, Web-based Information, Information, facing Web-based Information, biggest problems facing, irrelevant content, Ontological Web-Trading model, information overload, Environmental Management Information
Single-Server Single-Message Online, retrieve information messages, information retrieval protocols, information retrieval problem.Following, Online Private Information, Information Retrieval, Side Information, Private Information Retrieval, Single-Server Single-Message, Online Private, information messages, Information, server, messages, original side information, Single-Message Online Private, Single-Message Online, side information messages, retrieve information, Private Information
Empirical Study, online video recordings, Study, NLP methods, Transforming online, educational institutions, repositories using NLP, video transcript data, information repositories, online class recording, institutions have adapted, online, online class, information, NLP, Transforming online class, online teaching, online video, Empirical, Study Most educational
paper presents, Query Suggestion Algorithms, Query Suggestion, information retrieval research, textual information, Evaluating Query Suggestion, Suggestion, Suggestion Algorithms, retrieval research, MPC query suggestion, Query, Dataset, Google MPC query, Information Retrieval, retrieval research community, Algorithms, Information, textual information retrieval, Evaluating Query, Retrieval
keyword based web, web search, based web techniques, keyword based, web techniques, web based technique, retrieval, retrieval Semantic, search engines, web, Semantic, information, generic issue, information retrieval, web search engines, search, Semantic and keyword, keyword, information retrieval Semantic, keyword web based
Local Information, catalogs and marketplaces, Based on Topic, Agent-Based Document Expansion, data ecosystems, ecosystems finding, Retrieval Based, Topic Modeling, ecosystems finding information, distributed and federated, exploit local information, Information Retrieval, Document Expansion, local information collected, Information, search, Information Retrieval Based, data ecosystems finding, federated catalogs, finding information
preservation and development, information system Virtual, Virtual Library, Library, Architecture, Architecture for Virtual, Virtual Library Information, development, Information System, Virtual, Information, System, Model and Architecture, Library Information System, development of e-books, Library Information, system Virtual, format of MARC, design and development, system Virtual Library
teaching optimization method, teaching resource information, information processing technology, Colleges, Teaching, Intelligent Information, Information Technology, Intelligent, high efficiency teaching, college teaching, Intelligent Information Technology, Teaching Methods, college teaching includes, intelligent information processing, Universities, Colleges and Universities, Information, teaching resources, information processing, optimization method based
automatic person, indexing and retrieval, automatic semantic information, video content, automatic person indexing, video, rapid growth, retrieval system, interview video, high level semantics, indexing, retrieval, raised owing, information, semantic information, semantic information indexing, video sequences, person indexing, Strategy for automatic, interview video sequences
Method to Suggest, huge consumer, consumer of time, measures, debugging process, Software, bug reports, similarity measures, bug, Stack Overflow, Bugs, time and effort, Suggest Solutions, similarity, find potential solutions, Software Bugs, effort, Method, Solutions for Software, Solutions
Improve Information Retrieval, evidence summaries, practitioners are increasingly, relevant evidence, Information Retrieval, functionality embedded, Records and Physician, relevant evidence summaries, Electronic Medical Records, Care Healthcare, Retrieval for Evidence-Based, Electronic Medical, Healthcare practitioners, Evidence-Based Care Healthcare, Care Healthcare practitioners, Physician Data, search functionality embedded, Medical Records, summaries at point, Evidence-Based Care
legal information retrieval, legal experts, legal, Wikipedia knowledge, Eurovoc Thesaurus, find relevant legal, legal ontology, Improving legal, relevant legal information, legal ontology enriching, Improving legal information, information retrieval, knowledge base, legal information, ability to find, fundamental component, Thesaurus The ability, relevant legal, find relevant, Wikipedia knowledge base
data sets, Data retrieval, Discerning relevant data, UVa Open Miner, client projects, assessment Discerning, Discerning relevant, Open Miner, UVa Open, Discerning, relevance assessment Discerning, Open Miner consists, assessment Discerning relevant, Open Miner aims, Data, relevant data, client, Miner, Open, time consuming
Bidirectional Encoder Representations, BERT, Natural Language, Frequency Inverse Document, Deep Learning Document, Term Frequency Inverse, Inverse Document Frequency, Deep, advanced retrieval systems, Natural Language Processing, Learning, Deep Learning, Learning Document, Retrieval, Retrieval Using Deep, Language Processing, document retrieval system, Learning Document Retrieval, Document, Document Retrieval
Extension, exploiting the interactions, Argumentation, Personalizing, retrieval system, Dung Argumentation, Personalizing Information, Personalizing Information Retrieval, propose an architecture, Information Retrieval, information retrieval system, Description Logic, Information, architecture for personalizing, Retrieval, Dung, Dung argumentation framework, social network, personalized information, argumentation framework
Speech, retrieving information, Retrieval and Recommendation, artwork based, descriptive to relative, paper we describe, Speech Signals, relative art, pieces, Recommendation Using Emotion, Signals, Information Retrieval, art pieces, textual cues, Information, relative art pieces, descriptive, Retrieval, Recommendation, based on textual
Bidirectional Encoder Representations, Spoken, Reformulation Spoken, important step, spoken content, Leveraging Bert-Based Modeling, Leveraging Bert-Based, deemed a fundamental, Spoken Document Retrieval, fundamental and important, Reformulation Spoken document, Document Retrieval Leveraging, Spoken Document, Retrieval Leveraging Bert-Based, Query Reformulation Spoken, Bert-Based Modeling, access to multimedia, step towards efficient, efficient organization, long been deemed
systems due, Systems Information, Retrieval Systems, tree, Systems, Inverted files, Signature, Information Retrieval Systems, Systems Information Retrieval, Information Retrieval, techniques to retrieve, Information, large information retrieval, Retrieval, Retrieval Systems Information, files, indexing techniques, Signature files, retrieve information, Inverted
Hidden Markov Model, retrieval systems, query, entropy-hidden Markov model, Automatic Query Expansion, reflect actual user, semantic query expansion, actual user information, inaccurate query formed, information retrieval systems, entropy-hidden Markov, information retrieval, Markov model, keywords that reflect, query expansion based, actual user, reflect actual, maximum entropy-hidden Markov, query expansion, maximum entropy-hidden
pseudo-relevance documents, perform XML query, high quality pseudo-relevance, good expansion information, quality pseudo-relevance, Selecting Good, XML Retrieval Performance, XML, quality pseudo-relevance documents, Improving XML, XML Retrieval, Good Expansion, Selecting Good Expansion, XML query expansion, term element frequency, Good Expansion Terms, Retrieval Performance, XML query, perform XML, Improving XML Retrieval
Based Semantic Information, based Information Retrieval, electronic data increased, Modified Firefly, Allocation based Information, Firefly Algorithm, increased gradually, retrieving essential info, Information Retrieval, extremely difficult task, Semantic Information Retrieval, extremely difficult, retrieving essential, Information, internet is extremely, systems present info, difficult task, Modified Firefly Algorithm, essential info, data increased gradually
effectively locate, effectively locate interest, massive data, stored in cloud, Content Based, image, retrieval, locate interest data, image retrieval, locate interest, interest data, image retrieval framework, distributed datacenters, retrieval framework, Content Based Image, distributed environment, Locality Sensitive Hashing, Distributed Hash Tables, cloud datacenters, Based Image Retrieval
optimize the retrieval, expansion automatically, query expansion automatically, collecting some personal, thesis studies, interest model, retrieval, user interest, retrieval based, interest, document retrieval based, document retrieval, original query, original query expansion, user interest model, personalized document, personalized document retrieval, personal information, retrieval results, query expansion
great, overload, filter, human behavior, amount, great amount, Information anxiety, results information overload, human, feel information overload, Internet anxiety, Information, anxiety, students, information overload, behavior, information literate, confronted, Research, impact
Education Information Based, teaching information, English educational, education information system, English Education Information, English teaching information, College English Education, College English, user required education, Information, required education information, college English teaching, English, Recommendation, accurate extraction, growth of network, network teaching information, Education Information, explosive growth, English Education
