keyword analysis, text mining, paper text mining, mining word, text mining word, word analysis research, word frequency analysis, mining english grammar, english grammar gutenberg, english grammar books, word analysis, text mining english, results text mining, mining word frequency, mining english, mining word analysis
language plagiarism, language plagiarism detection, compare documents, document indexing detection, language analog detector, plagiarism detection method, detection plagiarism, detection plagiarism multiple, retrieval text analogs, checking synonym versions, cross language plagiarism, versions detection plagiarism, compare documents translating, languages checking synonym, plagiarism multiple languages, plagiarism detection
retrieval social media, retrieval web, evolution word network, retrieval research, information retrieval web, based word network, information retrieval, information retrieval research, word network based, analysis information retrieval, medical information retrieval, retrieval based word, social media retrieval, retrieval research recent, information retrieval paper, retrieval web science
headings document, sections titles, headings document retrieval, titles indexing, document retrieval, retrieval online, titles indexing process, attention titles indexing, large corpus inex, titles sections, corpus inex, sections headings document, section headings meaningful, retrieval online publications, corpus inex 2009, document retrieval online
pseudo relevance feedback, relevance feedback information, relevance feedback ir, relevance feedback techniques, outperform relevance feedback, negative relevance feedback, retrieval relevance feedback, information retrieval relevance, relevance feedback pseudo, positive relevance feedback, relevance feedback, relevance feedback terms, feedback information retrieval, significantly outperform relevance, retrieval relevance, feedback terms retrieval
assessment music formulated, assessment tool music, associated piano evaluation, piano followed evaluating, tool music information, librosa based assessment, process perusing music, piano evaluation, piano evaluation process, music education using, assessment music, perusing music classrooms, music information retrieval, grading sheet played, retrieval systems music, music classrooms
information retrieval agent, cloud computing, cloud computing words, retrieval agent using, service oriented computing, cloud based information, retrieval agent, intelligence cloud computing, agent using web, service cloud, information web services, web services concept, service cloud computing, cloud environment agents, extract information cloud, concept cloud computing
personalized retrieval spatial, personalized retrieval strategy, personalized retrieval, profile query request, retrieval spatial information, personalized retrieval results, retrieval spatial, conventional information retrieval, personalized retrieval recent, retrieval strategy spatial, based user profiles, user profiles personalized, search spatial information, profiles personalized retrieval, spatial information query, furthermore personalized retrieval
markov network space, retrieval models based, network information retrieval, information retrieval model, markov network, retrieval model integrates, markov network information, based markov network, retrieval model, information retrieval, retrieval models, retrieval model markov, model information retrieval, models based markov, model markov network, information retrieval models
context augmentation sentences, sentence retrieval, context augmentation, contextualised pre trained, systems sentence retrieval, retrieval context constrained, sentence retrieval information, sentence retrieval preserves, sentence retrieval computationally, context augmentation methods, ineffective sentence retrieval, retrieval preserves contextual, effective sentence retrieval, recognised sentence retrieval, retrieval context, sentence retrieval context
accurate retrieval propose, retrieval surveyed xml, element retrieval term, retrieval qlmer query, document retrieval, element retrieval, element retrieval qlmer, xml element retrieval, retrieval term weighting, retrieval surveyed, document retrieval surveyed, smoothing query likelihood, effective accurate retrieval, likelihood model xml, query likelihood model, element retrieval utilize
visualization optimized information, neighbor embedding methods, based neighbor embedding, display visualization optimized, data visualization recently, neighbor embedding dimensionality, optimized information retrieval, visualization optimized maximize, embedding dimensionality reduction, retrieval based neighbor, slow gradient search, visualization recently, earlier neighbor embedding, dimensional data visualization, visualization optimized, neighbor embedding
resource clustering method, fusion retrieval method, teaching resource clustering, resources traditional clustering, clustering method, clustering method based, resources clustering method, retrieval english teaching, traditional clustering method, clustering mixed, teaching resources clustering, cluster teaching resources, resources clustering, clustering method hybrid, clustering mixed english, retrieval accuracy clustering
location attention similarity, text retrieval specifically, modal retrieval, text joint embedding, text retrieval exploring, attention similarity, images location attention, attention similarity filtering, position attention similarity, images text sentences, text retrieval, text retrieval position, similarity filtering network, cross modal retrieval, image text retrieval, retrieval position attention
wordnet myanmar information, used wordnet myanmar, semantic query expansion, wordnet myanmar, retrieval used wordnet, information retrieval, query expansion myanmar, wordnet resolve semantic, myanmar information retrieval, information retrieval mir, semantic query, retrieval mir searching, indexing semantic, mir searching information, retrieval potential burmese, indexing semantic ambiguous
multimodal retrieval, solving multimodality content, survey multimodal information, mechanisms multimodal retrieval, multimodality content, survey multimodal, developing multimodal searching, multimodal searching, multimodal information, multimodal information retrieval, aimed developing multimodal, review multimodal information, multimodal retrieval used, retrieval systems proposed, multimodality content searching, multimodal searching systems
music information quickly, audio information aspects, based hidden markov, number hmm model, composed music information, teaching audio, classification using hmm, results audio classification, music information, audio information, using hmm, hmm model based, audio classification, hidden markov model, extraction teaching audio, audio classification performance
improve retrieval, processed query retrieval, clinical medicine retrieval, medicine information retrieval, lucene based retrieval, based retrieval read, information retrieval, query retrieval, medicine retrieval, medical retrieval, plan improve retrieval, clinical medical retrieval, based retrieval, documents high relevance, improve retrieval efficiency, medicine retrieval oriented
document collections vector, retrieval archive museum, document retrieval archive, document retrieval, retrieval using open, online document retrieval, document retrieval using, public university retrieval, information retrieval, retrieval using, implemented retrieving textual, document collections, textual document collections, retrieval archive, retrieving textual document, information retrieval models
searching webpage, information retrieval represent, vector topics similarity, text mining, information retrieval model, topics similarity measure, semantic information retrieval, searching webpage website, terms webpages, information retrieval, topics similarity, retrieval model, weight terms webpages, crawling nowadays users, retrieval model focused, integrates text mining
intelligent retrieval, information retrieval based, intelligent retrieval systems, information retrieval agent, retrieval systems average, agents information retrieval, retrieval based intelligent, retrieval systems, information retrieval, retrieval agent, current information retrieval, retrieval information feedback, retrieval based, agent information retrieval, retrieval agent group, existing intelligent retrieval
retrieval using sbir, information retrieval using, query classify documents, hoc information retrieval, documents satisfy classification, information retrieval, retrieval finding, retrieval finding documents, information retrieval sbir, information retrieval finding, information retrieval process, retrieval using, retrieval sbir proposed, criterion search engines, documents semantically similar, boolean information retrieval
search algorithm cipher, preserving retrieval ciphertext, cloud encryption, privacy preserving retrieval, retrieval ciphertext, cipher text retrieval, retrieval technology cipher, ciphertext cloud, cipher text cloud, ciphertext cloud development, cloud encryption ensure, retrieval ciphertext cloud, cloud key cipher, store cloud encryption, encryption private information, cloud users encrypt
corpus tourist attractions, sign language, corpus tourist, mining retrieval, fusion data, massive data set, processed information fusion, massive data, big data, language corpus tourist, information fusion, sign language corpus, intelligent sign language, fusion detection, information fusion center, big data information
retrieval systems considered, information retrieval model, retrieval models developed, retrieval models searching, effectiveness information retrieval, information retrieval, retrieval model require, retrieval models techniques, retrieval model, information retrieval systems, various information retrieval, retrieval models, efficiency information retrieval, retrieval models used, web information retrieval, information retrieval models
syntactic parse trees, information retrieval tasks, parse trees, retrieval parsers shown, information retrieval parsers, parser effective document, retrieval parsers, parsing models, parser parameters discriminatively, helpful information retrieval, learning parsing, new parser effective, relevance document query, learning parsing models, effective document retrieval, end learning parsing
systems standardization, retrieval search function, retrieval interface result, retrieval rule, standardization base information, systems standardization base, retrieval systems, information retrieval, user retrieval interface, information retrieval systems, necessity irs standardization, irs standardization, retrieval interface, base information retrieval, information retrieval search, retrieval systems standardization
translation relevance feedback, retrieval patent documents, document retrieval, retrieval patent, monolingual retrieval, retrieval search, monolingual retrieval using, language retrieval, cross language retrieval, language retrieval patent, query based bilingual, document retrieval module, language retrieval search, module document retrieval, retrieval search chinese, english patent documents
networks ontology extracts, medical document retrieval, ontology based information, indonesia medical information, medical document semantic, retrieval medical information, information retrieval, queries using ontology, ontology extracts, document retrieval medical, retrieval information semantically, ontology based, semantic based medical, ontology analyse information, supports retrieval information, based information retrieval
motion retrieval method, videosar imaging modes, aperture radar videosar, motion retrieval, knowledge videosar imaging, sar imagery, radar videosar, based videosar fragments, motion retrieval videosar, video synthetic aperture, single sar imagery, retrieval videosar sequences, retrieval videosar, videosar fragments measured, structure motion retrieval, radar videosar attracted
ranking svm pso, ranking svm, ir ranking svm, ranking optimization methods, ranking document retrieval, ranking using machine, information retrieval ranking, optimize ranking document, retrieval ranking, ranking case svm, implemented ir ranking, ranking document, retrieval ranking using, retrieval hybrid svm, document retrieval hybrid, techniques ir ranking
information retrieval using, using tf idf, tf idf weighting, relevance weighting, relevance weighting value, idf weighting, tf idf term, conducted search relevance, information retrieval, information retrieval process, search relevance weighting, website information retrieval, search results research, search relevance, method tf idf, idf weighting method
retrieval task legal, question answering task, answering questions competition, answering competition, question answering competition, language models answering, legal information retrieval, question answering, automated legal question, question answering given, answering competition alqac, approaches legal information, retrieval question answering, legal information, legal question answering, task automated legal
labeling selecting, relevance feedback information, retrieval selective sampling, using previous labeled, previous labeled data, feedback information retrieval, retrieval selective, batch labeling model, information retrieval, labeling selecting informative, relevance feedback, sampling relevance feedback, information retrieval selective, sampling relevance, burden labeling selecting, selective sampling relevance
improving bert based, improve retrieval, question similarity query, faq retrieval using, faq retrieval, based faq retrieval, faq retrieval systems, retrieval performance improved, simultaneously faq retrieval, method improve retrieval, human labeled queries, training using queries, improving bert, bert based faq, improve retrieval performance, query question similarity
destructive informational influence, identification destructive information, destructive informational, information influence social, identifying destructive informational, social networks article, destructive information, identification destructive informational, information influence, distribution suicidal content, informational influence procedure, suicidal content, informational influence, influence social networks, informational influence social, destructive information influence
video retrieval used, video retrieval, image retrieval videos, video retrieval video, video retrieval types, based image retrieval, based video retrieval, retrieval images based, retrieval video retrieval, image retrieval, video retrieval interesting, retrieval videos using, video retrieval regarded, retrieval used video, retrieval images, retrieval video
techniques power grid, grid security standards, apply power grid, power grid, power grid inevitable, power grid research, related power grid, technology power grid, complex power grid, power grid security, challenges power grid, grid security management, grid security, transformation power grid, security management paper, grid security standard
information network conflicts, information monopolists, conflict information, conflicts global information, conflicts global, global information, disinformation global, global information space, network conflicts parties, resolving conflicts global, information space conflict, global information network, disinformation global information, problem global information, conflict information space, interests conflicts
concerns object, method crosscutting concerns, retrieval software development, object oriented, concerns object oriented, crosscutting concerns identification, code treated unstructured, separate crosscutting concerns, code concerns identification, crosscutting concerns methods, code concerns, object oriented systems, extraction object oriented, scattered code concerns, crosscutting concerns object, parsing techniques code
information retrieval implemented, user retrieval, information retrieval data, retrieval data mining, data mining technology, uses data mining, personalization information retrieval, data information retrieval, information retrieval, mining based internet, data mining based, internet information retrieval, mining data, data mining, information retrieval paper, information retrieval certain
search results improvement, performance wikipedia category, include wikipedia category, improving retrieval, retrieval performance method, knowledge search results, information wikipedia categories, improving retrieval performance, relevance feedback query, wikipedia categories, wikipedia category, relevance feedback, wikipedia categories categories, wikipedia category knowledge, knowledge text search, retrieval performance wikipedia
biomedical text, biomedical text mining, biology text, data biology text, text mining, text mining solution, mining bioinformatics past, challenges text mining, bioinformatics, methods biomedical text, mining bioinformatics, text mining context, text mining bioinformatics, biology text mining, methods biomedical, text mining capabilities
pir distributed storage, pir protocols, codes provide asymmetric, retrieval pir distributed, symmetric pir protocols, distributed storage consider, existing symmetric pir, capacity known codes, storage consider private, protocols distributed storage, codes pir capacity, pir protocols achieve, distributed storage systems, mds codes pir, asymmetric pir protocols, distributed storage
phd curricula china, information discipline phd, information doctoral programs, information doctoral, doctoral education china, information education china, management information education, management information doctoral, information phd curricula, doctoral curricula information, information programs china, curricula information management, management information phd, information doctoral education, information phd, doctoral programs china
trec datasets trec, datasets trec, performance ratio diversity, retrieval, multiple retrieval, retrieval systems, information retrieval, trec datasets, multiple information retrieval, retrieval systems improve, information retrieval systems, combination multiple retrieval, live trec datasets, random precision datasets, retrieval systems known, multiple retrieval systems
large healthcare datasets, freida fracture, healthcare datasets, freida fracture risk, optimized data search, search data, data search data, search data analysis, healthcare datasets paper, information retrieval, fracture risk evaluation, significant risk fracture, fracture liaison service, fast information retrieval, retrieval analysis large, data search
information resources integration, application enterprise information, information service deployment, information service, information resources functions, utilize information resources, providing information service, integration model enterprise, enterprise information, model enterprise information, information resources internal, resources integration technology, database resources integration, information service based, integration technology providing, enterprise information resources
searching documents searching, similarity better searching, documents searching metadata, information retrieval used, information retrieval, retrieval heterogeneous data, information document searching, searching documents, information retrieval heterogeneous, idf cosine similarity, retrieval used application, retrieval heterogeneous, comparing enhanced idf, documents searching, document searching documents, document searching
vector space model, vector space based, traditional retrieval models, study traditional retrieval, information retrieval model, space information retrieval, retrieval proposed, information retrieval, retrieval proposed paper, retrieval model, traditional retrieval, retrieval models, retrieval model vector, retrieval models improved, information retrieval proposed, based information retrieval
integral translation retrieval, translation retrieval, query expansion personalized, information retrieval exploiting, language information retrieval, information retrieval, information retrieval research, bilingual wikipedia documents, personalized cross language, retrieval cross language, retrieval exploiting query, bilingual wikipedia, cross language information, using bilingual wikipedia, translation retrieval processes, information retrieval cross
retrieval peer peer, semantic based searching, peer p2p approach, unstructured information retrieval, p2p information retrieval, p2p unstructured information, design p2p unstructured, retrieval peer, nodes heterogeneous documents, information retrieval systems, semantic p2p information, semantic p2p, peer peer p2p, p2p unstructured, approach semantic p2p, information retrieval peer
temporal information retrieval, information retrieval technology, database information retrieval, search temporal information, retrieval method based, research temporal information, data graph traditional, information temporal temporal, data graph proposed, information retrieval method, traditional information retrieval, information retrieval, temporal attributes relational, relational database information, fields search temporal, search temporal
personalized search, context sensitive personalized, sensitive personalized, point care ccs, sensitive personalized search, care ccs, personalized, information retrieval, systems information retrieval, information retrieval personalization, personalized search point, ccs concepts information, personalization, retrieval personalization, search point care, care ccs concepts
satisfies security constraint, addition privacy constraint, databases external eavesdropper, private information, privacy security constraints, retrieval wiretap channel, private information retrieval, retrieval wiretap, privacy constraint, problem private information, information retrieval wiretap, channel ii privacy, security constraint encoding, privately messages stored, privacy constraint databases, security constraints obtain
clinical information retrieval, enhancing clinical information, contexts ir indexing, retrieval ir scoring, indexing scoring elasticsearch, information retrieval context, scaling information retrieval, retrieval context, improvement retrieval quality, information retrieval, clinical performance contextual, scoring elasticsearch, information clinical ir, information retrieval ir, clinical relevance considered, contextual information clinical
framework tsunami detection, tsunami, tsunami alert, tsunami alert proposed, generate tsunami, technique generate tsunami, sensor nodes, retrieval tsunami detection, tsunami detection, evaluated generate tsunami, tsunami detection using, information retrieval tsunami, sensor nodes various, generate tsunami alert, tsunami alert method, retrieval tsunami
media retrieval, similarity documents, information retrieval, media retrieval identifies, cross media retrieval, information retrieval heterogeneous, correlates similarity documents, similarity documents belonging, media retrieval wide, retrieval content based, retrieval heterogeneous, retrieval content, retrieval heterogeneous data, media retrieval cross, retrieval cross media, media retrieval content
similarity query documents, called intelligentmedicalsearch ims, improved medical retrieval, retrieval demands terminology, information retrieval, medical aware query, ranking medical information, retrieval model, retrieval model medical, medical information retrieval, medical retrieval model, retrieval model called, medical retrieval, model called intelligentmedicalsearch, intelligentmedicalsearch ims, presents medical retrieval
crowdsourced relevance, reasoning skill crowdsourced, reliability crowdsourced results, accuracy crowdsourced, using crowdsourcing, reliability crowdsourced relevance, reliability crowdsourced, accuracy crowdsourced workers, ability reliability crowdsourced, skill crowdsourced, crowdsourced relevance judgments, influences accuracy crowdsourced, skill crowdsourced workers, crowdsourced workers, crowdsourced results, crowdsourced results questioned
retrieval model social, network extraction technologies, retrieval social, information retrieval model, retrieval social network, information retrieval social, network extraction, network extraction little, information retrieval, model social network, retrieval model, network extraction perspective, social network, social network extraction, generated social network, information retrieval paper
augmentative alternative, using minimum keystroke, substitutes displayed words, selected symbols substitutes, languages dialogue, keystroke, information priority retrieval, augmentative alternative communication, written languages dialogue, alternative communication using, applications augmentative alternative, generated sentences based, keystroke input, sentences based selections, user selected symbols, minimum keystroke
use ontologies, keyword based content, media documents concept, information retrieval integration, ontologies, information disaster management, multiple media documents, designed use ontologies, querying multiple media, ontology based, single media documents, overview ontology based, media documents, documents concept based, ontology based architecture, media documents furthermore
temporal information retrieval, keywords temporal, text keywords temporal, temporal semantics relevance, temporal semantics information, retrieval research temporal, retrieval based mapreduce, retrieval webpage temporal, text relevance temporal, metadata temporal semantics, keywords temporal semantics, temporal semantics content, chinese temporal semantics, information retrieval tsir, temporal phrases query, relevance temporal semantics
document frequency idf, text classification, terms term weighting, retrieval classification, term retrieval classification, weighting terms information, retrieval text classification, terms tf idf, term retrieval, terms weighting algorithm, idf representing importance, weighting terms tf, weighting feature terms, tf idf model, feature term retrieval, automatic text classification
expansion retrieval, related words query, query document vocabulary, semantic statistical query, query terms approaches, words query terms, words query, expansion retrieval performance, query expansion arabic, query expansion retrieval, information retrieval, information retrieval systems, retrieval systems query, statistical query expansion, expansion arabic information, arabic information retrieval
iot search, iot essence indexing, iot data, retrieval architecture iot, iot data sets, iot based sensor, things representation indexing, sensor information retrieval, iot search scenarios, internet things representation, iot sensor, world iot data, retrieval internet things, need iot sensor, iot sensor information, investigate iot search
retrieval performance, accuracy retrieval text, retrieval objective, current retrieval methods, determine relevance information, retrieval method research, retrieval method, relevance information, retrieval text determine, retrieval model, calculate relevance information, calculating relevance information, retrieval methods, retrieval methods hamming, relevance information resources, retrieval text
implement search techniques, swarm optimization web, novel pso algorithms, direct search, swarm optimization, search techniques, parallel swarm, parallel swarm optimization, direct search methods, superiority parallel pso, search methods suited, pso algorithms designed, simpler implement search, parallel pso, implement search, retrieval novel pso
prioritizing tests, profiling static program, program instrumentation test, regression testing widely, regression testing, program analysis, changes regression testing, static program analysis, techniques prioritizing tests, prioritization based program, test prioritization based, test prioritization reducing, program changes regression, based program changes, program analysis enabling, regression test prioritization
ontology model identifies, diabetes ontology model, captures ontology knowledge, ontology knowledge accurately, decision rules knowledge, indians diabetes ontology, ontology knowledge, retrieval help probabilistic, uncertain ontology work, uncertain ontology, diabetes ontology, ontology model knowledge, ontology model, uncertain ontology model, approach uncertain ontology, retrieval using decision
retrieval supervised machine, retrieval supervised, sentence extraction mental, sentence extraction subtask, sentence extraction comparison, information retrieval, extraction subtask findings, retrieval sentence extraction, subtasks information retrieval, rdocer information retrieval, health rdoc task, mental health rdoc, criteria rdoc classification, information retrieval supervised, information retrieval sentence, sentence extraction
ancient manuscript retrieval, proposed retrieval using, retrieval using probability, manuscript retrieval comparison, heritage proposed retrieval, manuscript retrieval, retrieval, sundanese ancient manuscript, retrieval comparison probability, proposed retrieval, retrieval according, retrieval interactive, retrieval using, information sundanese ancient, retrieval comparison, search information ancient
based semantic search, movie related information, search semantic search, related information retrieval, semantic search, retrieval proposed, search semantic, semantic search models, information retrieval proposed, retrieval using ontology, ontology based semantic, retrieval using, using ontology based, semantic search semantic, ontology based movies, based information retrieval
based geo visual, images tags geolocation, geolocation visual feature, geo visual clustering, world information retrieval, geolocation image, retrieval clickable real, geolocation visual, geolocation image taken, information retrieval, web flickr, tags geolocation image, picture landmark world, based information retrieval, information retrieval clickable, retrieval clickable
schema matching case, study thesaurus used, retrieval schema, study thesaurus, performance thesaurus, thesaurus used, thesaurus used information, case study thesaurus, retrieval schema matching, information retrieval schema, thesaurus solving schema, schema matching, thesaurus performance, thesaurus, performance thesaurus solving, thesaurus performance information
similarity checker features, findings development plagiarism, plagiarism, use similarity checker, similarity checker tools, effective similarity, similarity checker currently, retrieval similarity checker, turnitin effective similarity, plagiarism checking tools, plagiarism checking, effective similarity checker, similarity checker, development plagiarism checking, use similarity, writing detected similar
results obtained semantic, semantic methods ranker, fundamental retrieval model, retrieval method, retrieval lexical, lexical retrieval approaches, retrieval approaches, retrieval method combines, information retrieval method, retrieval approaches subsequently, drug data retrieval, data retrieval lexical, semantic lexical retrieval, hybrid information retrieval, retrieval lexical statistical, lexical retrieval
thesaurus relevance, disambiguation information retrieval, information retrieval ambiguity, using information relevance, thesaurus relevance feedback, query expansion thesaurus, information retrieval, expansion thesaurus relevance, implemented disambiguate query, query expansion word, wordnet expansion terms, disambiguated query senses, word sense disambiguation, information retrieval performance, sense disambiguation information, query information retrieval
concepts text, concept representation, concept relations concept, concept relations, based concept algebra, retrieval method based, introduces concept algebra, concepts text retrieval, concept representation content, concept algebra, based concept relations, concept algebra ca, concept algebra paper, space concept algebra, concept algebra help, semantic based retrieval
uncoded caching databases, databases heterogeneous storage, optimal pir download, surprisingly optimal download, heterogeneous uncoded caching, minimize download cost, storage constraints, caching databases, private information retrieval, optimal download, caching databases consider, information retrieval heterogeneous, retrieval heterogeneous, retrieval heterogeneous uncoded, optimal download cost, heterogeneous storage constraints
context aware computing, retrieval ideas social, online social networks, retrieval ubiquitous computing, improving context awareness, retrieval online social, technique social network, aware information retrieval, context awareness information, social network, context aware information, social network context, network context aware, retrieval ubiquitous, retrieval technique social, information retrieval ubiquitous
matching framework based, probability pattern matching, matching framework, matching based neural, pattern matching framework, matching probability pattern, matching probability, information retrieval, probabilistic pattern matching, pattern matching problem, pattern matching based, information retrieval probabilistic, pattern matching, matching based, retrieval probabilistic, retrieval probabilistic pattern
term based query, based query reduction, query terms, queries spoken, retrieval query, query reduction, verbose queries spoken, example information retrieval, information retrieval, verbose query exemplars, information retrieval provides, document retrieval query, spoken document retrieval, query terms automatically, queries spoken document, informativeness verbose query
arabic query expansion, using arabic wordnet, arabic information, arabic query, arabic expansion evaluation, expansion arabic queries, wordnet ontology expansion, ontology expansion arabic, english wordnet ontology, arabic queries using, arabic wordnet, evaluating arabic wordnet, wordnet ontology, arabic wordnet ontology, arabic information retrieval, arabic queries
applying information retrieval, journals information retrieval, information retrieval technology, journals evaluation, apply information retrieval, retrieval technology analyzing, technology analyzing journals, journals information, analyzing journals information, information retrieval, analyzing journals, information retrieval provides, journals evaluation example, journal evaluation, journal evaluation indexes, collect data journal
quantum secure key, quantum secure, secure retrieval fingerprint, secure retrieval, experimental symmetric private, symmetric private, secure symmetric, private information, secure symmetric private, provably secure symmetric, quantum network report, private information retrieval, device independent quantum, supported quantum secure, symmetric private information, offering secure retrieval
resources based deep, learning cross media, semantic retrieval, media correlation learning, semantic retrieval method, cross media semantic, media semantic, deep learning information, resources cross media, deep learning depth, information retrieval new, semantic information media, information resources cross, deep learning cross, semantic retrieval points, media semantic retrieval
codes sldc private, codes sldc, decodable codes private, codes private information, smooth locally decodable, private information, decodable, decodable codes, codes, private information retrieval, codes private, locally decodable, decodable codes sldc, sldc private information, information theoretical notations, locally decodable codes
information database retrieval, based cals, database retrieval aircraft, retrieval aircraft development, based cals basis, aircraft development, aircraft development based, cals basis analysis, information database, database, development based cals, study information database, aircraft, retrieval aircraft, database retrieval, proposed information database
bag words representation, retrieval performance, feature based bag, improve retrieval, retrieval instead, retrieval following cluster, retrieval, information retrieval following, information retrieval, entropy optimized feature, retrieval instead classification, representation information retrieval, retrieval performance providing, better suited retrieval, improve retrieval performance, supervised dictionary
ranking models developed, difficulty ranking documents, ranking documents based, retrieval ranking models, ranking models, ranking documents, various ranking models, information retrieval, information retrieval ranking, retrieval ranking, ranking models discussed, information retrieval process, performance ranking models, ranking models information, ir performance ranking, retrieval information retrieval
computation privacy outsourced, share data protecting, secure retrieval, secret sharing based, privacy outsourced data, secure retrieval data, information secure retrieval, data using secret, confidentiality encrypt data, store private information, private data, effective private data, secure multiparty computation, sharing based secure, private data storage, database comprpmising privacy
data privacy single, database private information, theoretically secure query, privacy single intractability, secure query generation, supports data privacy, theoretically secure queries, secure queries, preserve data privacy, secure query, private information retrieval, privacy colluding resistant, data privacy, secure queries colluding, secure query supports, hybrid private information
heritage natural history, natural history utilizing, ecultural heritage, digital preservation ways, preserve cultural heritage, preservation case study, approach digital preservation, ecultural heritage natural, digital preservation ecultural, retrieval digital preservation, digital preservation, indonesian cultural heritage, cultural heritage natural, cultural heritage, preservation ecultural heritage, digital preservation case
retrieval accuracy, learning engines, information retrieval accuracy, enhance information retrieval, retrieval strategies capability, automated mastering engines, retrieval systems getting, information retrieval, retrieval substantially, retrieval strategies, learning engines potential, information retrieval substantially, automated learning, automated learning engines, computerized studying engines, retrieval substantially improved
evaluation metrics, batch evaluation metrics, retrieval, scales information retrieval, retrieval measures, retrieval ir experimentation, information retrieval, information retrieval argue, retrieval measures scales, evaluation metrics information, ranking usefulness able, information retrieval measures, information retrieval ir, given ranking usefulness, ranking usefulness, metrics information retrieval
arabic language information, existing ontologies arabic, personalized retrieval, language information users, arabic texts based, information arabic texts, information retrieval, ontologies arabic language, personalized retrieval information, information retrieval particularity, ir systems arabic, retrieval information arabic, develop information retrieval, ontologies arabic, language providing personalized, information arabic
similarity knowledge, retrieval case, use similarity knowledge, based reasoning similarity, case based reasoning, information retrieval case, similarity knowledge used, information retrieval, information retrieval cbr, retrieval case based, reasoning similarity knowledge, retrieval cbr help, similarity knowledge association, reasoning similarity, information retrieval process, retrieval cbr
market index, information retrieval model, stock market index, information retrieval, index forecasting novelty, modeling information retrieval, retrieval model forecasting, forecasting information, information retrieval systems, forecasting information retrieval, market index forecasting, information retrieval ir, fuzzy document based, based information retrieval, index forecasting, forecasting model stock
retrieval exploiting ontology, ontologies used applications, mapping ontology, ontologies, map ontological, ontology serve user, ontology geographic, retrieval semantic web, ontologies used, use mapping ontology, mapping ontology geographic, exploiting ontology, ontology representing, geographic information retrieval, ontology geographic information, mapping ontology serve
information, personal information management, information management points, research personal, information management paper, information management recent, years personal information, relevant definitions personal, management paper introduces, information management hot, definitions personal, field information management, research personal information, definitions personal information, personal information, information management
weakly private information, retrieval private, quantify information leakage, information leakage maximal, perfect privacy constraint, download rate optimized, retrieval pir protocols, file servers storing, private information retrieval, maxl privacy metrics, improved download rate, privacy constraint, retrieval private information, file servers, protocols weakly private, protocols download rate
particle swarm optimization, retrieval web documents, swarm optimization pso, particle swarm, documents retrieval, swarm optimization, swarm intelligence, retrieve similar documents, documents retrieve similar, using particle swarm, optimize search, swarm intelligence techniques, web documents retrieval, inspired swarm intelligence, techniques optimize search, optimize search process
research propose retrieval, quran based, search quranic, quran retrieval profiling, topics al quran, quran based thematic, quran sources thematic, search thematic interpretation, interrelation quranic interpretation, thematic search quranic, al quran retrieval, quran retrieval, search quranic interpretation, retrieval results according, search al quran, al quran based
retrieval troubleshoot configuration, misconfiguration diagnosing, failure logs known, troubleshooting configuration errors, configuration errors propose, known configuration errors, configuration errors information, configuration testing, configuration errors design, historical configuration errors, troubleshoot configuration errors, configuration testing software, diagnosing configuration, retrieval configuration testing, accuracy diagnosing configuration, diagnosing configuration errors
persian web, retrieval web, persian dataset, document retrieval, persian dataset designed, present persian dataset, retrieval corpus, web document retrieval, information retrieval web, anonymized persian, document retrieval corpus, persian queries collected, anonymized persian queries, persian queries, persian web document, text information retrieval
sentiment analysis brand, competitive sentiment analysis, similar brands market, consumer sentiment competition, product similarity, analysis brand reputation, product similarity competitive, competitive sentiment, similarity competitive analysis, brands relative competitors, similarity competitive, sentiment regarding brands, brand reputation management, textual similarity, brand reputation monitoring, compare product similarity
query correction, effective thai information, spelling correction methods, query corrector features, spelling correction, sub correctors thaiqcor, query correction thai, correction thai business, information retrieval, based spelling correction, correction thai, correctors thaiqcor results, web search engines, query correction reduce, thai information retrieval, using query correction
privately retrieve files, weakly private information, zero information leakage, download leakage, theory download leakage, private information retrieval, leakage servers storing, information leakage servers, information leakage fixed, retrieval private information, cost information leakage, leakage maxl privacy, download leakage function, information retrieval private, characterizing download leakage, privacy improve download
events temporal, events temporal information, temporal relation reasoning, text based event, temporal information texts, event temporal, temporal information resolutions, information resolutions events, extracting events temporal, reasoning events temporal, event temporal resolution, reasoning temporal relations, reasoning events, events temporal representations, big data events, based event temporal
autonomous information retrieval, information retrieval written, arabic documents, information retrieval, arabic, created arabic specific, arabic text, results arabic, retrieval results arabic, classify arabic text, arabic specific, results arabic documents, classify arabic, arabic documents researchers, arabic text using, researchers created arabic
deep stacking networks, classification tasks dsn, dsn information retrieval, pertaining relevance prediction, retrieval deep, scalable learning report, information retrieval, retrieval ir, retrieval deep stacking, relevance prediction, relevance prediction sponsor, information retrieval deep, information retrieval ir, deep stacking, prediction sponsor search, retrieval ir task
